Rank,Site_ID,Latitude,Longitude,Name,Site_Precision
1,304434,-37.814395000000005,144.963537,S/E Cnr Bourke & Elizabeth Sts MELBOURNE,Within 10 meters
2,134857,-37.82091,144.955155,Optus Site Minicell - Flinders and Spencer 2 Spencer St MELBOURNE,Within 10 meters
3,10003026,-37.81517,144.97476,Spring and Flinders ucell Optus North West corner Spring and Flinders St MELBOURNE,Within 10 meters
4,9026103,-37.813175,144.952919,Vodafone Site Building C William Angliss Institute 555 La Trobe Street MELBOURNE VIC 3000,Within 10 meters
5,101381,-37.809081,144.96893,CMTS Site 287-293 Exhibition St MELBOURNE,Within 10 meters
6,9009845,-37.811022,144.959234,Optus Minicell SE Cnr Queen St and Latrobe St MELBOURNE,Within 10 meters
7,10004167,-37.816790000000005,144.96918,Federation Square North -V 164A Flinders Street MELBOURNE,Within 10 meters
8,11601,-37.818162,144.959934,Optus Site National Mutual Building 447 Collins St MELBOURNE,Within 10 meters
9,134565,-37.812845,144.968248,Optus Site Bourke/Russell 175 Bourke St MELBOURNE,Within 10 meters
10,134403,-37.818166,144.964831,Optus Site Flinders/Elizabeth 1 Elizabeth St MELBOURNE,Within 10 meters
11,11593,-37.815493,144.95671399999998,Marland House 570 Bourke Street MELBOURNE,Within 10 meters
12,134990,-37.809885,144.963286,Optus Site Museum Station Cnr Latrobe and Elizabeth Sts MELBOURNE,Within 10 meters
13,50686,-37.813545,144.971705,Optus/Telstra Site cnr Collins & Exhibition Sts MELBOURNE,Within 10 meters
14,11581,-37.818202,144.954367,625 Lt Collins St MELBOURNE,Within 10 meters
15,302516,-37.812653000000005,144.956622,Nubrick House 271 William Street MELBOURNE,Within 10 meters
16,9013096,-37.81215,144.96195500000002,Optus Rooftop Site Mitchell House 283 Elizabeth Street MELBOURNE,Within 10 meters
17,41660,-37.816209,144.961635,100 Queen Street MELBOURNE,Within 10 meters
18,134386,-37.815549,144.966686,Optus Site Collins & Swanston Cnr Collins & Swanston Sts MELBOURNE,Within 10 meters
19,135253,-37.812578,144.96531399999998,Optus Site Minicell - Little Bourke & Swa Ltl Bourke & Swanston St MELBOURNE,Within 10 meters
20,135073,-37.816011,144.972058,Optus Site Minicell-Flinders & Exhibition 82 Flinders Street MELBOURNE,Within 10 meters
21,304060,-37.809041,144.97182800000002,Level 33 Casselden Place 235 Spring Street MELBOURNE,Within 10 meters
22,130005,-37.813381,144.95961200000002,CMTS Site 235 Queen St MELBOURNE,Within 10 meters
23,11599,-37.81852,144.95714099999998,Rialto Towers 525 Collins Street MELBOURNE,Within 10 meters
24,10003027,-37.81524,144.95256,Optus Minicell - Lon_Spencer Corner Spencer and Lonsdale St MELBOURNE,Within 10 meters
25,134754,-37.810996,144.967095,Optus Site Minicell - Lonsdale & Russell 177-183 Lonsdale St MELBOURNE,Within 10 meters
26,301388,-37.814765,144.969286,Telstra/Optus Site cnr Russell & Collins Sts MELBOURNE,Within 10 meters
27,49630,-37.810641,144.970534,222 Exhibition St MELBOURNE,Within 10 meters
28,9014989,-37.81631,144.964351,Optus Rooftop Site 287 Collins Street MELBOURNE,Within 10 meters
29,135143,-37.814431,144.954653,Optus Site Minicell - Lonsdale & King 600-610 Lonsdale St MELBOURNE,Within 10 meters
30,304562,-37.815891,144.958861,140 William Street MELBOURNE,Within 10 meters
31,134872,-37.820123,144.957552,Optus Site Minicell - King & Flinders King & Flinders St MELBOURNE,Within 10 meters
32,302517,-37.811251,144.964157,Legacy House 283 Swanston Street MELBOURNE,Within 10 meters
33,134317,-37.812122,144.97071,Optus Site CBD123 Cnr Bourkr & Exhibition Streets MELBOURNE,Within 10 meters
34,135011,-37.812799,144.954686,Optus Site CGU Centre 485 Latrobe Street MELBOURNE,Within 10 meters
35,9001289,-37.815858,144.954818,Citipower House 628 Bourke Street MELBOURNE,Within 10 meters
36,135390,-37.813963,144.957301,Optus Site Minicell - Lonsdale & William Lonsdale & William Streets MELBOURNE,Within 10 meters
37,134923,-37.819576,144.95985,Optus Site Flinders/William 1 William St MELBOURNE,Within 10 meters
38,134822,-37.814989,144.96090800000002,Optus Site Bourke/Queen St Bourke & Queen Sts MELBOURNE,Within 10 meters
39,134554,-37.817261,144.962515,Optus Site Bridge Information Systems 360 Collins St MELBOURNE,Within 10 meters
40,135237,-37.815777,144.970508,Optus Site BHP Petroleum Plaza 120 Collins Street MELBOURNE,Within 10 meters
41,134733,-37.813463,144.973217,Optus Site Minicell - Spring & Collins 14-16 Collins St MELBOURNE,Within 10 meters
42,135330,-37.814398,144.96632,Optus Site Minicell - Town Hall 134-142 Swanston Street MELBOURNE,Within 10 meters
43,301205,-37.817779,144.95596899999998,99 King Street MELBOURNE,Within 10 meters
44,134453,-37.814896000000005,144.971668,Optus Site Collins PLace/ANZ Tower 55 Collins St MELBOURNE,Within 10 meters
45,101385,-37.815461,144.962656,Benjamin House 358-360 Little Collins St MELBOURNE,Within 10 meters
46,101373,-37.811269,144.957909,Empire Apartments 402-408 La Trobe Street MELBOURNE,Within 10 meters
47,134454,-37.811126,144.96211599999998,Optus Site Melbourne Central Tower 360 Elizabeth St MELBOURNE,Within 10 meters
48,305394,-37.815371,144.973076,8 Exhibition St MELBOURNE,Within 10 meters
49,9015396,-37.817386,144.96123,Telstra IBC 401 Collins St MELBOURNE,Within 10 meters
50,301383,-37.813447,144.966028,Optus Site cnr Bourke & Swanston Sts MELBOURNE,Within 10 meters
51,134449,-37.817384,144.959217,Optus Site Melbourne City West 454 Collins St MELBOURNE,Within 10 meters
52,461423,-37.809356,144.970729,50 Lonsdale St MELBOURNE,Within 10 meters
53,9009844,-37.819101,144.954229,Optus Minicell NE Cnr Spencer St and Collins St MELBOURNE,Within 10 meters
54,301361,-37.811627,144.965056,CMTS Site cnr Swanston & Lonsdale Sts MELBOURNE,Within 10 meters
55,11591,-37.815975,144.955905,Bourke Place 600 Bourke Street MELBOURNE,Within 10 meters
56,134680,-37.812723,144.960164,Optus Site Queen St 250 Queen St MELBOURNE,Within 10 meters
57,130439,-37.812084000000006,144.967997,CMTS Site 180 Russell St MELBOURNE,Within 10 meters
58,134906,-37.811678,144.962783,Optus Site CBD North 360 Elizabeth St MELBOURNE,Within 10 meters
59,135045,-37.811928,144.956414,Optus Site Flagstaff Station 433 Latrobe Street MELBOURNE,Within 10 meters
60,303676,-37.815387,144.96881499999998,161 Collins St Carpark MELBOURNE,Within 10 meters
61,134360,-37.814263,144.972105,Optus Site 101 Collins St (Pac Dun) 101 Collins St MELBOURNE,Within 10 meters
62,135306,-37.81607,144.957254,Optus Site Minicell - Bourke & William 121 William St MELBOURNE,Within 10 meters
63,135231,-37.816467,144.958334,Optus Site BHP House 140 William Street MELBOURNE,Within 10 meters
64,9014611,-37.815296,144.958369,Optus Rooftop Site 520 Bourke Street MELBOURNE,Within 10 meters
65,44101,-37.816822,144.963209,333 Collins Street MELBOURNE,Within 10 meters
66,306249,-37.818151,144.96081,BTS Site 38465D Treasure Funds House 50 Market Street MELBOURNE,Within 10 meters
67,301645,-37.816206,144.966634,Optus/Vodafone Site 55 Swanston Walk MELBOURNE,Within 10 meters
68,9009843,-37.810269,144.96986299999998,Optus Minicell SE Cnr Exhibition St and Lonsdale St MELBOURNE,Within 10 meters
69,302854,-37.809969,144.97078,Telstra/Vodafone Site 43 Lonsdale St MELBOURNE,Within 10 meters
70,9014605,-37.816496,144.96509,Customer Site 271 Collins Street MELBOURNE,Within 10 meters
71,134941,-37.817069,144.961828,Optus Site Minicell - Collins & Queen 379 Collins St MELBOURNE,Within 10 meters
72,11571,-37.816356,144.962313,360 Collins St Collins Wales Building MELBOURNE,Within 10 meters
73,9002262,-37.816217,144.970928,Wilson Parking 114 Flinders Street MELBOURNE,Within 10 meters
74,135213,-37.810382,144.971223,Optus Site TAC Building 222 Exhibition Street MELBOURNE,Within 10 meters
75,44125,-37.815309,144.969476,Hyatt Hotel 123 Collins St MELBOURNE,Within 10 meters
76,51718,-37.813167,144.965468,Vodafone Site 195 Swanston St MELBOURNE,Within 10 meters
77,404118,-37.814905,144.95491299999998,225 King Street MELBOURNE,Within 10 meters
78,10004576,-37.81808,144.95692,KING ST (3144 REPLACEMENT) -V 530 Collins Street MELBOURNE,Within 10 meters
79,10003238,-37.81239,144.9712,136 Exhibition St MELBOURNE,Within 10 meters
80,134245,-37.818494,144.957705,Optus Site Rialto 525 Collins Street MELBOURNE,Within 10 meters
81,134547,-37.818656,144.956626,Optus Site Minicell - King & Collins 539-557 Collins St MELBOURNE,Within 10 meters
82,134574,-37.811978,144.96238799999998,Optus Site Lonsdale/Elizabeth Elizabeth & Lonsdale MELBOURNE,Within 10 meters
83,135009,-37.815196,144.96296999999998,Optus Site Commonwealth Bank 385 Bourke Street MELBOURNE,Within 10 meters
84,51576,-37.814265,144.971685,CMTS Site Penthouse 71 Collins St MELBOURNE,Within 10 meters
85,303652,-37.81653,144.961967,394 Collins St MELBOURNE,Within 10 meters
86,134901,-37.812899,144.959886,Optus Site Lonsdale/Queen 250 Queen St MELBOURNE,Within 10 meters
87,304744,-37.815195,144.974409,Optus microcell - Cnr Spring St & Flinders St MELBOURNE,Within 10 meters
88,302923,-37.809264,144.971708,Casselden Place 2 Lonsdale St MELBOURNE,Within 10 meters
89,301208,-37.818018,144.964596,1 Elizabeth Street cnr Flinders St MELBOURNE,Within 10 meters
90,11579,-37.818071,144.957211,Stock Exchange Bldg 530 Collins Street MELBOURNE,Within 10 meters
91,301658,-37.819471,144.960069,Optus Site 1 William St MELBOURNE,Within 10 meters
92,303712,-37.814257,144.96337,Vodafone Microcell Cnr Bourke & Elizabeth Streets MELBOURNE,Within 10 meters
93,303255,-37.812711,144.959971,Optus Site 250 Queen St MELBOURNE,Within 10 meters
94,301240,-37.812857,144.96843,Optus/Telstra Site cnr Russell & Bourke Sts MELBOURNE,Within 10 meters
95,11600,-37.817303,144.962344,367 Collins Street Optus Centre MELBOURNE,Within 10 meters
96,303710,-37.81751,144.959237,Vodafone Microcell Cnr Collins & William Streets MELBOURNE,Within 10 meters
97,11590,-37.814225,144.971971,ANZ Bank Tower 55 Collins Street MELBOURNE,Within 10 meters
98,134329,-37.811625,144.96491899999998,Optus Site Lonsdale/Swanston 253 Lonsdale St MELBOURNE,Within 10 meters
99,134980,-37.818218,144.96070500000002,Optus Sire Minicell - Market & Flinders 50 Market St MELBOURNE,Within 10 meters
