horizon,safe_set_bin,state_count,q_spearman,q_kendall,q_top1_hit_rate,q_top3_hit_rate,q_top5_hit_rate,q_mean_regret,q_median_regret,q_spread_mean,q_safe_std_mean,q_mean_effective,actor_spearman,actor_kendall,actor_top1_hit_rate,actor_top3_hit_rate,actor_top5_hit_rate,actor_mean_regret,random_top1_hit_rate,random_top3_hit_rate,random_top5_hit_rate
5,1-5,121,0.1696336175967906,0.16174937873835118,0.8099173553719008,0.9669421487603306,1.0,2.1749923895770977,0.0,0.00028840372385072313,0.00012071594801079097,43.454137250411605,0.3540979645481123,0.3136710858772294,0.8264462809917356,0.9917355371900827,1.0,2.131315368437092,0.7705234159779615,0.9710743801652892,1.0
5,6-15,156,-0.008601587485616787,-0.0074677698833594515,0.3269230769230769,0.6346153846153846,0.8076923076923077,10.035615419280422,5.261486628540439,0.001398624517978766,0.0004289991244989394,43.45412100278414,0.22976024976818266,0.19172557977428228,0.47435897435897434,0.7628205128205128,0.9102564102564102,7.54498125992601,0.31951143585758973,0.6807722725991956,0.8532172065825913
5,16-28,723,0.2135257518746306,0.1631591712535275,0.46887966804979253,0.5366528354080221,0.7786998616874136,8.667028216507202,0.8476725706217678,0.005693248363616225,0.0015687866350463599,43.45270986807627,0.47077816842399844,0.38548185777322297,0.5809128630705395,0.8188105117565698,0.9253112033195021,7.02697444235742,0.23517337138823774,0.5587417501818115,0.7519591807393742
10,1-5,121,0.1404002115687166,0.13194680785999888,0.8016528925619835,0.9586776859504132,1.0,2.3036235510613206,0.0,0.00028840372385072313,0.00012071594801079097,43.454137250411605,0.36301786465755326,0.321005801451234,0.8264462809917356,0.9917355371900827,1.0,2.323586625031011,0.7657024793388431,0.96900826446281,1.0
10,6-15,156,-0.013529629874606024,-0.012592399706461766,0.3141025641025641,0.6153846153846154,0.7884615384615384,10.346350309600625,5.285789523891566,0.001398624517978766,0.0004289991244989394,43.45412100278414,0.22998967325009545,0.19036045968000198,0.46794871794871795,0.75,0.8974358974358975,7.499632701037547,0.3115786457132611,0.6668900543900543,0.8414260241183319
10,16-28,723,0.20832376973727673,0.15935685973919791,0.46196403872752423,0.5297372060857538,0.7634854771784232,8.63734342959364,0.9515760500868282,0.005693248363616225,0.0015687866350463599,43.45270986807627,0.4599849703140936,0.3767348405542865,0.5615491009681881,0.7925311203319502,0.8976486860304288,7.226226825974984,0.2274247681430478,0.5471891737651972,0.7403932512110561
20,1-5,121,0.1404002115687166,0.13194680785999888,0.8016528925619835,0.9586776859504132,1.0,2.3036235510613183,0.0,0.00028840372385072313,0.00012071594801079097,43.454137250411605,0.36301786465755326,0.321005801451234,0.8264462809917356,0.9917355371900827,1.0,2.323586625031007,0.7657024793388431,0.96900826446281,1.0
20,6-15,156,-0.01449937482784425,-0.01344175261084521,0.3141025641025641,0.6153846153846154,0.7884615384615384,10.482679418239572,5.2857895238915376,0.001398624517978766,0.0004289991244989394,43.45412100278414,0.22888521166833065,0.18951110677561855,0.46794871794871795,0.75,0.8974358974358975,7.6359618096764965,0.3115786457132611,0.6668900543900543,0.8414260241183319
20,16-28,723,0.20834263912283726,0.15936356821812356,0.46196403872752423,0.5297372060857538,0.7634854771784232,8.6430729655016,0.9515760500868282,0.005693248363616225,0.0015687866350463599,43.45270986807627,0.4599892501924558,0.3767359067678954,0.5615491009681881,0.7925311203319502,0.8976486860304288,7.23615113654451,0.22722717873384016,0.5467019554356553,0.7397306652441826
50,1-5,121,0.1404002115687166,0.13194680785999888,0.8016528925619835,0.9586776859504132,1.0,2.3036235510613157,0.0,0.00028840372385072313,0.00012071594801079097,43.454137250411605,0.36301786465755326,0.321005801451234,0.8264462809917356,0.9917355371900827,1.0,2.323586625031008,0.7657024793388431,0.96900826446281,1.0
50,6-15,156,-0.01449937482784425,-0.01344175261084521,0.3141025641025641,0.6153846153846154,0.7884615384615384,10.482679418239572,5.285789523891594,0.001398624517978766,0.0004289991244989394,43.45412100278414,0.22888521166833065,0.18951110677561855,0.46794871794871795,0.75,0.8974358974358975,7.635961809676494,0.3115786457132611,0.6668900543900543,0.8414260241183319
50,16-28,723,0.20834263912283726,0.15936356821812356,0.46196403872752423,0.5297372060857538,0.7634854771784232,8.643072965501599,0.9515760500868282,0.005693248363616225,0.0015687866350463599,43.45270986807627,0.4599892501924558,0.3767359067678954,0.5615491009681881,0.7925311203319502,0.8976486860304288,7.2361511365445095,0.22722717873384016,0.5467019554356553,0.7397306652441826
