predicted_decile,sample_count,mean_predicted_q,mean_bellman_target,calibration_error
0,6000.0,3.9977882000000005,61.822678,-57.8248898
1,6000.0,9.226844,62.491955,-53.265111
2,6000.0,13.381255,67.32377,-53.942515
3,6000.0,17.437107,69.60614,-52.169033
4,6000.0,21.458755,72.42419,-50.965435
5,6000.0,25.462420999999996,76.612305,-51.149884000000014
6,6000.0,29.455542,80.37927,-50.923728000000004
7,6000.0,33.44146,84.27469,-50.83323000000001
8,6000.0,37.4223,86.77839,-49.35609
9,6000.0,41.39939,89.78763599999999,-48.388245999999995
