action_index,pair,visit_count,mean_selected_q,mean_absolute_td_error
0,"(1, 2)",797,18.65187468372257,46.38960776574339
1,"(1, 3)",857,18.95297884637688,44.87594346988994
2,"(1, 4)",1006,19.77287488258916,51.76678608994835
3,"(1, 5)",1075,20.082620408368665,45.1536668280668
4,"(1, 6)",1208,20.510997456714318,53.90518798970229
5,"(1, 7)",1380,21.90794373638388,58.79907285579737
6,"(1, 8)",1647,21.057924830848403,55.66684393717726
7,"(2, 3)",983,20.242047995988315,46.37700830034662
8,"(2, 4)",1383,22.00026722207655,52.03559342313313
9,"(2, 5)",1171,20.50115601178879,47.459426542717
10,"(2, 6)",1652,21.83761458422258,54.963638107078125
11,"(2, 7)",1829,23.457115462511176,58.940096685702585
12,"(2, 8)",2101,21.980852342897343,55.52055538818418
13,"(3, 4)",1397,22.19566291654396,53.66301162189984
14,"(3, 5)",1477,21.44855529462355,45.94940235910177
15,"(3, 6)",1633,22.190485888014194,54.03487886451025
16,"(3, 7)",1938,23.67886856166017,58.86100440227087
17,"(3, 8)",2430,22.916766628500365,53.71900833153431
18,"(4, 5)",1843,22.74762691878393,50.18372125723927
19,"(4, 6)",2503,23.621379535307398,54.160863805855456
20,"(4, 7)",3284,25.144009345958644,55.78094527840469
21,"(4, 8)",3154,24.15289144062531,54.40574778766669
22,"(5, 6)",2425,23.13039399089349,51.73181190687357
23,"(5, 7)",2689,25.08205677726084,54.53962839097505
24,"(5, 8)",3469,23.253097490876545,51.21691175412981
25,"(6, 7)",4088,25.183826551477857,54.430569481709696
26,"(6, 8)",4828,24.834795500155284,50.9718805218691
27,"(7, 8)",5753,25.54629393233941,50.29440821122651
