episode,mean_absolute_residual,max_absolute_residual,mean_effective_set_std,median_effective_set_spread,collapse_rate
1,1.4243414225845186e-09,9.778887033462524e-09,0.03632744244299829,0.1474158838391304,0.0
2,2.3466422138795906e-09,1.3504177331924438e-08,0.03920232360251248,0.14612224698066711,0.0
3,3.6638629907770337e-09,1.9208528101444244e-08,0.03864696900825947,0.1448744311928749,0.0
4,3.3428704249161e-09,1.5046680346131325e-08,0.03909779090434313,0.16937538236379623,0.1
5,5.385905055277362e-09,2.6193447411060333e-08,0.054692938132211565,0.23301012814044952,0.005
6,6.658925855163034e-09,4.0956365410238504e-08,0.06017146530561149,0.2756378501653671,0.005
7,8.982961041681392e-09,3.282912075519562e-08,0.06024764761328697,0.26939767599105835,0.06
8,1.1280244294198383e-08,5.3103576647117734e-08,0.06689191927202046,0.3225405812263489,0.0
9,1.0601215905126082e-08,4.6100467443466187e-08,0.06537148077972234,0.29480308294296265,0.075
10,9.77801395407596e-09,3.818422555923462e-08,0.06358575439546257,0.29719722270965576,0.125
11,1.1299270852305199e-08,5.3085386753082275e-08,0.07330636337399482,0.32364316284656525,0.0
12,1.1987285830628025e-08,4.190951585769653e-08,0.07781630979850888,0.326370432972908,0.0
13,1.1089723805923768e-08,4.377216100692749e-08,0.0694011625368148,0.32664230465888977,0.0
14,1.2322561637745366e-08,5.681067705154419e-08,0.07201011764816939,0.33443063497543335,0.0
15,1.1665979293695727e-08,3.958120942115784e-08,0.07003439711406827,0.31977951526641846,0.005
16,1.2152595374459452e-08,5.192123353481293e-08,0.05731028855312616,0.2768906354904175,0.15
17,1.2218988487688875e-08,5.157198756933212e-08,0.07655137813650072,0.3231082856655121,0.0
18,1.1792667287124914e-08,4.819594323635101e-08,0.0831308457441628,0.36005163192749023,0.0
19,9.9313179902083e-09,4.0512531995773315e-08,0.07470140859484672,0.35463716089725494,0.14
20,9.900857023126264e-09,4.540197551250458e-08,0.07054531933739781,0.2973562777042389,0.075
