horizon,coupling_group,method,state_count,spearman,kendall,top1_rate,top3_rate,top5_rate,mean_regret,median_regret
5,coupled,Centered Advantage,216,0.1544334081647914,0.13704251502722634,0.2824074074074074,0.5879629629629629,0.6944444444444444,11.215327345159604,6.356342873134068
5,coupled,Old Q critic,216,0.016682607510908252,0.012561201785693702,0.20833333333333334,0.3888888888888889,0.5787037037037037,14.209362294046649,10.241433039501842
5,coupled,PPO Actor,216,0.13882800203170684,0.11882735100536473,0.18055555555555555,0.5694444444444444,0.7731481481481481,14.491478121638947,9.358050425820153
5,easy,Centered Advantage,784,0.5935324061876476,0.4929089969199081,0.5446428571428571,0.9081632653061225,0.9655612244897959,4.108844865539664,0.0
5,easy,Old Q critic,784,0.21845105839297718,0.16791795065411733,0.5650510204081632,0.6632653061224489,0.8737244897959183,6.410419935672457,0.0
5,easy,PPO Actor,784,0.5094587088738518,0.41719628849594437,0.7079081632653061,0.9030612244897959,0.9757653061224489,4.3179202597955975,0.0
10,coupled,Centered Advantage,216,0.1290834003097257,0.11802176666224586,0.2361111111111111,0.5,0.6203703703703703,11.423701871379889,7.623203435255078
10,coupled,Old Q critic,216,-0.0091604092572198,-0.009369413105516922,0.16203703703703703,0.33796296296296297,0.5138888888888888,14.647749800123409,11.260149057368722
10,coupled,PPO Actor,216,0.11656059369691124,0.10219300040709517,0.1388888888888889,0.5092592592592593,0.6990740740740741,14.869605943180758,10.216984713795597
10,easy,Centered Advantage,784,0.5908139031393962,0.4897984859038798,0.5395408163265306,0.9081632653061225,0.9655612244897959,4.118253871239004,0.0
10,easy,Old Q critic,784,0.21844946432644533,0.16799976663640745,0.5676020408163265,0.6658163265306123,0.8737244897959183,6.343946990747019,0.0
10,easy,PPO Actor,784,0.5066505549987738,0.41417862862968297,0.7002551020408163,0.8928571428571429,0.9681122448979592,4.418142594953417,0.0
20,coupled,Centered Advantage,216,0.12874696347894166,0.1174956584885526,0.2361111111111111,0.5,0.6203703703703703,11.475821180756277,7.623203435255164
20,coupled,Old Q critic,216,-0.00940563641419794,-0.009698998159641661,0.16203703703703703,0.33796296296296297,0.5138888888888888,14.763379115418445,11.260149057368722
20,coupled,PPO Actor,216,0.11599201824136715,0.10179229972108766,0.1388888888888889,0.5092592592592593,0.6990740740740741,14.999276101440213,10.216984713795568
20,easy,Centered Advantage,784,0.590743675409138,0.48970482806974397,0.5395408163265306,0.9081632653061225,0.9655612244897959,4.114940317338834,0.0
20,easy,Old Q critic,784,0.21832953715783682,0.16791979715888672,0.5676020408163265,0.6658163265306123,0.8737244897959183,6.344500387820236,0.0
20,easy,PPO Actor,784,0.50658484769523,0.414114638781996,0.7002551020408163,0.8928571428571429,0.9681122448979592,4.418695992026634,0.0
50,coupled,Centered Advantage,216,0.12874696347894166,0.1174956584885526,0.2361111111111111,0.5,0.6203703703703703,11.475821180756277,7.623203435255164
50,coupled,Old Q critic,216,-0.00940563641419794,-0.009698998159641661,0.16203703703703703,0.33796296296296297,0.5138888888888888,14.763379115418442,11.260149057368722
50,coupled,PPO Actor,216,0.11599201824136715,0.10179229972108766,0.1388888888888889,0.5092592592592593,0.6990740740740741,14.999276101440213,10.216984713795568
50,easy,Centered Advantage,784,0.590743675409138,0.48970482806974397,0.5395408163265306,0.9081632653061225,0.9655612244897959,4.114940317338834,0.0
50,easy,Old Q critic,784,0.21832953715783682,0.16791979715888672,0.5676020408163265,0.6658163265306123,0.8737244897959183,6.344500387820236,0.0
50,easy,PPO Actor,784,0.50658484769523,0.414114638781996,0.7002551020408163,0.8928571428571429,0.9681122448979592,4.418695992026633,0.0
