horizon,safe_set_bin,method,state_count,spearman,kendall,top1_rate,top3_rate,top5_rate,mean_regret,median_regret
5,1-5,Centered Advantage,78,0.21852522553544795,0.1955264084011233,0.6666666666666666,0.9871794871794872,1.0,3.5009975216227374,0.0
5,1-5,Old Q critic,78,0.11839952445355142,0.10957668573101202,0.7051282051282052,0.9487179487179487,1.0,3.37402665562601,0.0
5,1-5,PPO Actor,78,0.32482391270860195,0.2795843103864234,0.7307692307692307,0.9871794871794872,1.0,3.306271276678053,0.0
5,16-28,Centered Advantage,723,0.5442172732623138,0.45312103118853053,0.4467496542185339,0.8312586445366529,0.8948824343015215,6.015559795155529,0.6585774440684986
5,16-28,Old Q critic,723,0.2135257518746306,0.1631591712535275,0.46887966804979253,0.5366528354080221,0.7786998616874136,8.667028216507202,0.8476725706217678
5,16-28,PPO Actor,723,0.47077816842399844,0.38548185777322297,0.5809128630705395,0.8188105117565698,0.9253112033195021,7.02697444235742,0.0
5,6-15,Centered Advantage,156,0.32038267530682757,0.2689445921174056,0.44871794871794873,0.7564102564102564,0.8910256410256411,6.548189375343274,1.2417414527502757
5,6-15,Old Q critic,156,-0.008601587485616787,-0.0074677698833594515,0.3269230769230769,0.6346153846153846,0.8076923076923077,10.035615419280422,5.261486628540439
5,6-15,PPO Actor,156,0.22976024976818266,0.19172557977428228,0.47435897435897434,0.7628205128205128,0.9102564102564102,7.54498125992601,0.8172930976870418
5,empty,Centered Advantage,43,,,1.0,1.0,1.0,0.0,0.0
5,empty,Old Q critic,43,,,1.0,1.0,1.0,0.0,0.0
5,empty,PPO Actor,43,,,1.0,1.0,1.0,0.0,0.0
10,1-5,Centered Advantage,78,0.24364047461178903,0.22270530909953654,0.6666666666666666,0.9871794871794872,1.0,3.799264470954329,0.0
10,1-5,Old Q critic,78,0.08695837570461387,0.0775220180762778,0.6923076923076923,0.9358974358974359,1.0,3.5735698676720484,0.0
10,1-5,PPO Actor,78,0.3354618024084316,0.2885646155734705,0.7307692307692307,0.9871794871794872,1.0,3.604538226009645,0.0
10,16-28,Centered Advantage,723,0.5322569049575983,0.44295620158605,0.43015214384508993,0.8077455048409405,0.8755186721991701,6.098691154668176,1.0077452415858374
10,16-28,Old Q critic,723,0.20832376973727673,0.15935685973919791,0.46196403872752423,0.5297372060857538,0.7634854771784232,8.63734342959364,0.9515760500868282
10,16-28,PPO Actor,723,0.4599849703140936,0.3767348405542865,0.5615491009681881,0.7925311203319502,0.8976486860304288,7.226226825974984,0.0
10,6-15,Centered Advantage,156,0.3185791499401538,0.26574852954608974,0.4358974358974359,0.7435897435897436,0.8782051282051282,6.349578882755812,1.434076220593056
10,6-15,Old Q critic,156,-0.013529629874606024,-0.012592399706461766,0.3141025641025641,0.6153846153846154,0.7884615384615384,10.346350309600625,5.285789523891566
10,6-15,PPO Actor,156,0.22998967325009545,0.19036045968000198,0.46794871794871795,0.75,0.8974358974358975,7.499632701037547,1.2130881284039674
10,empty,Centered Advantage,43,,,1.0,1.0,1.0,0.0,0.0
10,empty,Old Q critic,43,,,1.0,1.0,1.0,0.0,0.0
10,empty,PPO Actor,43,,,1.0,1.0,1.0,0.0,0.0
20,1-5,Centered Advantage,78,0.24364047461178903,0.22270530909953654,0.6666666666666666,0.9871794871794872,1.0,3.799264470954326,0.0
20,1-5,Old Q critic,78,0.08695837570461387,0.0775220180762778,0.6923076923076923,0.9358974358974359,1.0,3.573569867672045,0.0
20,1-5,PPO Actor,78,0.3354618024084316,0.2885646155734705,0.7307692307692307,0.9871794871794872,1.0,3.6045382260096392,0.0
20,16-28,Centered Advantage,723,0.5322001642008344,0.44280636310058796,0.43015214384508993,0.8077455048409405,0.8755186721991701,6.099292808641317,1.0077452415857806
20,16-28,Old Q critic,723,0.20834263912283726,0.15936356821812356,0.46196403872752423,0.5297372060857538,0.7634854771784232,8.6430729655016,0.9515760500868282
20,16-28,PPO Actor,723,0.4599892501924558,0.3767359067678954,0.5615491009681881,0.7925311203319502,0.8976486860304288,7.23615113654451,0.0
20,6-15,Centered Advantage,156,0.3180584604153376,0.26529065408821434,0.4358974358974359,0.7435897435897436,0.8782051282051282,6.402302913172388,1.434076220593056
20,6-15,Old Q critic,156,-0.01449937482784425,-0.01344175261084521,0.3141025641025641,0.6153846153846154,0.7884615384615384,10.482679418239572,5.2857895238915376
20,6-15,PPO Actor,156,0.22888521166833065,0.18951110677561855,0.46794871794871795,0.75,0.8974358974358975,7.6359618096764965,1.2130881284040242
20,empty,Centered Advantage,43,,,1.0,1.0,1.0,0.0,0.0
20,empty,Old Q critic,43,,,1.0,1.0,1.0,0.0,0.0
20,empty,PPO Actor,43,,,1.0,1.0,1.0,0.0,0.0
50,1-5,Centered Advantage,78,0.24364047461178903,0.22270530909953654,0.6666666666666666,0.9871794871794872,1.0,3.799264470954326,0.0
50,1-5,Old Q critic,78,0.08695837570461387,0.0775220180762778,0.6923076923076923,0.9358974358974359,1.0,3.5735698676720413,0.0
50,1-5,PPO Actor,78,0.3354618024084316,0.2885646155734705,0.7307692307692307,0.9871794871794872,1.0,3.6045382260096406,0.0
50,16-28,Centered Advantage,723,0.5322001642008344,0.44280636310058796,0.43015214384508993,0.8077455048409405,0.8755186721991701,6.099292808641316,1.0077452415857806
50,16-28,Old Q critic,723,0.20834263912283726,0.15936356821812356,0.46196403872752423,0.5297372060857538,0.7634854771784232,8.643072965501599,0.9515760500868282
50,16-28,PPO Actor,723,0.4599892501924558,0.3767359067678954,0.5615491009681881,0.7925311203319502,0.8976486860304288,7.2361511365445095,0.0
50,6-15,Centered Advantage,156,0.3180584604153376,0.26529065408821434,0.4358974358974359,0.7435897435897436,0.8782051282051282,6.402302913172387,1.434076220593056
50,6-15,Old Q critic,156,-0.01449937482784425,-0.01344175261084521,0.3141025641025641,0.6153846153846154,0.7884615384615384,10.482679418239572,5.285789523891594
50,6-15,PPO Actor,156,0.22888521166833065,0.18951110677561855,0.46794871794871795,0.75,0.8974358974358975,7.635961809676494,1.2130881284040242
50,empty,Centered Advantage,43,,,1.0,1.0,1.0,0.0,0.0
50,empty,Old Q critic,43,,,1.0,1.0,1.0,0.0,0.0
50,empty,PPO Actor,43,,,1.0,1.0,1.0,0.0,0.0
