episode,transition_count,value_mean,gae_return_target_mean,value_target_mae,value_target_correlation,explained_variance
1,200,0.16487795945256947,268.20855001449587,268.04367205504326,-0.3566729577389818,-0.00016159113499303324
2,200,0.41034562230110166,284.77053663253787,284.36019101023675,-0.18295375823231885,-8.409020653399324e-05
3,200,0.6694485688209534,270.6397410774231,269.97029250860214,-0.26982715633808757,-0.00012695907832416253
4,200,0.9551613870263099,248.46661657333374,247.61234510987998,-0.33739874140654313,-0.00018036172557756025
5,200,1.2909385132789613,279.9881210136414,278.6971825003624,-0.22518115902079888,-0.00020495557898692063
6,200,1.661124325990677,279.72986030578613,278.06873597979546,-0.19723437459736717,-0.00017843806469985957
7,200,2.0522704887390137,306.85573373794557,304.8034632492065,-0.1766952146661534,-0.0001726214904715917
8,200,2.4285381412506104,284.9971722602844,282.5686341190338,-0.19095356367188424,-0.00019657758456137486
9,200,2.7866693329811096,273.09725355148316,270.3105842185021,-0.3563038236006132,-0.00034788331917612325
10,200,3.1105333161354065,258.0438831853867,255.07414726495742,-0.3747199643889102,-0.0003753330070124239
11,200,3.39927533864975,275.21673809051515,271.8174627518654,-0.29846616193235087,-0.00027981036370317014
12,200,3.659226131439209,286.7002440071106,283.0410178756714,-0.22878472673888073,-0.0001879545022045459
13,200,3.8922001874446868,274.0312746047974,270.1390744173527,-0.345817724665727,-0.00024889370812641864
14,200,4.101174519062043,258.28571901321413,254.18454449415208,-0.40637592929235716,-0.00028593184204805944
15,200,4.301209843158722,269.2656000709534,264.96439022779464,-0.19074753896023008,-0.00011889212763671608
16,200,4.489613587856293,256.74522216796873,252.40424151182174,-0.3589235061494199,-0.000181754168170567
17,200,4.667234587669372,280.661150226593,275.9939156389236,-0.22579060566118012,-0.00012448037067214202
18,200,4.838864443302154,296.7429083442688,291.90404390096666,-0.30920763616445734,-0.0001405285610047713
19,200,5.004748964309693,293.07227125167844,288.0675222873688,-0.41149456863223094,-0.00017352358800293288
20,200,5.165532047748566,266.99952876091004,261.83399671316147,-0.3410855327764469,-0.00012320041135538418
21,200,5.32441695690155,282.9674789237976,277.6430619668961,-0.24713305795117765,-8.07578879540305e-05
22,200,5.4807728171348575,272.6455705833435,267.16479776620866,-0.26794324210337206,-9.795007592772187e-05
23,200,5.6338221454620365,275.8087349891663,270.17491284370425,-0.24587464167883083,-7.319017762963398e-05
24,200,5.785970063209533,276.3380564022064,270.5520863389969,-0.32646114523015934,-0.00010142060486217908
25,200,5.935593166351318,265.827402215004,260.02705948352815,-0.35149856812851754,-9.561849934236477e-05
26,200,6.084238953590393,281.88756353378295,275.80332458019257,-0.2554079589043668,-6.711970347472729e-05
27,200,6.230869793891907,258.58076416015626,252.34989436626435,-0.3492697459717876,-0.00010358958437239885
28,200,6.37733728647232,278.43960382461546,272.06226653814315,-0.2909636873584542,-7.268455813047581e-05
29,200,6.522757053375244,273.2418366241455,266.71907957077025,-0.23376932110213797,-5.7227701696138666e-05
30,200,6.668621103763581,297.92317056655884,291.25454946279524,-0.23506933614647813,-4.7728924343903856e-05
31,200,6.809696810245514,265.2092410469055,258.39954423666,-0.3449001108802623,-7.206568426609827e-05
32,200,6.953584184646607,288.6287452888489,281.6751611042023,-0.3404377687866571,-7.2920371048113e-05
33,200,7.095535414218903,289.60494115829465,282.50940574407576,-0.31597596487518165,-5.5832473471628674e-05
34,200,7.237219314575196,269.88431844711306,262.64709913253785,-0.27708933093197713,-5.828578391153805e-05
35,200,7.378846774101257,288.1409243774414,280.7620776033402,-0.2724869517795205,-5.07997132113136e-05
36,200,7.519275786876679,285.9517021751404,278.4324263882637,-0.19133425757706565,-3.3129225960770725e-05
37,200,7.659453210830688,260.1364435148239,252.6578767442703,-0.2999949835632657,-4.355137845513113e-05
38,200,7.799836547374725,250.92811992645264,243.33400173902513,-0.42550045890071414,-5.415541200903817e-05
39,200,7.939613771438599,306.0662449836731,298.1266312122345,-0.2271547840891843,-3.203440357735232e-05
40,200,8.078568177223206,248.9015303516388,241.02963915348053,-0.31396078794253696,-3.8875695787643494e-05
41,200,8.217314229011535,275.2845027732849,267.0671885442734,-0.3024358003423311,-4.613718691781621e-05
42,200,8.356158633232116,286.88775888442996,278.5316002511978,-0.3544180195966917,-4.3405164794618756e-05
43,200,8.49436053276062,242.08854352474214,233.8520786523819,-0.381210089735483,-3.826275314078309e-05
44,200,8.632757525444031,269.69381355285645,261.0610560274124,-0.16698468572179043,-2.141738607286392e-05
45,200,8.771041555404663,286.0267601585388,277.25571860313414,-0.2672777113309426,-2.952655175780805e-05
46,200,8.908107233047485,240.96726696491243,232.2835376691818,-0.37282535191297894,-3.443671350700228e-05
47,200,9.046051096916198,296.31018156051636,287.26413046360017,-0.35454428693423323,-4.1250252518887365e-05
48,200,9.183486771583556,226.64448512554168,217.69781838417055,-0.4643403437860871,-4.614429196569958e-05
49,200,9.320123252868653,269.36175828933716,260.0416350364685,-0.23910103780252429,-2.3602989038806754e-05
50,200,9.457320809364319,272.53603307724,263.0787122678757,-0.13339410602613805,-1.3469940082222465e-05
51,200,9.593780255317688,273.68617925643923,264.0923990011215,-0.16771954665313907,-1.4854591692037289e-05
52,200,9.730626640319825,259.3678521156311,249.63722547531128,-0.2965652630694276,-2.7459400073315265e-05
53,200,9.86706880569458,284.13007978439333,274.26301097869873,-0.42341389883520714,-3.932164418585238e-05
54,200,10.003497276306152,271.89808656692503,261.8945892906189,-0.17112217650528586,-1.401979816306742e-05
55,200,10.139807224273682,270.8296103096008,260.6898030853271,-0.14542115341699582,-1.1539292861906247e-05
56,200,10.276046419143677,291.8192392539978,281.54319283485415,-0.2818557831789262,-2.0263429834521673e-05
57,200,10.41176275730133,276.3858826255798,265.9741198682785,-0.3486030990684745,-3.120000381029442e-05
58,200,10.547693381309509,255.16986087799071,244.836886677742,-0.3845359895667904,-2.9094473958268807e-05
59,200,10.683473448753357,276.25359310150145,265.57011965274813,-0.22175931705467714,-1.7232477477646668e-05
60,200,10.819188151359558,290.30625024795535,279.48706209659576,-0.24773200652898678,-1.6527205701777348e-05
61,200,10.954766688346863,251.1657311439514,240.21096445560454,-0.10336708625111687,-6.894916855681998e-06
62,200,11.090266075134277,279.5867481994629,268.4964821243286,-0.2543841628931309,-1.8127532309009098e-05
