reference,method,state_count,mean_spearman,median_spearman,top1_hit_rate,top3_optimal_overlap,top5_optimal_overlap,mean_regret,median_regret,p90_regret
FutureEvent,CenteredAdvantage,1000,-0.2541481308795492,-0.3116079263994735,0.759,0.7306666666666666,0.7467666666666667,2.8571728037755553,0.0,10.754474524573999
FutureEvent,OldQ,1000,-0.11414075747843946,-0.08679006234401197,0.766,0.7578333333333334,0.7728333333333334,2.657746373571017,0.0,10.281558136192553
FutureEvent,PPOActor,1000,-0.30523491448637896,-0.365540767496604,0.667,0.6973333333333334,0.7171666666666666,4.727896929469398,0.0,16.588724337974835
FutureEvent,SafeMin,1000,-0.1688980964817526,-0.07273929674533079,0.835,0.7710130952380952,0.7729503968253969,2.08481633131841,0.0,7.795891179911909
OwnEvent,CenteredAdvantage,1000,0.6654052692614508,0.7722714042477545,0.543,0.6263333333333333,0.5808166666666666,3.134832358128245,0.0,12.053343024411134
OwnEvent,OldQ,1000,0.23351172791072117,0.3512097199997123,0.583,0.5310833333333334,0.44288333333333335,5.715519597342825,0.0,23.77691366668569
OwnEvent,PPOActor,1000,0.5440360664839576,0.6344780526114936,0.878,0.6496666666666666,0.5968166666666666,2.4049251416388553,0.0,2.717013368565817
OwnEvent,SafeMin,1000,0.93939104834223,0.9999999999999998,0.999,0.9321857142857143,0.9117785714285714,0.965312595173654,0.0,0.0
TotalEvent,CenteredAdvantage,1000,0.542320927991976,0.628970902033151,0.467,0.502,0.4854,5.312943653672463,0.4773151499099413,14.609645974606462
TotalEvent,OldQ,1000,0.20326290925916687,0.3129584231184704,0.53,0.48625,0.40926666666666667,7.694204462682503,0.0,27.733856639785586
TotalEvent,PPOActor,1000,0.41337748206986624,0.5082526304073418,0.619,0.4933333333333333,0.4766,6.453760562876915,0.0,22.035577986708972
TotalEvent,SafeMin,1000,0.7848044633707638,0.9897433186107872,0.874,0.7593333333333334,0.7457519841269841,2.371067418260725,0.0,8.526363829701983
