group,group_value,gae_kind,semantics,component,n,pearson,spearman,sign_agreement,sign_agreement_including_zero
load,high,actor_normalized,decision,future,303,0.14483100796208362,0.14762051158489023,0.5483870967741935,0.33663366336633666
load,high,actor_normalized,decision,own,303,0.15765795930689733,0.1877214877061978,0.5220338983050847,0.5082508250825083
load,high,actor_normalized,decision,total,303,0.20512961607247762,0.2197731707228387,0.5491525423728814,0.5346534653465347
load,high,actor_normalized,event,future,303,0.14882080954033952,0.1361822540519801,0.5483870967741935,0.33663366336633666
load,high,actor_normalized,event,own,303,0.15785039372215004,0.19353134055772028,0.5254237288135594,0.5115511551155115
load,high,actor_normalized,event,total,303,0.20747010113819875,0.22639876694696504,0.5559322033898305,0.5412541254125413
load,high,raw,decision,future,303,0.12994797616238363,0.13934299163286906,0.6559139784946236,0.40264026402640263
load,high,raw,decision,own,303,0.16384831181372164,0.19226264607922847,0.5830508474576271,0.5676567656765676
load,high,raw,decision,total,303,0.2030260735445735,0.21939355455790405,0.5898305084745763,0.5742574257425742
load,high,raw,event,future,303,0.13440336576200274,0.1263392104182527,0.6559139784946236,0.40264026402640263
load,high,raw,event,own,303,0.16413051609972903,0.1974901332231807,0.5796610169491525,0.5643564356435643
load,high,raw,event,total,303,0.20578898881919316,0.22564169152712377,0.5898305084745763,0.5742574257425742
load,low,actor_normalized,decision,future,398,0.09787957430143726,0.007845069434468796,0.66,0.24874371859296482
load,low,actor_normalized,decision,own,398,0.03632457364184604,0.034168027834979894,0.4832904884318766,0.4723618090452261
load,low,actor_normalized,decision,total,398,0.08128548229212308,0.12328142051037302,0.5141388174807198,0.5025125628140703
load,low,actor_normalized,event,future,398,0.09885107987978314,0.08543634520782487,0.6666666666666666,0.25125628140703515
load,low,actor_normalized,event,own,398,0.0351529488573487,0.039773539017516,0.4832904884318766,0.4723618090452261
load,low,actor_normalized,event,total,398,0.08045694600570098,0.1221352330636922,0.5167095115681234,0.5050251256281407
load,low,raw,decision,future,398,0.09399429791510737,0.008263983237494353,0.66,0.24874371859296482
load,low,raw,decision,own,398,0.028051555764478982,0.03276953631277719,0.583547557840617,0.5703517587939698
load,low,raw,decision,total,398,0.07198067277214126,0.11639633844469946,0.5578406169665809,0.5452261306532663
load,low,raw,event,future,398,0.09567391984743405,0.07940498897938233,0.6666666666666666,0.25125628140703515
load,low,raw,event,own,398,0.026697450003082705,0.03796564342918858,0.583547557840617,0.5703517587939698
load,low,raw,event,total,398,0.07134646721411318,0.11581478421937386,0.5552699228791774,0.542713567839196
load,medium,actor_normalized,decision,future,299,0.039693132186250514,-0.0036418502607895465,0.5230769230769231,0.22742474916387959
load,medium,actor_normalized,decision,own,299,0.10395439719418641,0.1539513065891575,0.5532646048109966,0.5384615384615384
load,medium,actor_normalized,decision,total,299,0.1067804485666624,0.15130532532459848,0.5360824742268041,0.5217391304347826
load,medium,actor_normalized,event,future,299,0.039946200042479535,0.03739897610375686,0.5307692307692308,0.23076923076923078
load,medium,actor_normalized,event,own,299,0.10320838696485393,0.15658920715083868,0.5532646048109966,0.5384615384615384
load,medium,actor_normalized,event,total,299,0.10639616472167887,0.15581476573525863,0.5360824742268041,0.5217391304347826
load,medium,raw,decision,future,299,0.060327845222906205,0.004387457327345276,0.6153846153846154,0.26755852842809363
load,medium,raw,decision,own,299,0.0913889642651997,0.14381376041364502,0.6563573883161512,0.6387959866220736
load,medium,raw,decision,total,299,0.11183069120788741,0.15112096209510018,0.6666666666666666,0.6488294314381271
load,medium,raw,event,future,299,0.06088226106233182,0.052775935758295554,0.6230769230769231,0.2709030100334448
load,medium,raw,event,own,299,0.09053188540222115,0.14596120768545437,0.6563573883161512,0.6387959866220736
load,medium,raw,event,total,299,0.11149541657133488,0.15602579622474377,0.6666666666666666,0.6488294314381271
