group,group_value,gae_kind,semantics,component,n,pearson,spearman,sign_agreement,sign_agreement_including_zero
requirement,0.9,actor_normalized,decision,future,300,0.1474257767054608,0.0540638437726949,0.5432098765432098,0.29333333333333333
requirement,0.9,actor_normalized,decision,own,300,0.15981625248649262,0.1875024308276051,0.5666666666666667,0.5666666666666667
requirement,0.9,actor_normalized,decision,total,300,0.21284215256154182,0.2450804333132727,0.5866666666666667,0.5866666666666667
requirement,0.9,actor_normalized,event,future,300,0.149996930457165,0.11542036720071233,0.5493827160493827,0.2966666666666667
requirement,0.9,actor_normalized,event,own,300,0.15916592085863102,0.18840558790009068,0.5666666666666667,0.5666666666666667
requirement,0.9,actor_normalized,event,total,300,0.21427058880487165,0.2451217399707269,0.5866666666666667,0.5866666666666667
requirement,0.9,raw,decision,future,300,0.14603114997092095,0.04533665137455905,0.6790123456790124,0.36666666666666664
requirement,0.9,raw,decision,own,300,0.1689620839282229,0.19181642814332603,0.5833333333333334,0.5833333333333334
requirement,0.9,raw,decision,total,300,0.21926630585973464,0.23994414146574564,0.59,0.59
requirement,0.9,raw,event,future,300,0.15067553491339564,0.1024915833492229,0.6851851851851852,0.37
requirement,0.9,raw,event,own,300,0.16831794100233052,0.19216755712327863,0.5833333333333334,0.5833333333333334
requirement,0.9,raw,event,total,300,0.2219607003933951,0.24025211894580872,0.59,0.59
requirement,0.99,actor_normalized,decision,future,220,-0.02647658970390534,-0.13856014181485016,0.5333333333333333,0.21818181818181817
requirement,0.99,actor_normalized,decision,own,220,0.0722850798700963,0.00674490834837672,0.4727272727272727,0.4727272727272727
requirement,0.99,actor_normalized,decision,total,220,0.043289153175094304,-0.023304315893144682,0.45,0.45
requirement,0.99,actor_normalized,event,future,220,-0.02409051906604774,-0.09955157013600756,0.5333333333333333,0.21818181818181817
requirement,0.99,actor_normalized,event,own,220,0.0752137059510845,0.015550941867973692,0.4727272727272727,0.4727272727272727
requirement,0.99,actor_normalized,event,total,220,0.04744487987360408,-0.016852164468091835,0.45454545454545453,0.45454545454545453
requirement,0.99,raw,decision,future,220,-0.00045508835047905054,-0.12035240297089063,0.5888888888888889,0.2409090909090909
requirement,0.99,raw,decision,own,220,0.05990378255623459,0.006012819783491914,0.5954545454545455,0.5954545454545455
requirement,0.99,raw,decision,total,220,0.04952873560376293,-0.013485002522620053,0.5545454545454546,0.5545454545454546
requirement,0.99,raw,event,future,220,0.0024630965996657117,-0.08530260237453527,0.5888888888888889,0.2409090909090909
requirement,0.99,raw,event,own,220,0.06210267798885584,0.014210178242999626,0.5954545454545455,0.5954545454545455
requirement,0.99,raw,event,total,220,0.053343074602561186,-0.00825279881742869,0.55,0.55
requirement,0.999,actor_normalized,decision,future,220,0.1800659556750696,0.15238383487034166,0.6363636363636364,0.38181818181818183
requirement,0.999,actor_normalized,decision,own,220,0.07013244577431572,0.04705391113862838,0.5272727272727272,0.5272727272727272
requirement,0.999,actor_normalized,decision,total,220,0.17044909855970092,0.18597233957849402,0.5681818181818182,0.5681818181818182
requirement,0.999,actor_normalized,event,future,220,0.18158228617919875,0.18042286907344066,0.6439393939393939,0.38636363636363635
requirement,0.999,actor_normalized,event,own,220,0.06949013771410208,0.049325941720894294,0.5272727272727272,0.5272727272727272
requirement,0.999,actor_normalized,event,total,220,0.17053776696002348,0.19105058267092564,0.5727272727272728,0.5727272727272728
requirement,0.999,raw,decision,future,220,0.1652274491798902,0.14312770000100808,0.6287878787878788,0.37727272727272726
requirement,0.999,raw,decision,own,220,0.055249612426720954,0.03985182213269076,0.6227272727272727,0.6227272727272727
requirement,0.999,raw,decision,total,220,0.149258657239248,0.16486201767749922,0.6272727272727273,0.6272727272727273
requirement,0.999,raw,event,future,220,0.1673727023586828,0.17264038288759184,0.6363636363636364,0.38181818181818183
requirement,0.999,raw,event,own,220,0.05447745378293324,0.041633608020866554,0.6227272727272727,0.6227272727272727
requirement,0.999,raw,event,total,220,0.14967168902224934,0.17090440568017834,0.6318181818181818,0.6318181818181818
requirement,0.9999,actor_normalized,decision,future,260,0.13320562313084144,0.1450826176129267,0.5975609756097561,0.18846153846153846
requirement,0.9999,actor_normalized,decision,own,260,0.07106024640556223,0.1383468685134086,0.4808510638297872,0.4346153846153846
requirement,0.9999,actor_normalized,decision,total,260,0.09899249673022129,0.15538040704237768,0.502127659574468,0.45384615384615384
requirement,0.9999,actor_normalized,event,future,260,0.13820930939524348,0.17144672302700628,0.5975609756097561,0.18846153846153846
requirement,0.9999,actor_normalized,event,own,260,0.06953195218607573,0.14015630202839593,0.4851063829787234,0.43846153846153846
requirement,0.9999,actor_normalized,event,total,260,0.09811523334900418,0.15811411782588095,0.5063829787234042,0.4576923076923077
requirement,0.9999,raw,decision,future,260,0.13657991401528125,0.14176500252612495,0.6707317073170732,0.21153846153846154
requirement,0.9999,raw,decision,own,260,0.07225724045241465,0.1376312540555136,0.625531914893617,0.5653846153846154
requirement,0.9999,raw,decision,total,260,0.10092029516975916,0.15812793072487932,0.6297872340425532,0.5692307692307692
requirement,0.9999,raw,event,future,260,0.1401652889631749,0.17187618764379387,0.6707317073170732,0.21153846153846154
requirement,0.9999,raw,event,own,260,0.0708647090413404,0.1395447371941772,0.6212765957446809,0.5615384615384615
requirement,0.9999,raw,event,total,260,0.0998400035232245,0.16043522094003151,0.625531914893617,0.5653846153846154
