stratum,count,gae_kind,mean_future_spread,conflict_rate,gae_future_spearman,gae_future_sign,safemin_total_mean_regret,ppo_total_mean_regret
coupled,174,actor_normalized,24.602817536378133,0.6264367816091954,0.09063624767827001,0.5506329113924051,13.626199588735336,11.68253150439864
coupled,174,raw,24.602817536378133,0.6264367816091954,0.06509180373632138,0.5822784810126582,13.626199588735336,11.68253150439864
easy,826,actor_normalized,7.57240563634585,0.0036319612590799033,0.07212800751634733,0.5974025974025974,0.00013158573943945247,7.936302414222347
easy,826,raw,7.57240563634585,0.0036319612590799033,0.07773540948649625,0.685064935064935,0.00013158573943945247,7.936302414222347
high,303,actor_normalized,13.081013648218994,0.1485148514851485,0.1361822540519801,0.5483870967741935,3.213224069336183,10.855828365729288
high,303,raw,13.081013648218994,0.1485148514851485,0.1263392104182527,0.6559139784946236,3.213224069336183,10.855828365729288
0.9999,260,actor_normalized,3.194552720609459,0.06538461538461539,0.17144672302700628,0.5975609756097561,1.2290100516206175,7.397105140893571
0.9999,260,raw,3.194552720609459,0.06538461538461539,0.17187618764379387,0.6707317073170732,1.2290100516206175,7.397105140893571
6-15,98,actor_normalized,6.028736171331062,0.12244897959183673,0.07257975856721241,0.4883720930232558,2.212270446658453,7.241927774081572
6-15,98,raw,6.028736171331062,0.12244897959183673,0.06252162573913747,0.5116279069767442,2.212270446658453,7.241927774081572
