state_id,positive_fraction,negative_fraction,near_zero_fraction,within_state_sign_diversity
ep001_task001,,,1.0,0
ep001_task013,0.72,0.28,0.0,2
ep001_task026,,,1.0,0
ep001_task038,,,1.0,0
ep001_task051,0.7083333333333334,0.2916666666666667,0.0,2
ep001_task063,,,1.0,0
ep001_task076,,,1.0,0
ep001_task088,0.7083333333333334,0.2916666666666667,0.0,2
ep001_task100,,,1.0,0
ep001_task113,0.68,0.32,0.0,2
ep001_task125,0.6818181818181818,0.3181818181818182,0.0,2
ep001_task138,,,1.0,0
ep001_task150,,,1.0,0
ep001_task163,,,1.0,0
ep001_task175,,,1.0,0
ep001_task188,,,1.0,0
ep001_task200,,,1.0,0
ep003_task001,,,1.0,0
ep003_task013,0.5357142857142857,0.4642857142857143,0.0,2
ep003_task026,,,1.0,0
ep003_task038,0.75,0.25,0.0,2
ep003_task051,0.7142857142857143,0.2857142857142857,0.0,2
ep003_task063,0.75,0.25,0.0,2
ep003_task076,,,1.0,0
ep003_task088,,,1.0,0
ep003_task100,,,1.0,0
ep003_task113,,,1.0,0
ep003_task125,0.72,0.28,0.0,2
ep003_task138,,,1.0,0
ep003_task150,,,1.0,0
ep003_task163,0.75,0.25,0.0,2
ep003_task175,0.7142857142857143,0.2857142857142857,0.0,2
ep003_task188,0.75,0.25,0.0,2
ep003_task200,,,1.0,0
ep006_task001,,,1.0,0
ep006_task013,0.7407407407407407,0.25925925925925924,0.0,2
ep006_task026,0.3333333333333333,0.6666666666666666,0.0,2
ep006_task038,0.75,0.25,0.0,2
ep006_task051,,,1.0,0
ep006_task063,0.7407407407407407,0.25925925925925924,0.0,2
ep006_task076,0.5789473684210527,0.42105263157894735,0.0,2
ep006_task088,,,1.0,0
ep006_task100,,,1.0,0
ep006_task113,0.9259259259259259,0.07407407407407407,0.0,2
ep006_task125,0.7619047619047619,0.23809523809523808,0.0,2
ep006_task138,0.5357142857142857,0.4642857142857143,0.0,2
ep006_task150,0.5357142857142857,0.4642857142857143,0.0,2
ep006_task163,,,1.0,0
ep006_task175,0.5357142857142857,0.4642857142857143,0.0,2
ep006_task188,,,1.0,0
ep006_task200,,,1.0,0
ep007_task001,,,1.0,0
ep007_task013,,,1.0,0
ep007_task026,0.5,0.5,0.0,2
ep007_task038,,,1.0,0
ep007_task051,0.72,0.28,0.0,2
ep007_task063,,,1.0,0
ep007_task076,,,1.0,0
ep007_task088,,,1.0,0
ep007_task100,0.5625,0.4375,0.0,2
ep007_task113,0.75,0.25,0.0,2
ep007_task125,0.6666666666666666,0.3333333333333333,0.0,2
ep007_task138,,,1.0,0
ep007_task150,,,1.0,0
ep007_task163,0.75,0.25,0.0,2
ep007_task175,0.75,0.25,0.0,2
ep007_task188,0.75,0.25,0.0,2
ep007_task200,,,1.0,0
ep010_task001,,,1.0,0
ep010_task013,,,1.0,0
ep010_task026,0.75,0.25,0.0,2
ep010_task038,0.75,0.25,0.0,2
