semantics,component,n,mean,median,p75,p90,p95
decision,own,1000,26.35218359082636,23.800003541650625,33.27189796137179,42.61476020449334,55.2186598718228
decision,future,1000,10.377646524802458,0.0,16.497833881955586,34.37451346701625,47.57011094464924
decision,total,1000,31.479175092110534,26.576462853619603,38.8704248750501,56.134345877327284,70.19421725231557
event,own,1000,26.875454729702266,24.552439045434742,34.05696534866541,44.221038659567185,56.807592005475406
event,future,1000,10.535697306951468,0.0,16.144998457926395,33.95115589296064,49.53335785914001
event,total,1000,32.2001341599012,27.854591501073315,39.71743679514147,57.94570629781312,71.74873960024908
event,future_over_own_spread_ratio,1000,0.6147202946140459,0.0,0.6766866821228847,1.818052201419204,2.731890547118128
event,conflict_rate,1000,0.112,0.0,0.0,1.0,1.0
event,positive_fraction,466,0.7004390115564274,0.75,0.75,0.7609523809523809,0.873641304347826
event,negative_fraction,466,0.2995609884435726,0.25,0.3333333333333333,0.4642857142857143,0.5
event,near_zero_fraction,1000,0.534,1.0,1.0,1.0,1.0
event,within_state_sign_diversity,1000,0.932,0.0,2.0,2.0,2.0
