state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,gae_kind,gae_value,semantics,component,selected_action,selected_advantage,conflict_state
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,raw,357.3488464355469,decision,own,23,8.69706772909231,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,raw,357.3488464355469,decision,future,23,-1.1368683772161603e-13,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,raw,357.3488464355469,decision,total,23,8.697067729092225,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,raw,357.3488464355469,event,own,23,9.136261440817307,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,raw,357.3488464355469,event,future,23,-5.684341886080802e-14,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,raw,357.3488464355469,event,total,23,9.136261440817293,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,actor_normalized,1.7684149742126465,decision,own,23,8.69706772909231,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,actor_normalized,1.7684149742126465,decision,future,23,-1.1368683772161603e-13,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,actor_normalized,1.7684149742126465,decision,total,23,8.697067729092225,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,actor_normalized,1.7684149742126465,event,own,23,9.136261440817307,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,actor_normalized,1.7684149742126465,event,future,23,-5.684341886080802e-14,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,actor_normalized,1.7684149742126465,event,total,23,9.136261440817293,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,raw,416.28521728515625,decision,own,23,4.477893199031428,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,raw,416.28521728515625,decision,future,23,2.383763661444334,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,raw,416.28521728515625,decision,total,23,6.861656860475705,False
