state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,method,action_index,semantics,component,optimal_set_hit,top3_hit,top5_hit,regret,optimal_set_size,conflict_state
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,PPO,23,decision,own,True,True,True,0.0,7,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,PPO,23,decision,future,True,True,True,0.0,28,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,PPO,23,decision,total,True,True,True,0.0,7,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,PPO,23,event,own,True,True,True,0.0,7,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,PPO,23,event,future,True,True,True,0.0,28,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,PPO,23,event,total,True,True,True,0.0,7,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,PPO,23,decision,own,True,True,True,0.0,7,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,PPO,23,decision,future,True,True,True,0.0,18,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,PPO,23,decision,total,True,True,True,0.0,6,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,PPO,23,event,own,True,True,True,0.0,7,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,PPO,23,event,future,True,True,True,0.0,18,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,PPO,23,event,total,True,True,True,0.0,6,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,PPO,22,decision,own,False,False,False,1.9224889563032264,6,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,PPO,22,decision,future,True,True,True,0.0,17,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,PPO,22,decision,total,False,False,False,1.922488956303198,6,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,PPO,22,event,own,False,False,False,1.9942274937701114,6,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,PPO,22,event,future,True,True,True,0.0,17,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,PPO,22,event,total,False,False,False,1.9942274937700972,6,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,PPO,12,decision,own,False,False,False,5.409600001735782,7,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,PPO,12,decision,future,True,True,True,0.0,28,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,PPO,12,decision,total,False,False,False,5.4096000017357255,7,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,PPO,12,event,own,False,False,False,5.659585857947491,7,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,PPO,12,event,future,True,True,True,0.0,28,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,PPO,12,event,total,False,False,False,5.659585857947491,7,False
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,PPO,19,decision,own,False,False,False,6.125416320994098,7,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,PPO,19,decision,future,True,True,True,0.0,17,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,PPO,19,decision,total,False,False,False,3.1009792543540016,6,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,PPO,19,event,own,False,False,False,6.290143811140737,7,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,PPO,19,event,future,True,True,True,0.0,17,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,PPO,19,event,total,False,False,False,3.177345836801635,6,True
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,PPO,15,decision,own,False,False,False,8.290097133960842,7,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,PPO,15,decision,future,True,True,True,0.0,27,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,PPO,15,decision,total,False,False,False,8.290097133960842,7,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,PPO,15,event,own,False,False,False,8.710000442801118,7,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,PPO,15,event,future,True,True,True,0.0,27,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,PPO,15,event,total,False,False,False,8.710000442801118,7,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,PPO,21,decision,own,False,False,False,2.469572853916901,6,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,PPO,21,decision,future,True,True,True,0.0,17,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,PPO,21,decision,total,False,False,False,2.4695728539169295,6,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,PPO,21,event,own,False,False,False,2.590092345189319,6,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,PPO,21,event,future,True,True,True,0.0,17,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,PPO,21,event,total,False,False,False,2.590092345189305,6,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,PPO,10,decision,own,False,False,False,35.66752291295425,6,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,PPO,10,decision,future,True,True,True,0.0,17,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,PPO,10,decision,total,False,False,False,35.66752291295421,5,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,PPO,10,event,own,False,False,False,36.95553426240745,6,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,PPO,10,event,future,True,True,True,0.0,17,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,PPO,10,event,total,False,False,False,36.95553426240741,5,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,PPO,26,decision,own,True,True,True,0.0,6,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,PPO,26,decision,future,True,True,True,0.0,17,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,PPO,26,decision,total,True,True,True,0.0,6,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,PPO,26,event,own,True,True,True,0.0,6,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,PPO,26,event,future,True,True,True,0.0,17,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,PPO,26,event,total,True,True,True,0.0,6,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,PPO,17,decision,own,True,True,True,0.0,7,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,PPO,17,decision,future,True,True,True,0.0,12,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,PPO,17,decision,total,True,True,True,0.0,5,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,PPO,17,event,own,True,True,True,0.0,7,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,PPO,17,event,future,True,True,True,0.0,12,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,PPO,17,event,total,True,True,True,0.0,5,False
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,PPO,22,decision,own,False,False,False,4.871256812787031,7,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,PPO,22,decision,future,True,True,True,0.0,9,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,PPO,22,decision,total,True,True,True,0.0,5,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,PPO,22,event,own,False,False,False,4.909422886045469,7,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,PPO,22,event,future,True,True,True,0.0,9,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,PPO,22,event,total,True,True,True,0.0,5,True
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,PPO,2,decision,own,False,False,False,18.897547242493964,7,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,PPO,2,decision,future,True,True,True,0.0,28,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,PPO,2,decision,total,False,False,False,18.897547242494,7,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,PPO,2,event,own,False,False,False,19.180356083965407,7,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,PPO,2,event,future,True,True,True,0.0,28,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,PPO,2,event,total,False,False,False,19.18035608396542,7,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,PPO,10,decision,own,True,True,True,0.0,7,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,PPO,10,decision,future,True,True,True,0.0,28,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,PPO,10,decision,total,True,True,True,0.0,7,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,PPO,10,event,own,True,True,True,0.0,7,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,PPO,10,event,future,True,True,True,0.0,28,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,PPO,10,event,total,True,True,True,0.0,7,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,PPO,21,decision,own,False,False,False,2.4174502980649066,7,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,PPO,21,decision,future,True,True,True,0.0,28,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,PPO,21,decision,total,False,False,False,2.417450298064864,7,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,PPO,21,event,own,False,False,False,2.5051492402417637,7,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,PPO,21,event,future,True,True,True,0.0,28,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,PPO,21,event,total,False,False,False,2.5051492402417352,7,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,PPO,10,decision,own,False,False,False,6.031912992149074,7,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,PPO,10,decision,future,True,True,True,0.0,28,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,PPO,10,decision,total,False,False,False,6.031912992149074,7,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,PPO,10,event,own,False,False,False,6.088262302275332,7,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,PPO,10,event,future,True,True,True,0.0,28,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,PPO,10,event,total,False,False,False,6.088262302275325,7,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,PPO,25,decision,own,True,True,True,0.0,7,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,PPO,25,decision,future,True,True,True,0.0,28,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,PPO,25,decision,total,True,True,True,0.0,7,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,PPO,25,event,own,True,True,True,0.0,7,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,PPO,25,event,future,True,True,True,0.0,28,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,PPO,25,event,total,True,True,True,0.0,7,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,PPO,19,decision,own,False,False,True,4.612853353897286,3,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,PPO,19,decision,future,True,True,True,0.0,6,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,PPO,19,decision,total,False,False,True,4.612853353897286,3,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,PPO,19,event,own,False,False,True,4.580390937754885,3,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,PPO,19,event,future,True,True,True,0.0,6,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,PPO,19,event,total,False,False,True,4.580390937754885,3,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,PPO,7,decision,own,False,False,False,24.106099268193162,7,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,PPO,7,decision,future,True,True,True,0.0,28,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,PPO,7,decision,total,False,False,False,24.10609926819319,7,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,PPO,7,event,own,False,False,False,25.315647264829224,7,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,PPO,7,event,future,True,True,True,0.0,28,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,PPO,7,event,total,False,False,False,25.31564726482918,7,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,decision,own,False,False,False,30.272941937209467,7,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,decision,future,False,False,False,10.92373566612423,15,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,decision,total,False,False,False,41.19667760333368,5,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,event,own,False,False,False,31.378419246312383,7,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,event,future,False,False,False,11.439236559431322,15,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,event,total,False,False,False,42.8176558057437,5,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,decision,own,True,True,True,0.0,7,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,decision,future,True,True,True,0.0,18,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,decision,total,True,True,True,0.0,7,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,event,own,True,True,True,0.0,7,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,event,future,True,True,True,0.0,18,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,event,total,True,True,True,0.0,7,False
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,PPO,21,decision,own,False,False,False,5.409600001735782,7,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,PPO,21,decision,future,True,True,True,0.0,21,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,PPO,21,decision,total,True,True,True,0.0,6,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,PPO,21,event,own,False,False,False,5.659585857947491,7,True
