state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,method,action_index,semantics,component,optimal_set_hit,top3_hit,top5_hit,regret,optimal_set_size,conflict_state
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,future,True,True,True,0.0,28,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,total,True,True,True,0.0,7,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,SafeMin,5,event,own,True,True,True,0.0,7,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,SafeMin,5,event,future,True,True,True,0.0,28,False
ep001_task001,1,1,low,0.99,16-28,28,28,0.0,SafeMin,5,event,total,True,True,True,0.0,7,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,SafeMin,5,decision,future,True,True,True,0.0,18,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,SafeMin,5,decision,total,True,True,True,0.0,6,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,SafeMin,5,event,own,True,True,True,0.0,7,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,SafeMin,5,event,future,True,True,True,0.0,18,False
ep001_task013,1,13,low,0.999,16-28,25,25,0.0,SafeMin,5,event,total,True,True,True,0.0,6,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,SafeMin,12,decision,own,True,True,True,0.0,6,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,SafeMin,12,decision,future,True,True,True,0.0,17,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,SafeMin,12,decision,total,True,True,True,0.0,6,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,SafeMin,12,event,own,True,True,True,0.0,6,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,SafeMin,12,event,future,True,True,True,0.0,17,False
ep001_task026,1,26,high,0.9999,16-28,17,17,2.007322765278565,SafeMin,12,event,total,True,True,True,0.0,6,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,future,True,True,True,0.0,28,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,total,True,True,True,0.0,7,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,SafeMin,5,event,own,True,True,True,0.0,7,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,SafeMin,5,event,future,True,True,True,0.0,28,False
ep001_task038,1,38,low,0.99,16-28,28,28,0.0,SafeMin,5,event,total,True,True,True,0.0,7,False
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,SafeMin,5,decision,own,True,True,True,0.0,7,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,SafeMin,5,decision,future,False,False,False,10.421151602006546,17,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,SafeMin,5,decision,total,False,False,False,7.3967145353664705,6,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,SafeMin,5,event,own,True,True,True,0.0,7,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,SafeMin,5,event,future,False,False,False,10.92888699474858,17,True
ep001_task051,1,51,medium,0.999,16-28,24,24,0.6347937793334021,SafeMin,5,event,total,False,False,False,7.8160890204095494,6,True
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,SafeMin,5,decision,future,True,True,True,0.0,27,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,SafeMin,5,decision,total,True,True,True,0.0,7,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,SafeMin,5,event,own,True,True,True,0.0,7,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,SafeMin,5,event,future,True,True,True,0.0,27,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,SafeMin,5,event,total,True,True,True,0.0,7,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,SafeMin,11,decision,own,True,True,True,0.0,6,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,SafeMin,11,decision,future,True,True,True,0.0,17,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,SafeMin,11,decision,total,True,True,True,0.0,6,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,SafeMin,11,event,own,True,True,True,0.0,6,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,SafeMin,11,event,future,True,True,True,0.0,17,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,SafeMin,11,event,total,True,True,True,0.0,6,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,SafeMin,4,decision,own,False,False,False,6.295656370938744,6,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,SafeMin,4,decision,future,True,True,True,0.0,17,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,SafeMin,4,decision,total,False,False,False,6.29565637093873,5,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,SafeMin,4,event,own,False,False,False,6.594838028423112,6,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,SafeMin,4,event,future,True,True,True,0.0,17,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,SafeMin,4,event,total,False,False,False,6.594838028423084,5,False
