trial_id,policy,task_order_quartile,tasks,mean_estimated_latency,mean_realized_latency,mean_realized_minus_estimated,mean_decision_backlog_selected,mean_next_arrival_backlog_delta,mean_prior_endpoint_reuses
0,Masked PPO stochastic,1,1000,1.8121319770564406,1.8517511555944541,0.03961917853801339,0.2814258174498129,0.35316961287644466,15.876
0,Masked PPO stochastic,2,1000,1.8791100521732655,1.9437059577848579,0.06459590561159234,0.3331273699578538,0.40143392249375415,50.564
0,Masked PPO stochastic,3,1000,2.2343344237830047,2.2977285968548484,0.06339417307184413,0.4995235410810764,0.5007112749146446,86.145
0,Masked PPO stochastic,4,1000,1.947834813276763,1.992506898685485,0.0446720854087222,0.3468651154182137,0.4001035794976816,119.727
1,Masked PPO stochastic,1,1000,1.8071910763437318,1.8418967933662451,0.034705717022513086,0.28505254119281603,0.44076290252986644,14.62
1,Masked PPO stochastic,2,1000,1.87912064679267,1.9178827094457989,0.038762062653128954,0.2886743290759679,0.40205246123081634,46.681
1,Masked PPO stochastic,3,1000,2.1776461353364374,2.2262513680432905,0.04860523270685272,0.39276437930442537,0.5246943586853808,77.981
1,Masked PPO stochastic,4,1000,1.9461803336603385,1.9928560518027312,0.04667571814239301,0.32771909305534846,0.46689921906864196,108.32
2,Masked PPO stochastic,1,1000,1.8122726239169182,1.850059442726037,0.03778681880911899,0.263945631065313,0.47345597355766106,14.26
2,Masked PPO stochastic,2,1000,1.8599402730919852,1.9072191152634974,0.04727884217151208,0.27671818920443814,0.3959927878090988,45.313
2,Masked PPO stochastic,3,1000,2.2031485729904796,2.2593049699130234,0.05615639692254339,0.4238524908838231,0.5374958972698987,77.818
2,Masked PPO stochastic,4,1000,1.944603711502721,2.0015913352612102,0.056987623758489106,0.3389280501262765,0.4318043479361717,107.699
3,Masked PPO stochastic,1,1000,1.8151955255365646,1.8468802234866182,0.031684697950053596,0.27451635018262593,0.4112924665892496,14.099
3,Masked PPO stochastic,2,1000,1.9018103359352976,1.9473753413325494,0.04556500539725187,0.298031894197334,0.3854786040266482,44.372
3,Masked PPO stochastic,3,1000,2.2112825807978624,2.283072370681002,0.07178978988313975,0.4397162461784943,0.5576737422297329,75.615
3,Masked PPO stochastic,4,1000,1.988715746463514,2.0195896682609717,0.030873921797457904,0.34589612495045247,0.44540214808226575,104.615
4,Masked PPO stochastic,1,1000,1.8204567745056734,1.8474777742722632,0.0270209997665899,0.23696628249940466,0.41244286639217537,15.052
4,Masked PPO stochastic,2,1000,1.878592367325424,1.9296638067633547,0.051071439437930605,0.2878481704719394,0.401096884712361,46.821
4,Masked PPO stochastic,3,1000,2.234392044897759,2.301486119492707,0.06709407459494836,0.48170258349405093,0.5436458918188223,80.464
4,Masked PPO stochastic,4,1000,1.9365930540719503,1.9960135353071606,0.05942048123521047,0.3047045524419373,0.39817761006725233,112.386
5,Masked PPO stochastic,1,1000,1.8219544162045869,1.8473541276093592,0.02539971140477254,0.2890761394064868,0.431179468661427,14.49
5,Masked PPO stochastic,2,1000,1.8584117073913813,1.907724587902917,0.0493128805115355,0.28788892643830516,0.3929347421563704,44.744
5,Masked PPO stochastic,3,1000,2.1914260772237895,2.251172481323518,0.05974640409972915,0.3849126123828053,0.5217978065040864,77.397
5,Masked PPO stochastic,4,1000,1.9511436320987197,1.9957215375121131,0.044577905413393494,0.30482884044745145,0.4256443343481227,107.139
6,Masked PPO stochastic,1,1000,1.8325999313791141,1.867708702945166,0.035108771566051564,0.25958837189597744,0.4556037161865727,13.683
6,Masked PPO stochastic,2,1000,1.8882651049107944,1.9175386768116653,0.02927357190087071,0.25704311491120063,0.40748986583134894,42.713
6,Masked PPO stochastic,3,1000,2.224515539469857,2.2673246079715046,0.04280906850164736,0.42989180857924475,0.5491547194051605,74.053
6,Masked PPO stochastic,4,1000,1.972430238470642,2.021711270297654,0.04928103182701194,0.29775952135351735,0.4453684163384215,100.329
7,Masked PPO stochastic,1,1000,1.8108874563682293,1.849070030586522,0.03818257421829284,0.25227112956139125,0.38111157614171376,14.292
7,Masked PPO stochastic,2,1000,1.862560961161626,1.9048993621585264,0.04233840099690059,0.2714032148291423,0.40537132789610336,44.852
7,Masked PPO stochastic,3,1000,2.2013939075596873,2.246597849485651,0.045203941925964206,0.4200464924508096,0.4741527634738231,78.175
7,Masked PPO stochastic,4,1000,1.9610454930628554,2.0080811809439005,0.04703568788104532,0.32096057333142153,0.46013658467168567,108.693
8,Masked PPO stochastic,1,1000,1.8100877889769356,1.8491034184367194,0.03901562945978365,0.23750515301291514,0.43714419245751307,14.538
8,Masked PPO stochastic,2,1000,1.8670024619921728,1.8965802834733558,0.029577821481183094,0.2826388284821932,0.4078625756469165,46.158
8,Masked PPO stochastic,3,1000,2.215795862983854,2.2866230553173765,0.07082719233352247,0.45308701872416896,0.5508424653019381,78.856
8,Masked PPO stochastic,4,1000,1.9546617324582767,1.9930346139120643,0.03837288145378743,0.3042648636644659,0.44578741463869903,110.004
9,Masked PPO stochastic,1,1000,1.821065192302112,1.8719568828227848,0.050891690520672925,0.2546890144265633,0.43710499180187906,13.913
9,Masked PPO stochastic,2,1000,1.8821702421181972,1.922684506672324,0.0405142645541266,0.25930783058470785,0.39631966001673447,43.866
9,Masked PPO stochastic,3,1000,2.228014904082577,2.2738945004648454,0.04587959638226776,0.4076868849786074,0.55066212747953,74.676
9,Masked PPO stochastic,4,1000,1.9568576325051426,1.9951482696505913,0.03829063714544866,0.2878953822581859,0.47225881553664817,103.703
0,Safe Min-Latency,1,1000,1.626660648458966,1.6943097159696372,0.06764906751067117,0.15035788840518596,0.4052393259690497,18.291
0,Safe Min-Latency,2,1000,1.7057351139951415,1.7803050136418201,0.07456989964667855,0.20124313003958286,0.44437615874141173,57.277
0,Safe Min-Latency,3,1000,1.9989543761800947,2.077129122375193,0.07817474619509852,0.27230187038743237,0.574259648616505,95.045
0,Safe Min-Latency,4,1000,1.7766671921362094,1.8562223726820697,0.07955518054586025,0.2448883844600967,0.45341063635939005,135.093
1,Safe Min-Latency,1,1000,1.6228885540491729,1.7024048995403316,0.07951634549115882,0.16428032824784145,0.4607907216478238,18.144
1,Safe Min-Latency,2,1000,1.6851650405870184,1.7613581437486707,0.07619310316165231,0.1701268117155372,0.4368406555539357,56.663
1,Safe Min-Latency,3,1000,1.9759557292011045,2.0699314021759427,0.09397567297483869,0.2616330452592095,0.5591176078954104,93.268
