trial_id,policy,tasks,mean_estimated_latency,mean_realized_latency,mean_realized_minus_estimated,p95_absolute_estimate_error,estimated_vs_realized_correlation,mean_selected_pair_decision_backlog,mean_next_arrival_selected_pair_backlog,mean_next_arrival_backlog_delta,next_arrival_backlog_increase_rate,mean_prior_endpoint_reuses,reuse_vs_realized_estimate_error_correlation,same_pair_as_previous_decision_rate
0,Masked PPO stochastic,4000,1.9683528165723683,2.0214231522299113,0.05307033565754301,0.24967563240062,0.9581002054698218,0.3652354609767392,0.7771707368821306,0.4139236980383345,0.4899497487437186,68.078,0.030787687308912664,0.07975
1,Masked PPO stochastic,4000,1.9525345480332945,1.9947217306645166,0.042187182631221946,0.15314018960184234,0.9700656069341226,0.32355258565713946,0.7806979198651839,0.4585605419932997,0.5052763819095477,61.9005,0.02890434594181706,0.05325
2,Masked PPO stochastic,4000,1.9549912953755262,2.004543715790942,0.049552420415415896,0.27498322165282324,0.9624206606884447,0.3258610903199627,0.7824785572061387,0.4598273667372128,0.5160804020100502,61.2725,0.043237161091377097,0.05525
3,Masked PPO stochastic,4000,1.9792510471833096,2.0242294009402855,0.04497835375697578,0.20156404691103033,0.9658882122233886,0.33954015387722664,0.7857635628064467,0.4499846527553395,0.49899497487437183,59.67525,0.02408813196949428,0.0565
4,Masked PPO stochastic,4000,1.9675085602002016,2.0186603089588715,0.051151748758669825,0.23964493149857366,0.9617695099983202,0.32780539722683305,0.7638104714839636,0.43904515095207686,0.49748743718592964,63.68075,0.08131732859678381,0.0605
5,Masked PPO stochastic,4000,1.9557339582296192,2.000493183586977,0.04475922535735767,0.14066003962805543,0.9641125999548139,0.3166766296687622,0.7570498986960513,0.4429757449706141,0.5017587939698492,60.9425,0.05056631994158956,0.06
6,Masked PPO stochastic,4000,1.979452703557602,2.0185708145064973,0.03911811094889539,0.07052696812647447,0.969298964197008,0.31107070418498506,0.7753826649148516,0.46449983654139076,0.507537688442211,57.6945,0.03882045596453236,0.04475
7,Masked PPO stochastic,4000,1.9589719545380992,2.00216210579365,0.04319015125555074,0.1900324042074314,0.9677936912238495,0.31617035254319115,0.7434631227988657,0.43004259308791265,0.47964824120603017,61.503,0.02272212242895677,0.05625
8,Masked PPO stochastic,4000,1.96188696160281,2.006335342784879,0.04444838118206916,0.15829519017817714,0.9698284435069351,0.31937396597093587,0.7780467351483848,0.4604826381287167,0.5042713567839195,62.389,0.024904040640863746,0.057
9,Masked PPO stochastic,4000,1.972026992752007,2.0159210399026364,0.043894047150628994,0.18307951199092254,0.968365039436466,0.30239477806201615,0.7658941682422649,0.46404533128745196,0.4984924623115578,59.0395,0.004443507752031039,0.044
0,Safe Min-Latency,4000,1.7770043326926028,1.85199155616718,0.07498722347457712,0.6243509535181965,0.936896058994673,0.2171978183230745,0.6835219170237511,0.4694013962208967,0.5190954773869346,76.4265,0.0007828609833758303,0.069
1,Safe Min-Latency,4000,1.7625978385128442,1.843264976811387,0.08066713829854275,0.6249622941953327,0.9302095630122638,0.20354885402434073,0.688461546048327,0.48700506797969284,0.5253768844221105,74.87375,0.004080123446146166,0.0695
2,Safe Min-Latency,4000,1.772454473246266,1.8468500138066184,0.0743955405603524,0.6401300922366552,0.936579565129005,0.20777340815312026,0.6847742768536665,0.48016616688211844,0.5223618090452261,75.3595,0.005076110497340935,0.06625
3,Safe Min-Latency,4000,1.7644574018384138,1.8492765122675614,0.08481911042914754,0.687027259352662,0.9244863739225714,0.21280926742166595,0.6784054064130592,0.4688234602373525,0.5057788944723618,75.06175,0.015081807905544743,0.065
4,Safe Min-Latency,4000,1.7605115245025382,1.847830030218144,0.0873185057156058,0.721940199045995,0.9168214521689767,0.207825513805455,0.684241899403561,0.4800449477670807,0.5123115577889448,73.819,0.032527178252950775,0.0625
5,Safe Min-Latency,4000,1.7628161822228645,1.8388378225697015,0.07602164034683691,0.6063110392853635,0.9308500367691619,0.19962383937177386,0.6535301257947681,0.45597058923411576,0.5077889447236181,76.4965,0.03032386168957881,0.07075
6,Safe Min-Latency,4000,1.7604310996260761,1.8352940256347396,0.07486292600866379,0.623454069953614,0.9333827985909444,0.20654231237272222,0.6768114410951297,0.47068622674232435,0.5190954773869346,74.9915,0.019698931159619047,0.06025
7,Safe Min-Latency,4000,1.7615783495557145,1.8511387113236324,0.08956036176791782,0.7440511518872567,0.9183449235108648,0.19966675170272294,0.673275750835009,0.47550030969839824,0.4979899497487437,73.75325,0.01679706790298298,0.064
8,Safe Min-Latency,4000,1.7703897814273764,1.8479938677510928,0.077604086323716,0.6619973908042035,0.9338252513645819,0.2267004496197042,0.702508784306271,0.4772300145948526,0.5130653266331658,75.8205,0.012743486395512775,0.0715
9,Safe Min-Latency,4000,1.758277847340912,1.8388027157924458,0.08052486845153381,0.6502792268327448,0.9333222758222045,0.18446771098324952,0.6693544128214247,0.48594840105513426,0.5118090452261307,74.2865,-0.003496524507428702,0.0625
