trial_id,policy,R_req,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,mean_selected_reliability_deficit,p95_selected_reliability_deficit,mean_best_achievable_deficit,mean_safe_set_size,pair_selection_hhi
0,Masked PPO greedy,0.9,1000,49.28685462733351,3.1940931438420157,2.606950741335794,6.300994928934651,8.663818697007086,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.988,0.9111819999999999
0,Masked PPO greedy,0.99,1000,55.957949069430306,2.7792691598895947,2.3959137526768117,5.190427105778362,6.899351195062182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.06,0.9548059999999999
0,Masked PPO greedy,0.999,1000,53.55355649854418,2.881167215993581,2.3143018368022865,5.217978424977346,7.049157802475534,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.087,0.8870759999999999
0,Masked PPO greedy,0.9999,1000,37.717260814497685,3.3541197865050894,2.6875068702824443,6.407118301115148,9.243391737629864,0.827,0.827,1.0,0.0,0.173,1.894274375738636e-05,0.00012001410707129228,1.894274375738636e-05,7.551,0.5285259999999999
1,Masked PPO greedy,0.9,1000,58.0635597609744,2.25055688919096,2.132191991874663,3.594463736692205,4.088651167543237,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.974,0.6030639999999998
1,Masked PPO greedy,0.99,1000,63.343967021713226,2.063863983288218,1.959041609535589,3.4374702510454798,3.8640505825128786,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.42,0.5846140000000001
1,Masked PPO greedy,0.999,1000,61.52275941703512,2.1236222111756953,2.004565239766263,3.4845735826202913,3.970613589959618,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.082,0.566614
1,Masked PPO greedy,0.9999,1000,49.23251532494941,2.446106008773916,2.27453061733069,3.9203952335099537,4.802848722775545,0.897,0.897,1.0,0.0,0.103,6.341014658146627e-06,3.576659408388019e-05,6.341014658146627e-06,8.883,0.5540739999999998
2,Masked PPO greedy,0.9,1000,57.10756249384789,2.309539801848279,2.2150224307281405,3.594463736692199,4.0791591576707225,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.707606
2,Masked PPO greedy,0.99,1000,62.265873834823,2.1234776418187185,2.088869413442467,3.486402520560034,4.0668560251004395,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.09,0.7083419999999999
2,Masked PPO greedy,0.999,1000,60.5291693211581,2.1986319318355028,2.0682210990180874,3.708441619093037,4.338660823757155,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.746,0.6761580000000001
2,Masked PPO greedy,0.9999,1000,45.682746290805056,2.4386067579994823,2.2632865149014805,4.002744486380778,4.876580988001787,0.83,0.83,1.0,0.0,0.17,1.6629224928547572e-05,0.00010061197078203854,1.6629224928547572e-05,7.873,0.5319999999999999
3,Masked PPO greedy,0.9,1000,48.631148739096055,3.171199474113615,2.6488384621811605,5.663196693786469,7.094636918043358,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.976,0.960574
3,Masked PPO greedy,0.99,1000,54.3266389852194,2.8988361273479457,2.4555854079828174,5.440247671235949,6.677296169033798,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.356,0.972302
3,Masked PPO greedy,0.999,1000,51.16933636719444,3.1252276805650494,2.501986566839548,5.502113898584386,7.466111753781096,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.041,0.960602
3,Masked PPO greedy,0.9999,1000,41.15399288765896,3.172108119284616,2.6040957740982407,5.682417584791034,7.425566368003444,0.862,0.862,1.0,0.0,0.138,9.564589566897208e-06,7.71916944090123e-05,9.564589566897208e-06,8.902,0.5882120000000001
4,Masked PPO greedy,0.9,1000,46.34799515345843,3.453995473286067,2.721463263875364,6.313384949884105,8.43106821715064,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.991,0.9435739999999999
4,Masked PPO greedy,0.99,1000,53.530947963282046,3.071048641358186,2.473827062787961,5.72475064906071,7.709585747566051,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.489,0.9607619999999999
4,Masked PPO greedy,0.999,1000,50.93758070638821,3.3498580954694077,2.501986566839548,6.218065788034435,8.284418349640863,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.795,0.921206
4,Masked PPO greedy,0.9999,1000,43.14623084750908,3.4702866997247246,2.630458338245006,6.776430850075985,8.920789944237356,0.932,0.932,1.0,0.0,0.068,3.2680575449921532e-06,1.4870696779561859e-05,3.2680575449921532e-06,10.27,0.8648580000000001
5,Masked PPO greedy,0.9,1000,48.73622994270975,3.029471842101516,2.6405909250798056,5.548055274349131,6.92117900850723,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.9980020000000001
5,Masked PPO greedy,0.99,1000,54.88717253448155,2.7565196071652514,2.45385389637255,5.009914385514802,6.423846773698249,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.287,1.0
5,Masked PPO greedy,0.999,1000,51.32396233704484,2.914551551969469,2.4951904784243766,5.359759728998803,6.447553175952708,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.807,0.9900500000000001
5,Masked PPO greedy,0.9999,1000,42.59512778175155,3.040476286603888,2.5488698053232355,5.834438487352492,7.132672139528507,0.886,0.886,1.0,0.0,0.114,1.0751167029734998e-05,8.15547007312345e-05,1.0751167029734998e-05,8.991,0.68703
6,Masked PPO greedy,0.9,1000,48.035566872931156,3.1240362655298437,2.6529643725574985,5.718370603152738,6.962483756311142,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.996008
6,Masked PPO greedy,0.99,1000,54.01562368002025,2.8162408655301214,2.4555854079828165,5.590718753667021,6.622980116285791,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.409,1.0
6,Masked PPO greedy,0.999,1000,49.21765591327517,3.0956670079538697,2.7125975591794855,5.779428799872186,6.762513262785941,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.615,0.9980020000000001
6,Masked PPO greedy,0.9999,1000,41.835423009749846,3.2180657987290595,2.6843489594773065,6.143499308449887,7.272599602678391,0.901,0.901,1.0,0.0,0.099,7.97398680748529e-06,4.258117316190947e-05,7.97398680748529e-06,9.845,0.8202980000000001
7,Masked PPO greedy,0.9,1000,49.73370639642185,2.808733360462699,2.634317557292192,4.76009425699472,5.386800394038314,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.997,0.9399219999999999
7,Masked PPO greedy,0.99,1000,55.847292837184014,2.5072699558449707,2.4336201054589424,4.337540026234576,5.155278544624851,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.635,0.9512499999999999
7,Masked PPO greedy,0.999,1000,53.34828115546951,2.63825204055389,2.436257126164989,4.60849485939911,5.113764340900419,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.837,0.919294
7,Masked PPO greedy,0.9999,1000,46.85417024251394,2.8237448442217703,2.545897363516673,4.746796989962462,5.748936127407515,0.95,0.95,1.0,0.0,0.05,3.6068173712433538e-06,9.082602893109647e-08,3.6068173712433538e-06,10.219,0.7701920000000001
8,Masked PPO greedy,0.9,1000,47.52527679545984,3.46750355755507,2.7124573283255655,6.679491005552243,8.521562129754884,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.888222
8,Masked PPO greedy,0.99,1000,53.60872833975675,3.1532287309263176,2.45385389637255,6.000086351763225,8.685916802718909,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.446,0.922738
8,Masked PPO greedy,0.999,1000,48.650189620074364,3.516408148642775,2.5372935161134293,6.377586506788387,9.34966338549077,0.993,0.993,1.0,0.0,0.007,1.6849490133100663e-06,0.0,1.6849490133100663e-06,22.039,0.8825179999999998
8,Masked PPO greedy,0.9999,1000,38.540815577320245,3.629688637048058,2.6876474679488602,7.158425839641916,8.834710152539184,0.872,0.872,1.0,0.0,0.128,2.8776676388747478e-05,0.0001762110672571815,2.8776676388747478e-05,8.928,0.6730200000000001
9,Masked PPO greedy,0.9,1000,47.55421120054127,3.172703179181035,2.721463263875364,5.766178965776768,7.263232406967695,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.998,0.980152
9,Masked PPO greedy,0.99,1000,55.999935065129186,2.7024357916956854,2.447951751995504,5.021064810468693,6.142442129624825,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.494,0.974244
9,Masked PPO greedy,0.999,1000,50.551899768086344,3.0525521775014557,2.540132278855509,5.57258213937015,7.164744129848859,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.005,0.980154
9,Masked PPO greedy,0.9999,1000,44.58708645858876,3.207988198559927,2.7134512072889123,5.8097618884742905,7.324638270334561,0.959,0.959,1.0,0.0,0.041,9.967986247001458e-07,0.0,9.967986247001458e-07,9.947,0.734376
0,Masked PPO stochastic,0.9,1000,59.987451526882374,2.1387061719369984,2.1235811827539237,3.2875794122657567,3.6437509930700256,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.988,0.054720000000000005
0,Masked PPO stochastic,0.99,1000,65.71318946263442,1.9412008441069861,1.83896395638655,3.1786129683279456,3.686659623116001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.06,0.05356400000000001
0,Masked PPO stochastic,0.999,1000,65.88153350827247,1.8952691263504633,1.8134544935498411,2.9712488605389353,3.268941277183007,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.087,0.06497800000000001
0,Masked PPO stochastic,0.9999,1000,50.63261277470491,2.110516466525198,2.000224714597188,3.261913497637724,3.8496612923661844,0.827,0.827,1.0,0.0,0.173,1.894274375738747e-05,0.00012001410707129228,1.894274375738747e-05,7.551,0.12013800000000001
1,Masked PPO stochastic,0.9,1000,59.83235896113335,2.1447787604855195,2.1321919918746346,3.3530892460317148,3.6845911935722744,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.974,0.043724
1,Masked PPO stochastic,0.99,1000,65.89354700773146,1.9195518986873161,1.7746647179223984,3.1512213529302358,3.591780499791045,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.42,0.04726400000000001
1,Masked PPO stochastic,0.999,1000,65.8674435027556,1.894945552342182,1.806895344916203,3.014808489269075,3.457766818053021,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.082,0.05139599999999999
1,Masked PPO stochastic,0.9999,1000,55.51771018348708,2.0196107111430477,1.9699963540245164,2.978789128964536,3.392523645872924,0.897,0.897,1.0,0.0,0.103,6.341014658146738e-06,3.576659408388019e-05,6.341014658146738e-06,8.883,0.112396
2,Masked PPO stochastic,0.9,1000,59.57778405422441,2.127515043505676,2.1235811827539237,3.1748650824012303,3.573829781305257,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.043864000000000014
2,Masked PPO stochastic,0.99,1000,65.14518082578955,1.9496671854312795,1.88963544802235,3.1512213529302358,3.493572171521477,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.09,0.04469400000000001
2,Masked PPO stochastic,0.999,1000,65.78641475048474,1.9075125506754194,1.8398479110191062,2.9739743521231508,3.3493079998640436,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.746,0.052767999999999995
2,Masked PPO stochastic,0.9999,1000,51.888558233307826,2.0334800835513933,1.989088838119244,3.0557452754076566,3.584951513160001,0.83,0.83,1.0,0.0,0.17,1.6629224928546017e-05,0.00010061197078192752,1.6629224928546017e-05,7.873,0.12921
3,Masked PPO stochastic,0.9,1000,59.71518811253649,2.153521440323237,2.140359905931163,3.3108239125173498,3.7542266880743727,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.976,0.044354
3,Masked PPO stochastic,0.99,1000,65.14493356423681,1.9498487446700388,1.858029724223634,3.187224972604554,3.5939831986825594,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.356,0.041916
3,Masked PPO stochastic,0.999,1000,64.96102592248404,1.950224263709703,1.8610129955736525,3.1719492486377803,3.5403664934146746,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.041,0.048172
3,Masked PPO stochastic,0.9999,1000,53.482704909752776,2.0433231550581628,1.9915638798660495,3.051436075185029,3.513144304269341,0.862,0.862,1.0,0.0,0.138,9.564589566897318e-06,7.71916944090123e-05,9.564589566897318e-06,8.902,0.093214
4,Masked PPO stochastic,0.9,1000,59.15710850227467,2.170423361570495,2.1451673779948965,3.334581805856227,3.8014258985350002,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.991,0.047922
4,Masked PPO stochastic,0.99,1000,65.43510651614062,1.9356122088573064,1.8032374881195885,3.1350826040163327,3.5808181829830104,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.489,0.04957799999999999
4,Masked PPO stochastic,0.999,1000,65.86641495463371,1.9036559374057538,1.8119695636587707,3.0259850688566545,3.373727429919981,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.795,0.05768799999999999
4,Masked PPO stochastic,0.9999,1000,57.129437522568374,2.0649497280019307,1.9915638798660495,3.0609727309961814,3.6961775671734127,0.932,0.932,1.0,0.0,0.068,3.2680575449921532e-06,1.487069677956741e-05,3.2680575449921532e-06,10.27,0.11910799999999999
5,Masked PPO stochastic,0.9,1000,59.653104266062236,2.1418689934255535,2.1601586235183845,3.29893560243415,3.6208764509705134,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.042008
5,Masked PPO stochastic,0.99,1000,65.62315111054963,1.9320677057879376,1.794332703237501,3.1350826040163327,3.5933284657193307,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.287,0.043620000000000006
5,Masked PPO stochastic,0.999,1000,65.88220229305857,1.9021538779807257,1.8166711676309433,3.031273099005256,3.502045267854137,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.807,0.05335
5,Masked PPO stochastic,0.9999,1000,54.4900347250991,2.0258821571536907,1.9915638798660495,2.8826260730900177,3.5629680993541895,0.886,0.886,1.0,0.0,0.114,1.0751167029734776e-05,8.155470073112348e-05,1.0751167029734776e-05,8.991,0.10502600000000001
6,Masked PPO stochastic,0.9,1000,58.90792927256324,2.1864353611747336,2.1604055326682357,3.3530892460317148,3.8151761441805547,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.039762
6,Masked PPO stochastic,0.99,1000,65.03014946123695,1.9669046187167938,1.83896395638655,3.2337940939569036,3.5927045690063255,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.409,0.041256
6,Masked PPO stochastic,0.999,1000,65.16590807373332,1.925507611740153,1.8342420139772457,3.1025537514065777,3.511442101018247,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.615,0.047088000000000005
6,Masked PPO stochastic,0.9999,1000,56.01152482429129,1.9954356663943085,1.9903263589926468,2.8350189186446073,3.3702132463239547,0.901,0.901,1.0,0.0,0.099,7.973986807484623e-06,4.258117316191502e-05,7.973986807484623e-06,9.845,0.10676000000000001
7,Masked PPO stochastic,0.9,1000,59.86627510431493,2.1561266631094442,2.1235811827539237,3.368036858257952,3.762228419161008,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.997,0.0473
7,Masked PPO stochastic,0.99,1000,66.02753579534819,1.915572407076167,1.769151778671148,3.1366964789077234,3.5425707786849046,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.635,0.049040000000000014
7,Masked PPO stochastic,0.999,1000,65.82215315310063,1.9109680228853576,1.832908871456823,3.023973292655694,3.5052314285058084,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.837,0.05108400000000001
7,Masked PPO stochastic,0.9999,1000,58.44492513179779,2.0259813301036314,1.9648902292844639,2.992200772287379,3.5525327823323356,0.95,0.95,1.0,0.0,0.05,3.6068173712429095e-06,9.082602893109647e-08,3.6068173712429095e-06,10.219,0.105978
8,Masked PPO stochastic,0.9,1000,59.805607222402735,2.1656732217679893,2.144108577701652,3.3582314000097595,3.892032118389133,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.045023999999999995
8,Masked PPO stochastic,0.99,1000,65.55729527208709,1.936431839332957,1.8110039664788888,3.1512213529302358,3.7090686854881043,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.446,0.046996
8,Masked PPO stochastic,0.999,1000,65.46485494758561,1.9043481909999438,1.8134544935498411,2.9888815211371242,3.506348095105243,0.993,0.993,1.0,0.0,0.007,1.6849490133100663e-06,0.0,1.6849490133100663e-06,22.039,0.053801999999999996
8,Masked PPO stochastic,0.9999,1000,53.588253262918315,2.0188881190386256,1.972815826244215,2.8989177774765267,3.523835789194981,0.872,0.872,1.0,0.0,0.128,2.8776676388745703e-05,0.00017621106725707048,2.8776676388745703e-05,8.928,0.11296400000000001
9,Masked PPO stochastic,0.9,1000,58.87588160299086,2.1946738096026404,2.1235811827539237,3.430161677569089,3.924574750696976,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.998,0.042116
9,Masked PPO stochastic,0.99,1000,65.99349290220381,1.9249284227622951,1.8110039664788888,3.186665052817596,3.5300911573369316,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.494,0.04355400000000001
9,Masked PPO stochastic,0.999,1000,65.46179012325996,1.9298413800670473,1.832908871456823,3.126975875639343,3.5395020836591584,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.005,0.047318000000000006
