trial_id,policy,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,highest_rsr,feasibility_rate,conditional_rsr,conditional_rsr_defined,avoidable_violation_count,avoidable_violation_rate,unavoidable_violation_count,unavoidable_violation_rate,mean_selected_reliability_deficit,p95_selected_reliability_deficit,mean_best_achievable_deficit,p95_best_achievable_deficit,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,maximum_server_selection_share,maximum_server_utilization,maximum_mean_queue_length,maximum_p95_queue_length,mean_server_waiting_time
0,Masked PPO greedy,4000,49.128905252451425,3.05216232655757,2.4764830640453965,5.79382451689032,8.030350432505378,0.95675,0.827,0.95675,1.0,True,0,0.0,173,0.04325,4.73568593934659e-06,0.0,4.73568593934659e-06,0.0,20.9215,0.8066202500000001,0.4996934367588441,0.89675,8,0.89675,0.475875,0.672073517399906,0.9760474721156958,5.0,0.5617396962936135
1,Masked PPO greedy,4000,58.040700381168044,2.2210372731071972,2.111807492456137,3.594463736692205,4.224510517024239,0.97425,0.897,0.97425,1.0,True,0,0.0,103,0.02575,1.5852536645366567e-06,0.0,1.5852536645366567e-06,0.0,21.58975,0.5758485000000001,0.8384476539838488,0.7405,5,0.7405,0.4395,0.649112561569038,0.4750600602824369,2.0,0.26245696515041395
2,Masked PPO greedy,4000,56.39633798515851,2.2675640333754954,2.1579105566468684,3.6430692232907402,4.316318763076306,0.9575,0.83,0.9575,1.0,True,0,0.0,170,0.0425,4.157306232136893e-06,0.0,4.157306232136893e-06,0.0,20.92725,0.650079875,0.7059484773595841,0.7905,8,0.7905,0.49,0.6371239880015996,0.6790027361211805,3.0,0.3663280174443406
3,Masked PPO greedy,4000,48.82027924479221,3.0918428503278066,2.537500661851162,5.613772516914562,7.226252424979608,0.9655,0.862,0.9655,1.0,True,0,0.0,138,0.0345,2.391147391724302e-06,0.0,2.391147391724302e-06,0.0,21.56875,0.859061625,0.39022332088433664,0.92625,8,0.92625,0.483,0.6836964247917398,0.9925341892435005,4.0,0.5277840595746462
4,Masked PPO greedy,4000,48.490688667659434,3.336297227459597,2.582051161416672,6.3279369680909445,8.29113416061918,0.983,0.932,0.983,1.0,True,0,0.0,68,0.017,8.170143862480383e-07,0.0,8.170143862480383e-07,0.0,22.13625,0.922094875,0.20295807250366363,0.95975,7,0.95975,0.495625,0.6937747822172352,1.0788559650356586,5.0,0.5221625796976657
5,Masked PPO greedy,4000,49.38562314899693,2.935254821960031,2.501589059283347,5.456096986711827,6.739905847851451,0.9715,0.886,0.9715,1.0,True,0,0.0,114,0.0285,2.6877917574337495e-06,0.0,2.6877917574337495e-06,0.0,21.52125,0.9112378750000001,0.24810510036917216,0.95425,7,0.95425,0.495875,0.6739244923910687,0.8600009726307287,4.0,0.45679277160489307
6,Masked PPO greedy,4000,48.276067368994106,3.063502484435724,2.618122112826569,5.802842720870264,6.985376349297526,0.97525,0.901,0.97525,1.0,True,0,0.0,99,0.02475,1.9934967018713223e-06,0.0,1.9934967018713223e-06,0.0,21.96725,0.9513177499999999,0.14535039424937649,0.97525,6,0.97525,0.4945,0.7021621420596774,1.020422527616647,4.0,0.46400545381630487
7,Masked PPO greedy,4000,51.44586265789733,2.6945000502708325,2.4885110591223594,4.6597047228732755,5.291447226507051,0.9875,0.95,0.9875,1.0,True,0,0.0,50,0.0125,9.017043428108384e-07,0.0,9.017043428108384e-07,0.0,22.172,0.892870625,0.28012114084298956,0.94425,7,0.94425,0.489625,0.6941355954489776,0.9989779467190336,4.0,0.45335397311451914
8,Masked PPO greedy,4000,47.0812525831528,3.441707268543055,2.594959376653449,6.711418158249365,8.858146638104024,0.96625,0.872,0.96625,1.0,True,0,0.0,135,0.03375,7.6154063505143865e-06,0.0,7.6154063505143865e-06,0.0,21.60325,0.837404,0.39210394892152356,0.91325,7,0.91325,0.491,0.6689861032904763,1.2248584200004913,6.0,0.73490152089025
9,Masked PPO greedy,4000,49.67328312308639,3.0339198367345257,2.5917198567152404,5.520675842242328,6.981780524215024,0.98975,0.959,0.98975,1.0,True,0,0.0,41,0.01025,2.4919965617503645e-07,0.0,2.4919965617503645e-07,0.0,22.111,0.912198875,0.24276065198886068,0.95475,6,0.95475,0.491875,0.6949491494336673,0.95950782656973,4.0,0.4581576267652332
0,Masked PPO stochastic,4000,60.55369681812354,2.0214231522299113,1.9650437059567167,3.171451280879728,3.684334382344083,0.95675,0.827,0.95675,1.0,True,0,0.0,173,0.04325,4.735685939346868e-06,0.0,4.735685939346868e-06,0.0,20.9215,0.06717762500000002,2.9541763740238665,0.13575,28,0.13575,0.22575,0.3314381275895553,0.09926957467228534,1.0,0.2997010155472162
1,Masked PPO stochastic,4000,61.77776491377688,1.9947217306645166,1.9488527919060346,3.1202545508793946,3.5824872743383978,0.97425,0.897,0.97425,1.0,True,0,0.0,103,0.02575,1.5852536645366845e-06,0.0,1.5852536645366845e-06,0.0,21.58975,0.055426500000000004,3.0737326331095356,0.11525,28,0.11525,0.22325,0.33831882572193167,0.10976024171391224,1.0,0.28804613085695024
2,Masked PPO stochastic,4000,60.59948446595163,2.004543715790942,1.9648902292844639,3.1175841014778825,3.511721600659995,0.9575,0.83,0.9575,1.0,True,0,0.0,170,0.0425,4.157306232136504e-06,0.0,4.157306232136504e-06,0.0,20.92725,0.05409525,3.090167051506724,0.115,28,0.115,0.226375,0.3116339550914631,0.08555490981709006,1.0,0.31108304678669
3,Masked PPO stochastic,4000,60.82596312725253,2.0242294009402855,1.9701557376373557,3.1769637190787705,3.622861964037744,0.9655,0.862,0.9655,1.0,True,0,0.0,138,0.0345,2.3911473917243296e-06,0.0,2.3911473917243296e-06,0.0,21.56875,0.05038337500000001,3.1331412596296357,0.085,28,0.08225,0.20075,0.28364793299450963,0.08044867355677363,1.0,0.3275935265251522
4,Masked PPO stochastic,4000,61.89701687390434,2.0186603089588715,1.9575082193838043,3.138991470250357,3.595003047634219,0.983,0.932,0.983,1.0,True,0,0.0,68,0.017,8.170143862480383e-07,0.0,8.170143862480383e-07,0.0,22.13625,0.061419375000000005,3.022242160953362,0.1355,28,0.1355,0.219875,0.32463126406852827,0.09530238008452711,1.0,0.2889632587341331
5,Masked PPO stochastic,4000,61.41212309869239,2.000493183586977,1.9736575500684381,3.109329766840247,3.573257693271728,0.9715,0.886,0.9715,1.0,True,0,0.0,114,0.0285,2.687791757433694e-06,0.0,2.687791757433694e-06,0.0,21.52125,0.052747875,3.108842130663404,0.10075,28,0.10075,0.21675,0.2904431972793377,0.06794356355495369,1.0,0.308087617102074
6,Masked PPO stochastic,4000,61.27887790795619,2.0185708145064973,1.9667104167755483,3.143342361201661,3.591429896579541,0.97525,0.901,0.97525,1.0,True,0,0.0,99,0.02475,1.993496701871156e-06,0.0,1.993496701871156e-06,0.0,21.96725,0.04917075,3.161269694059401,0.10475,28,0.10475,0.19575,0.28656006092549785,0.06839982786772936,1.0,0.30842892961750457
7,Masked PPO stochastic,4000,62.54022229614039,2.00216210579365,1.9564873090121324,3.141662871190151,3.5943579689825014,0.9875,0.95,0.9875,1.0,True,0,0.0,50,0.0125,9.017043428107274e-07,0.0,9.017043428107274e-07,0.0,22.172,0.0571855,3.0671675806109175,0.12425,28,0.12425,0.218625,0.2971250268162468,0.07986641435538244,1.0,0.2955990978227967
8,Masked PPO stochastic,4000,61.104002676248435,2.006335342784879,1.9544466784370798,3.117569862220233,3.657479395725673,0.96625,0.872,0.96625,1.0,True,0,0.0,135,0.03375,7.615406350513943e-06,0.0,7.615406350513943e-06,0.0,21.60325,0.05719575,3.0645583275422505,0.12325,28,0.12325,0.220375,0.2991391818993017,0.08368195030097543,1.0,0.2896917282043728
9,Masked PPO stochastic,4000,62.30216503836733,2.0159210399026364,1.9556495884978489,3.1653099021683317,3.593144656350185,0.98975,0.959,0.98975,1.0,True,0,0.0,41,0.01025,2.491996561750087e-07,0.0,2.491996561750087e-07,0.0,22.111,0.050288125,3.1376274260916936,0.094,28,0.094,0.199375,0.2942581747524039,0.07365906802805061,1.0,0.2882769084035403
0,Max-Reliability,4000,44.3116527506454,3.4920330512216955,2.7220519759870427,6.996871666067272,9.06213947564784,0.95675,0.827,0.95675,1.0,True,0,0.0,173,0.04325,4.735685939346868e-06,0.0,4.735685939346868e-06,0.0,20.9215,0.19,1.782047155905169,0.3,7,0.3,0.4,0.5096665368868508,1.006973857888601,6.0,8.358792540395978
1,Max-Reliability,4000,45.59760233702278,3.260871152581049,2.743053988143771,6.156895714479677,7.301108739385034,0.97425,0.897,0.97425,1.0,True,0,0.0,103,0.02575,1.5852536645366845e-06,0.0,1.5852536645366845e-06,0.0,21.58975,0.36000000000000004,1.3303162832349145,0.55,6,0.55,0.45,0.5958899339095083,0.787096696419515,4.0,2.5125366856962725
