state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,safe_set_empty,maximum_backlog_seconds,total_backlog_seconds,num_counterfactual_actions,myopic_action,ppo_sampled_action,oracle_q_h1,myopic_q_h1,ppo_q_h1,ppo_high_probability_q_h1,regret_h1,agreement_h1,optimal_set_size_h1,effective_h_h1,oracle_future_latency_h1,myopic_future_latency_h1,oracle_future_reward_h1,myopic_future_reward_h1,ppo_future_latency_h1,ppo_future_reward_h1,ppo_future_queue_h1,ppo_future_backlog_h1,oracle_q_h5,myopic_q_h5,ppo_q_h5,ppo_high_probability_q_h5,regret_h5,agreement_h5,optimal_set_size_h5,effective_h_h5,oracle_future_latency_h5,myopic_future_latency_h5,oracle_future_reward_h5,myopic_future_reward_h5,ppo_future_latency_h5,ppo_future_reward_h5,ppo_future_queue_h5,ppo_future_backlog_h5,oracle_q_h10,myopic_q_h10,ppo_q_h10,ppo_high_probability_q_h10,regret_h10,agreement_h10,optimal_set_size_h10,effective_h_h10,oracle_future_latency_h10,myopic_future_latency_h10,oracle_future_reward_h10,myopic_future_reward_h10,ppo_future_latency_h10,ppo_future_reward_h10,ppo_future_queue_h10,ppo_future_backlog_h10,oracle_q_h20,myopic_q_h20,ppo_q_h20,ppo_high_probability_q_h20,regret_h20,agreement_h20,optimal_set_size_h20,effective_h_h20,oracle_future_latency_h20,myopic_future_latency_h20,oracle_future_reward_h20,myopic_future_reward_h20,ppo_future_latency_h20,ppo_future_reward_h20,ppo_future_queue_h20,ppo_future_backlog_h20,oracle_q_h50,myopic_q_h50,ppo_q_h50,ppo_high_probability_q_h50,regret_h50,agreement_h50,optimal_set_size_h50,effective_h_h50,oracle_future_latency_h50,myopic_future_latency_h50,oracle_future_reward_h50,myopic_future_reward_h50,ppo_future_latency_h50,ppo_future_reward_h50,ppo_future_queue_h50,ppo_future_backlog_h50
trial_000_ep1_task001,0,1,0.99,low,28,False,0.0,0.0,28,5,27,0.0,0.0,0.0,0.0,0.0,True,28,1,0.9839801745986738,0.7286241918429177,94.68562105084008,110.70609298906524,0.7286241918429177,110.70609298906524,0.0,0.0,289.92205262850894,289.92205262850894,289.92205262850894,289.92205262850894,0.0,True,7,5,1.268740365311963,1.268740365311963,88.89635246352589,88.89635246352589,1.268740365311963,88.89635246352589,3.0,1.9812289398082332,310.847011807729,310.847011807729,310.847011807729,310.847011807729,0.0,True,7,10,2.006330487925991,2.006330487925991,62.409721498536335,62.40972149853634,2.006330487925991,62.40972149853634,7.0,7.711927753806593,489.0194672539979,489.0194672539979,489.0194672539979,489.0194672539979,0.0,True,7,20,1.9917358815424033,1.991735881542403,62.87553816632919,62.87553816632919,1.991735881542403,62.87553816632919,1.0,1.4335306100506156,542.4355910972027,542.4355910972027,542.4355910972027,542.4355910972027,0.0,True,7,50,1.95806823764298,1.95806823764298,58.01698435057698,58.01698435057698,1.95806823764298,58.01698435057698,5.0,1.4912007258708315
trial_000_ep1_task002,0,2,0.99,low,24,False,0.0,0.0,24,6,4,110.70609298906524,110.70609298906524,110.70609298906524,0.0,0.0,True,17,1,1.5632474469254691,1.3358726264455616,67.99754214333348,75.4213905748194,1.5122605705667838,68.99331997083038,3.0,2.8811301193531715,327.8626897336217,327.8626897336217,322.1356140316766,261.72247676750027,0.0,True,4,5,1.6460587550693844,1.6460587550693844,76.58986808638828,76.58986808638828,1.6812839498244674,75.06986973037888,4.0,3.878412745900283,350.97655342206144,350.97655342206144,345.38556867525443,282.2326048563132,0.0,True,4,10,2.332081285918585,2.332081285918585,50.28592419016773,50.28592419016773,2.3496938832961263,49.52592501216304,11.0,13.39527353165322,548.9459483623604,548.9459483623604,543.3549636155533,480.201999796612,0.0,True,4,20,2.048967927955483,2.048967927955483,60.4437486838547,60.4437486838547,2.0577742266442534,60.06374909485236,3.0,3.181890761961438,609.3210740807449,609.3210740807449,603.7300893339378,540.5771255149965,0.0,True,4,50,1.9786739793128496,1.9786739793128496,57.09639826050427,57.09639826050427,1.9821964987883576,56.94439842490334,0.0,0.0
trial_000_ep1_task009,0,9,0.9,high,28,False,2.515600352978646,7.323518370334046,28,6,21,0.0,0.0,0.0,0.0,0.0,True,28,1,2.353808147964334,1.639643082878095,50.163972824214675,64.95604643935854,1.639643082878095,64.95604643935854,6.0,6.405973722227781,186.61959591247629,159.1984389526548,103.81112287602195,159.1984389526548,27.421156959821474,False,5,5,2.104006725333895,2.123367657056896,52.094600725443016,50.546394505168486,2.5384024862623336,40.35415711632558,8.0,8.844167986231136,393.3338366097903,375.4971984423016,334.88153710905215,375.4971984423016,17.836638167488672,False,4,10,1.6598672485141897,1.7289210292025878,70.58731007730191,67.92107378743925,1.9364384438053068,62.8249550930178,2.0,0.3701437516868594,539.927794463289,522.0911562958004,481.4754949625509,522.0911562958004,17.836638167488672,False,4,20,2.0363517477665822,2.070878638110781,58.22750869447543,56.8943905495441,2.174637345412141,54.346331202333374,0.0,0.0,602.7229564186451,584.8863182511565,544.270656917907,584.8863182511565,17.836638167488672,False,4,50,1.856648716737592,1.870459472875272,60.77637631985744,60.2431290618849,1.911962955795816,59.22390532300061,0.0,0.0
trial_000_ep1_task010,0,10,0.999,high,16,False,2.28621419095208,6.405973722227781,16,17,19,0.0,0.0,0.0,0.0,0.0,True,16,1,2.063612231764433,1.3396572272600151,59.96700778143658,75.27161088486899,3.0362412465937627,38.39876776621635,7.0,7.711927753806593,253.93968161342724,247.17144125018763,217.00616357268132,227.3777650347187,6.768240363239613,False,2,5,2.217872415001716,2.4437652449000287,47.27013251944908,42.82949219814985,2.565028040761188,39.59831171398256,7.0,5.4722872204962565,442.8050597116674,428.853839082815,405.87154167092143,409.0601628673461,13.951220628852411,False,2,10,1.979793737717157,2.0927401526663134,63.22150842552702,61.001188264877406,2.1533715505968933,59.38559802279376,0.0,0.0,571.9062902213582,557.9550695925057,534.9727721806121,538.1613933770367,13.951220628852525,False,2,20,2.114786269632796,2.171259477107374,55.605003072982015,54.49484299265722,2.201575176072664,53.68704787161538,2.0,1.8631757707594587,641.9427825677541,627.9915619389016,605.009264527008,608.1978857234326,13.951220628852525,False,2,50,1.894254306209908,1.9168435891997395,59.61432395772752,59.170259925597605,1.9289698687858556,58.84714187718087,0.0,0.0
trial_000_ep1_task011,0,11,0.9999,high,0,True,2.1841312702753544,7.711927753806593,1,25,25,0.0,0.0,0.0,0.0,0.0,True,1,1,4.162258145544273,4.162258145544273,-18.131871874667823,-18.131871874667823,4.162258145544273,-18.131871874667823,11.0,13.39527353165322,341.992286604888,341.992286604888,341.992286604888,341.992286604888,0.0,True,1,5,2.1035107157283783,2.1035107157283783,54.05924921093872,54.05924921093872,2.1035107157283783,54.05924921093872,0.0,0.0,510.9936117506133,510.9936117506133,510.9936117506133,510.9936117506133,0.0,True,1,10,1.977141275158816,1.977141275158816,63.34135483412204,63.34135483412204,1.977141275158816,63.34135483412204,1.0,1.4335306100506156,601.4076019629096,601.4076019629096,601.4076019629096,601.4076019629096,0.0,True,1,20,2.1506587440697804,2.1506587440697804,51.27823573269296,51.27823573269296,2.1506587440697804,51.27823573269296,2.0,1.8960172932581745,672.6053252564933,672.6053252564933,672.6053252564933,672.6053252564933,0.0,True,1,50,1.9009398195838825,1.9009398195838825,59.38123419201521,59.38123419201521,1.9009398195838825,59.38123419201521,0.0,0.0
trial_000_ep1_task014,0,14,0.9,high,28,False,3.498728125472919,8.844167986231136,28,3,27,154.9466110169372,154.9466110169372,154.9466110169372,154.9466110169372,0.0,True,28,1,1.7514699767374513,1.3698574334248406,63.80936071206115,74.09645261795285,1.772770855372368,61.17681942764345,7.0,5.4722872204962565,402.9474453679511,402.9474453679511,391.31977549667255,391.31977549667255,0.0,True,7,5,1.2538917169587744,1.2538917169587744,87.87967970777187,87.87967970777188,1.33447440134828,85.29575306971,2.0,0.3701437516868594,614.6339040914503,614.6339040914503,603.0062342201718,603.0062342201718,0.0,True,7,10,1.7145336282431352,1.7145336282431352,73.82117311771556,73.82117311771556,1.7548249704378875,72.52920979868462,0.0,0.0,681.5458463748134,681.5458463748134,669.9181765035349,669.9181765035349,0.0,True,7,20,2.0744404955989526,2.074440495598952,54.44504687566213,54.445046875662136,2.0945861666963284,53.799065216146666,1.0,0.1920694521477344,758.3587405074201,758.3587405074201,746.7310706361415,746.7310706361415,0.0,True,7,50,1.8276540819568754,1.827654081956875,61.03555854618277,61.035558546182784,1.8357123503958253,60.77716588237659,3.0,1.7790334291953238
trial_000_ep1_task015,0,15,0.999,high,24,False,3.1224246007058656,5.4722872204962565,24,14,22,153.74840280397274,153.74840280397274,153.74840280397274,143.666247607336,0.0,True,5,1,0.7286546214297136,0.7286546214297136,110.70345525099712,110.70345525099712,0.7286546214297136,110.70345525099712,0.0,0.0,319.8451762066082,319.8451762066082,319.8451762066082,309.76302100997145,0.0,True,5,5,1.7417150604325986,1.7417150604325986,79.17288433160498,79.17288433160498,1.7417150604325986,79.17288433160498,0.0,0.0,497.8440257813717,497.8440257813717,497.8440257813717,487.761870584735,0.0,True,5,10,1.7899060031760434,1.7899060031760434,71.70038524320542,71.70038524320542,1.7899060031760434,71.70038524320542,2.0,5.444680934986908,572.1906283184419,572.1906283184419,572.1906283184419,562.1084731218052,0.0,True,5,20,2.068438074419755,2.068438074419755,54.68967151179409,54.68967151179409,2.068438074419755,54.68967151179409,2.0,0.5137165140048994,659.0738465501735,659.0738465501735,659.0738465501735,648.9916913535368,0.0,True,5,50,1.8226321055598291,1.8226321055598291,61.255597039129725,61.255597039129725,1.8226321055598291,61.255597039129725,0.0,0.0
trial_000_ep1_task016,0,16,0.99,low,28,False,0.0,0.0,28,5,22,130.8750759857217,130.8750759857217,120.98716290883937,130.8750759857217,0.0,True,7,1,0.535398904615441,0.535398904615441,130.87507598572168,130.8750759857217,0.6210647283488555,120.98716290883937,0.0,0.0,296.09314118527584,296.09314118527584,286.2052281083935,296.09314118527584,0.0,True,7,5,1.8336386698425715,1.8336386698425715,74.60104307268183,74.60104307268185,1.850771834589254,72.62346045730537,1.0,1.4335306100506156,392.21638305177015,392.21638305177015,382.3284699748878,392.21638305177015,0.0,True,7,10,1.9105169095384744,1.9105169095384744,60.69596472784197,60.695964727841975,1.919083491911816,59.707173420153744,4.0,7.037092784923031,495.4210306255102,495.4210306255102,485.53311754862784,495.4210306255102,0.0,True,7,20,2.0970154240332666,2.097015424033267,53.323271110210854,53.32327111021086,2.1012987152199374,52.828875456366745,0.0,0.0,571.3606283504389,571.3606283504389,561.4727152735564,571.3606283504389,0.0,True,7,50,1.865528251029453,1.8655282510294535,60.026378313561494,60.02637831356148,1.8672415675041223,59.82862005202384,2.0,2.6213924138476354
trial_000_ep1_task019,0,19,0.9,medium,27,False,0.2722761796469932,0.3701437516868594,27,6,14,87.19452337247374,87.19452337247374,87.19452337247374,87.19452337247374,0.0,True,27,1,3.2268784656235363,2.789316100529309,36.88178803879256,41.60172088529412,3.8089741507939614,30.562475737118262,0.0,0.0,364.7609944653169,357.5777218793493,358.4928766338113,352.10071216802856,7.183272585967586,False,5,5,2.0352466627367525,1.971243929474565,61.15558160132714,61.97051555729439,2.1751755395274954,59.76266652765922,0.0,0.0,426.6954829747477,419.51221038878015,420.4273651432421,414.0352006774594,7.183272585967529,False,5,10,2.342871808623604,2.3108704419925097,46.56416484848292,46.97163182646654,2.412836247018975,45.86770731164896,0.0,0.0,549.356610229579,542.1733376436115,543.0884923980734,536.6963279322907,7.183272585967529,False,5,20,2.0039671533706285,1.9879664700550816,54.730561035255064,54.93429452424688,2.038949372568314,54.38233226683808,0.0,0.0,612.2486752193187,605.0654026333511,605.9805573878131,599.5883929220304,7.183272585967529,False,5,50,1.851069230634727,1.844668957308508,59.83588326924486,59.91737666484158,1.8650621183138012,59.69659176187806,0.0,0.0
trial_000_ep1_task020,0,20,0.9999,low,1,False,0.0,0.0,1,25,25,154.93561600521377,154.93561600521377,154.93561600521377,154.93561600521377,0.0,True,1,1,1.2739384922129915,1.2739384922129915,77.95633587949916,77.95633587949916,1.2739384922129915,77.95633587949916,1.0,1.4335306100506156,301.4426147348195,301.4426147348195,301.4426147348195,301.4426147348195,0.0,True,1,5,1.838096945919488,1.838096945919488,64.22788615480584,64.22788615480584,1.838096945919488,64.22788615480584,2.0,5.444680934986908,370.2587130786314,370.2587130786314,370.2587130786314,370.2587130786314,0.0,True,1,10,2.2497788015484343,2.2497788015484343,47.988497720437,47.988497720437,2.2497788015484343,47.988497720437,2.0,1.8631757707594587,505.9406346229279,505.9406346229279,505.9406346229279,505.9406346229279,0.0,True,1,20,1.922070581417824,1.922070581417824,52.629083900428654,52.629083900428654,1.922070581417824,52.629083900428654,1.0,0.1342500580996821,576.9329014166572,576.9329014166572,576.9329014166572,576.9329014166572,0.0,True,1,50,1.8101358379112784,1.8101358379112784,60.84551703709582,60.84551703709582,1.8101358379112784,60.84551703709582,0.0,0.0
