horizon,stratification,group,n,myopic_oracle_agreement_rate,mean_optimal_set_size,mean_safe_set_size,safe_set_empty_rate,ppo_sampled_mean_advantage,ppo_sampled_positive_advantage_rate,ppo_high_probability_mean_advantage,ppo_high_probability_positive_advantage_rate,mean,median,p75,p90,p95,max,p_le_1e_3,p_le_0_01,p_le_0_1,p_le_1
1,load,high,337,0.9792284866468842,13.050445103857566,19.718100890207715,0.04451038575667656,-5.621190157816011,0.008902077151335312,-1.4562581156040968,0.011869436201780416,0.8196210855715403,0.0,0.0,0.0,0.0,67.81980041599613,0.9792284866468842,0.9792284866468842,0.9792284866468842,0.9792284866468842
1,load,low,345,0.991304347826087,14.68695652173913,21.901449275362317,0.04057971014492753,-2.329184927328384,0.005797101449275362,-0.017033048414559316,0.005797101449275362,0.35212195308663274,0.0,0.0,0.0,0.0,87.54067959183521,0.991304347826087,0.991304347826087,0.991304347826087,0.991304347826087
1,load,medium,318,0.9874213836477987,13.726415094339623,20.72327044025157,0.0440251572327044,-3.5124619314638554,0.009433962264150943,-1.0034398683333006,0.006289308176100629,0.2756926932440192,0.0,0.0,0.0,0.0,47.85269667935917,0.9874213836477987,0.9874213836477987,0.9874213836477987,0.9874213836477987
5,load,high,337,0.7804154302670623,4.6765578635014835,19.718100890207715,0.04451038575667656,-6.767847200108961,0.09792284866468842,-4.182191817185953,0.08011869436201781,3.466194993531756,0.0,0.0,10.735328747346662,22.324085556289695,99.71605021249984,0.7804154302670623,0.7804154302670623,0.7804154302670623,0.7833827893175074
5,load,low,345,0.808695652173913,5.350724637681159,21.901449275362317,0.04057971014492753,-4.473783836649107,0.1246376811594203,-2.7426733993505903,0.06086956521739131,2.9389263105740224,0.0,0.0,12.61208135884405,19.123433363851973,52.23988655654776,0.808695652173913,0.808695652173913,0.8115942028985508,0.8115942028985508
5,load,medium,318,0.8018867924528302,5.210691823899371,20.72327044025157,0.0440251572327044,-5.326778882030688,0.11006289308176101,-3.572579660150045,0.07232704402515723,2.6467615436798333,0.0,0.0,8.879055401687635,18.072050058528284,77.9845929262163,0.8018867924528302,0.8018867924528302,0.8018867924528302,0.8081761006289309
10,load,high,337,0.7596439169139466,4.489614243323442,19.718100890207715,0.04451038575667656,-7.00766241614718,0.11275964391691394,-4.555163155191314,0.08605341246290801,3.5311180618201234,0.0,0.0,12.139713363203665,22.103248467545118,80.01921493117521,0.7596439169139466,0.7596439169139466,0.7596439169139466,0.7655786350148368
10,load,low,345,0.8,5.240579710144927,21.901449275362317,0.04057971014492753,-4.279723117572365,0.12753623188405797,-2.688623562028412,0.06086956521739131,2.902894813419868,0.0,0.0,12.862253034787138,19.123433363851973,53.739703463131264,0.8,0.8,0.8028985507246377,0.8028985507246377
10,load,medium,318,0.7924528301886793,5.012578616352202,20.72327044025157,0.0440251572327044,-5.221525431386119,0.11635220125786164,-3.7068897219741674,0.07547169811320754,2.6500538896862467,0.0,0.0,9.39133375241857,18.072050058528422,57.620941495887905,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7987421383647799
20,load,high,337,0.7596439169139466,4.489614243323442,19.718100890207715,0.04451038575667656,-7.021135010994872,0.11275964391691394,-4.567856659312645,0.08605341246290801,3.5617822613120773,0.0,0.0,12.139713363203688,22.10324846754522,80.01921493117516,0.7596439169139466,0.7596439169139466,0.7596439169139466,0.7655786350148368
20,load,low,345,0.8,5.228985507246377,21.901449275362317,0.04057971014492753,-4.28979073863972,0.12753623188405797,-2.699493630965722,0.06086956521739131,2.9321148064297047,0.0,0.0,12.86225303478716,19.590763402055128,53.739703463131264,0.8,0.8,0.8028985507246377,0.8028985507246377
20,load,medium,318,0.7924528301886793,5.012578616352202,20.72327044025157,0.0440251572327044,-5.213356166424696,0.11635220125786164,-3.7068897219741728,0.07547169811320754,2.6500538896862453,0.0,0.0,9.391333752418609,18.072050058528404,57.62094149588796,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7987421383647799
50,load,high,337,0.7596439169139466,4.489614243323442,19.718100890207715,0.04451038575667656,-7.021135010994872,0.11275964391691394,-4.567856659312647,0.08605341246290801,3.5617822613120773,0.0,0.0,12.139713363203688,22.10324846754522,80.01921493117533,0.7596439169139466,0.7596439169139466,0.7596439169139466,0.7655786350148368
50,load,low,345,0.8,5.228985507246377,21.901449275362317,0.04057971014492753,-4.289790738639722,0.12753623188405797,-2.6994936309657205,0.06086956521739131,2.932114806429704,0.0,0.0,12.862253034787114,19.590763402055025,53.73970346313115,0.8,0.8,0.8028985507246377,0.8028985507246377
50,load,medium,318,0.7924528301886793,5.012578616352202,20.72327044025157,0.0440251572327044,-5.213356166424692,0.11635220125786164,-3.7068897219741728,0.07547169811320754,2.650053889686245,0.0,0.0,9.391333752418609,18.072050058528404,57.62094149588802,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7987421383647799
