action_source,horizon,stratification,group,n_states,eligible_deviations,justified_deviation_count,long_term_justified_deviation_rate,mean_ppo_minus_myopic_q
PPO high probability,1,load,high,337,59,3,0.05084745762711865,-7.438205069484426
PPO high probability,1,load,low,345,0,0,,
PPO high probability,1,load,medium,318,27,1,0.037037037037037035,-10.848716365301978
PPO high probability,1,requirement,0.9,258,19,1,0.05263157894736842,-5.359332769467855
PPO high probability,1,requirement,0.99,255,20,0,0.0,-8.038705313161273
PPO high probability,1,requirement,0.999,245,27,1,0.037037037037037035,-15.752544865439328
PPO high probability,1,requirement,0.9999,242,20,2,0.1,-2.1924650356379005
PPO high probability,5,load,high,337,59,10,0.1694915254237288,-15.111535250269872
PPO high probability,5,load,low,345,0,0,,
PPO high probability,5,load,medium,318,27,2,0.07407407407407407,-12.525574016322595
PPO high probability,5,requirement,0.9,258,19,3,0.15789473684210525,-9.425931681944112
PPO high probability,5,requirement,0.99,255,20,3,0.15,-9.635807951468767
PPO high probability,5,requirement,0.999,245,27,2,0.07407407407407407,-21.555908782947807
PPO high probability,5,requirement,0.9999,242,20,4,0.2,-13.79763400403642
PPO high probability,10,load,high,337,59,9,0.15254237288135594,-16.143110407240854
PPO high probability,10,load,low,345,0,0,,
PPO high probability,10,load,medium,318,27,2,0.07407407407407407,-12.564551563879965
PPO high probability,10,requirement,0.9,258,19,3,0.15789473684210525,-10.504083350858377
PPO high probability,10,requirement,0.99,255,20,2,0.1,-10.1061215170183
PPO high probability,10,requirement,0.999,245,27,2,0.07407407407407407,-22.54455930750049
PPO high probability,10,requirement,0.9999,242,20,4,0.2,-14.064164547139049
PPO high probability,20,load,high,337,59,9,0.15254237288135594,-15.943152722594826
PPO high probability,20,load,low,345,0,0,,
PPO high probability,20,load,medium,318,27,2,0.07407407407407407,-12.564551563879975
PPO high probability,20,requirement,0.9,258,19,3,0.15789473684210525,-9.96786216445838
PPO high probability,20,requirement,0.99,255,20,2,0.1,-10.131100798582683
PPO high probability,20,requirement,0.999,245,27,2,0.07407407407407407,-22.466452400692965
PPO high probability,20,requirement,0.9999,242,20,4,0.2,-14.064164547139058
PPO high probability,50,load,high,337,59,9,0.15254237288135594,-15.943152722594833
PPO high probability,50,load,low,345,0,0,,
PPO high probability,50,load,medium,318,27,2,0.07407407407407407,-12.564551563879972
PPO high probability,50,requirement,0.9,258,19,3,0.15789473684210525,-9.967862164458381
PPO high probability,50,requirement,0.99,255,20,2,0.1,-10.131100798582693
PPO high probability,50,requirement,0.999,245,27,2,0.07407407407407407,-22.466452400692972
PPO high probability,50,requirement,0.9999,242,20,4,0.2,-14.064164547139052
PPO sampled,1,load,high,337,198,3,0.015151515151515152,-9.567379207999979
PPO sampled,1,load,low,345,203,1,0.0049261083743842365,-4.303376063150007
PPO sampled,1,load,medium,318,175,2,0.011428571428571429,-6.5766219652806885
PPO sampled,1,requirement,0.9,258,175,3,0.017142857142857144,-5.95504591410952
PPO sampled,1,requirement,0.99,255,171,0,0.0,-5.653533542158449
PPO sampled,1,requirement,0.999,245,140,1,0.007142857142857143,-6.728809009406312
PPO sampled,1,requirement,0.9999,242,90,2,0.022222222222222223,-10.754608177026924
PPO sampled,5,load,high,337,198,25,0.12626262626262627,-11.266871907726069
PPO sampled,5,load,low,345,203,35,0.1724137931034483,-7.397135731891627
PPO sampled,5,load,medium,318,175,22,0.12571428571428572,-9.151461535119244
PPO sampled,5,requirement,0.9,258,175,35,0.2,-7.800795867882698
PPO sampled,5,requirement,0.99,255,171,21,0.12280701754385964,-9.695699134209132
PPO sampled,5,requirement,0.999,245,140,15,0.10714285714285714,-9.244944353942014
PPO sampled,5,requirement,0.9999,242,90,11,0.12222222222222222,-11.295210239650151
PPO sampled,10,load,high,337,198,29,0.14646464646464646,-11.597815833017837
PPO sampled,10,load,low,345,203,36,0.17733990147783252,-7.033256550439714
PPO sampled,10,load,medium,318,175,23,0.13142857142857142,-9.068028738846024
PPO sampled,10,requirement,0.9,258,175,36,0.2057142857142857,-7.764703650939808
PPO sampled,10,requirement,0.99,255,171,24,0.14035087719298245,-9.185644224328463
PPO sampled,10,requirement,0.999,245,140,15,0.10714285714285714,-9.909462719804578
PPO sampled,10,requirement,0.9999,242,90,13,0.14444444444444443,-11.045895132528596
PPO sampled,20,load,high,337,198,29,0.14646464646464646,-11.620746461622243
PPO sampled,20,load,low,345,203,36,0.17733990147783252,-7.050366546834976
PPO sampled,20,load,medium,318,175,23,0.13142857142857142,-9.053184017373265
PPO sampled,20,requirement,0.9,258,175,36,0.2057142857142857,-7.769706525285556
PPO sampled,20,requirement,0.99,255,171,24,0.14035087719298245,-9.185644224328463
PPO sampled,20,requirement,0.999,245,140,15,0.10714285714285714,-9.894399244920269
PPO sampled,20,requirement,0.9999,242,90,13,0.14444444444444443,-11.119774587500542
PPO sampled,50,load,high,337,198,29,0.14646464646464646,-11.620746461622243
PPO sampled,50,load,low,345,203,36,0.17733990147783252,-7.050366546834973
PPO sampled,50,load,medium,318,175,23,0.13142857142857142,-9.053184017373262
PPO sampled,50,requirement,0.9,258,175,36,0.2057142857142857,-7.769706525285554
PPO sampled,50,requirement,0.99,255,171,24,0.14035087719298245,-9.18564422432846
PPO sampled,50,requirement,0.999,245,140,15,0.10714285714285714,-9.894399244920269
PPO sampled,50,requirement,0.9999,242,90,13,0.14444444444444443,-11.119774587500542
