trial_id,policy,action_index,selection_count,selection_frequency
0,Pair Greedy,0,0,0.0
0,Pair Greedy,1,0,0.0
0,Pair Greedy,2,0,0.0
0,Pair Greedy,3,0,0.0
0,Pair Greedy,4,0,0.0
0,Pair Greedy,5,0,0.0
0,Pair Greedy,6,0,0.0
0,Pair Greedy,7,0,0.0
0,Pair Greedy,8,0,0.0
0,Pair Greedy,9,0,0.0
0,Pair Greedy,10,0,0.0
0,Pair Greedy,11,0,0.0
0,Pair Greedy,12,0,0.0
0,Pair Greedy,13,0,0.0
0,Pair Greedy,14,0,0.0
0,Pair Greedy,15,0,0.0
0,Pair Greedy,16,0,0.0
0,Pair Greedy,17,0,0.0
0,Pair Greedy,18,0,0.0
0,Pair Greedy,19,0,0.0
0,Pair Greedy,20,0,0.0
0,Pair Greedy,21,0,0.0
0,Pair Greedy,22,0,0.0
0,Pair Greedy,23,0,0.0
0,Pair Greedy,24,0,0.0
0,Pair Greedy,25,0,0.0
0,Pair Greedy,26,5,0.00125
0,Pair Greedy,27,3995,0.99875
0,Masked Stochastic,0,13,0.00325
0,Masked Stochastic,1,22,0.0055
0,Masked Stochastic,2,40,0.01
0,Masked Stochastic,3,37,0.00925
0,Masked Stochastic,4,41,0.01025
0,Masked Stochastic,5,62,0.0155
0,Masked Stochastic,6,65,0.01625
0,Masked Stochastic,7,18,0.0045
0,Masked Stochastic,8,62,0.0155
0,Masked Stochastic,9,37,0.00925
0,Masked Stochastic,10,86,0.0215
0,Masked Stochastic,11,116,0.029
0,Masked Stochastic,12,97,0.02425
0,Masked Stochastic,13,68,0.017
0,Masked Stochastic,14,47,0.01175
0,Masked Stochastic,15,90,0.0225
0,Masked Stochastic,16,161,0.04025
0,Masked Stochastic,17,114,0.0285
0,Masked Stochastic,18,99,0.02475
0,Masked Stochastic,19,178,0.0445
0,Masked Stochastic,20,277,0.06925
0,Masked Stochastic,21,336,0.084
0,Masked Stochastic,22,132,0.033
0,Masked Stochastic,23,234,0.0585
0,Masked Stochastic,24,217,0.05425
0,Masked Stochastic,25,413,0.10325
0,Masked Stochastic,26,395,0.09875
0,Masked Stochastic,27,543,0.13575
0,Masked Greedy,0,0,0.0
0,Masked Greedy,1,0,0.0
0,Masked Greedy,2,0,0.0
0,Masked Greedy,3,0,0.0
0,Masked Greedy,4,0,0.0
0,Masked Greedy,5,0,0.0
0,Masked Greedy,6,0,0.0
0,Masked Greedy,7,0,0.0
0,Masked Greedy,8,0,0.0
0,Masked Greedy,9,0,0.0
0,Masked Greedy,10,0,0.0
0,Masked Greedy,11,0,0.0
0,Masked Greedy,12,0,0.0
0,Masked Greedy,13,0,0.0
0,Masked Greedy,14,0,0.0
0,Masked Greedy,15,0,0.0
0,Masked Greedy,16,23,0.00575
0,Masked Greedy,17,0,0.0
0,Masked Greedy,18,0,0.0
0,Masked Greedy,19,0,0.0
0,Masked Greedy,20,6,0.0015
0,Masked Greedy,21,98,0.0245
0,Masked Greedy,22,0,0.0
0,Masked Greedy,23,30,0.0075
0,Masked Greedy,24,23,0.00575
0,Masked Greedy,25,134,0.0335
0,Masked Greedy,26,99,0.02475
0,Masked Greedy,27,3587,0.89675
1,Pair Greedy,0,0,0.0
1,Pair Greedy,1,0,0.0
1,Pair Greedy,2,0,0.0
1,Pair Greedy,3,0,0.0
1,Pair Greedy,4,0,0.0
1,Pair Greedy,5,0,0.0
1,Pair Greedy,6,0,0.0
1,Pair Greedy,7,0,0.0
1,Pair Greedy,8,0,0.0
1,Pair Greedy,9,0,0.0
1,Pair Greedy,10,0,0.0
1,Pair Greedy,11,0,0.0
1,Pair Greedy,12,0,0.0
1,Pair Greedy,13,0,0.0
1,Pair Greedy,14,0,0.0
1,Pair Greedy,15,0,0.0
1,Pair Greedy,16,0,0.0
1,Pair Greedy,17,0,0.0
1,Pair Greedy,18,0,0.0
1,Pair Greedy,19,0,0.0
