comparison,left_policy,right_policy,metric,mean_delta,std_seed_delta,ci95_low,ci95_high,wins,losses,ties,win_direction,bootstrap_samples,bootstrap_seed,reused_existing_result
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,mean_reward,11.04047078103515,1.5945931274746188,10.055752539152474,11.900851251792375,10,0,0,higher,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,mean_latency,-1.2574763980115327,0.27480848361224514,-1.4092678924778448,-1.0893157386115804,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,p50_latency,-0.7024976852169055,0.0875696941513373,-0.7485045270191216,-0.6468425243961519,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,p90_latency,-3.0351342292946812,0.7368902857174771,-3.446657370739486,-2.5889124458727006,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,p95_latency,-4.194471434916727,1.2512039811079436,-4.902712865326758,-3.444988807967711,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,overall_rsr,-0.05647500000000001,0.008687834725765814,-0.06195000000000002,-0.05182500000000001,0,10,0,higher,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,highest_rsr,-0.18520000000000003,0.01769996861265263,-0.19579999999999997,-0.17519999999999997,0,10,0,higher,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,feasibility_rate,0.0,0.0,0.0,0.0,0,0,10,higher,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,conditional_rsr,-0.05812396075634672,0.009444264624005298,-0.06414373686958272,-0.05311364633260255,0,10,0,higher,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,avoidable_violation_rate,0.05647500000000001,0.008687834725765807,0.051824999999999996,0.061950000000000005,0,10,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,unavoidable_violation_rate,0.0,0.0,0.0,0.0,0,0,10,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,empty_safe_set_rate,0.0,0.0,0.0,0.0,0,0,10,higher,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,pair_selection_hhi,-0.8431196125,0.042350384523353136,-0.8628521131250001,-0.814748726875,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,pair_selection_entropy,2.315029062760707,0.13283487609038389,2.2314495992963472,2.387518291779768,10,0,0,higher,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,top1_pair_frequency,-0.7433249999999999,0.03705702250136492,-0.7645500000000001,-0.72055,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,unique_selected_pairs,26.1,0.5676462121975466,25.8,26.4,10,0,0,higher,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,pair_78_frequency,-0.7433249999999999,0.03705702250136492,-0.7645500000000001,-0.72055,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,maximum_server_selection_share,-0.20932500000000004,0.011544629583586572,-0.2160875,-0.20266250000000002,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,maximum_server_utilization,-0.3039143163125727,0.02004700048424994,-0.31520232169034307,-0.291834506018571,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,maximum_mean_queue_length,-0.9795935481168115,0.21343507441869675,-1.09705855171851,-0.8491453005761287,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,maximum_p95_queue_length,-4.1,0.9944289260117531,-4.6,-3.5,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,mean_server_queue_length,-0.18707838832650717,0.039555305031727626,-0.20907068293978137,-0.162957610111503,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,mean_server_p95_queue_length,-0.6875,0.19764235376052372,-0.8,-0.575,10,0,0,lower,20000,2043,False
Pair Stochastic - Pair Greedy,Pair Stochastic,Pair Greedy,mean_server_waiting_time,-0.2545457191002391,0.07838627141583346,-0.2987624280346457,-0.20776078349833071,10,0,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,mean_reward,4.331806590471143,0.9571872744490357,3.868180872130569,4.9723684432148225,10,0,0,higher,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,mean_latency,0.016549791940169457,0.014138604817795782,0.008233887922453421,0.024755073093640993,1,9,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,p50_latency,0.013873462447309404,0.014737759179585593,0.0053584065059366715,0.02246637976054417,1,9,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,p90_latency,0.04767418833718349,0.0344923452893669,0.027884127638611766,0.0681276346696361,1,9,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,p95_latency,0.037991262076922896,0.06456323163524753,0.0005605716098025807,0.07546775150936796,3,7,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,overall_rsr,0.07552500000000002,0.01373835365359006,0.06860000000000001,0.08465000000000002,10,0,0,higher,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,highest_rsr,0.25830000000000003,0.033509700088183415,0.2414,0.2803999999999999,10,0,0,higher,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,feasibility_rate,0.0,0.0,0.0,0.0,0,0,10,higher,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,conditional_rsr,0.07774037879550001,0.014810706125733175,0.07028927648755309,0.08758392140818202,10,0,0,higher,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,avoidable_violation_rate,-0.07552500000000001,0.013738353653590052,-0.08465,-0.06860000000000001,10,0,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,unavoidable_violation_rate,0.0,0.0,0.0,0.0,0,0,10,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,empty_safe_set_rate,0.0,0.0,0.0,0.0,0,0,10,higher,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,pair_selection_hhi,-0.07969059999999999,0.017407702245502008,-0.08952560218750001,-0.0691392209375,10,0,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,pair_selection_entropy,0.7152781889063407,0.13802648147294508,0.6300225419492851,0.792108197465335,10,0,0,higher,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,top1_pair_frequency,-0.132025,0.038038622550712255,-0.15365062499999999,-0.10879999999999998,10,0,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,unique_selected_pairs,0.1,0.31622776601683794,0.0,0.3,1,0,9,higher,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,pair_78_frequency,-0.1323,0.038421962758586684,-0.15425,-0.10887499999999999,10,0,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,maximum_server_selection_share,-0.07598750000000001,0.020714615914855867,-0.08798750000000001,-0.063875,10,0,0,lower,20000,2043,False
