trial_id,policy,action_index,selection_count,selection_frequency
0,flat,0,0,0.0
0,flat,1,0,0.0
0,flat,2,0,0.0
0,flat,3,0,0.0
0,flat,4,0,0.0
0,flat,5,0,0.0
0,flat,6,0,0.0
0,flat,7,0,0.0
0,flat,8,0,0.0
0,flat,9,0,0.0
0,flat,10,0,0.0
0,flat,11,0,0.0
0,flat,12,0,0.0
0,flat,13,0,0.0
0,flat,14,0,0.0
0,flat,15,0,0.0
0,flat,16,0,0.0
0,flat,17,0,0.0
0,flat,18,0,0.0
0,flat,19,0,0.0
0,flat,20,0,0.0
0,flat,21,0,0.0
0,flat,22,0,0.0
0,flat,23,0,0.0
0,flat,24,0,0.0
0,flat,25,0,0.0
0,flat,26,0,0.0
0,flat,27,4000,1.0
0,pair,0,0,0.0
0,pair,1,0,0.0
0,pair,2,0,0.0
0,pair,3,0,0.0
0,pair,4,0,0.0
0,pair,5,0,0.0
0,pair,6,0,0.0
0,pair,7,0,0.0
0,pair,8,0,0.0
0,pair,9,0,0.0
0,pair,10,0,0.0
0,pair,11,0,0.0
0,pair,12,0,0.0
0,pair,13,0,0.0
0,pair,14,0,0.0
0,pair,15,0,0.0
0,pair,16,0,0.0
0,pair,17,0,0.0
0,pair,18,0,0.0
0,pair,19,0,0.0
0,pair,20,0,0.0
0,pair,21,0,0.0
0,pair,22,0,0.0
0,pair,23,0,0.0
0,pair,24,0,0.0
0,pair,25,0,0.0
0,pair,26,5,0.00125
0,pair,27,3995,0.99875
0,masked_stochastic,0,13,0.00325
0,masked_stochastic,1,22,0.0055
0,masked_stochastic,2,40,0.01
0,masked_stochastic,3,37,0.00925
0,masked_stochastic,4,41,0.01025
0,masked_stochastic,5,62,0.0155
0,masked_stochastic,6,65,0.01625
0,masked_stochastic,7,18,0.0045
0,masked_stochastic,8,62,0.0155
0,masked_stochastic,9,37,0.00925
0,masked_stochastic,10,86,0.0215
0,masked_stochastic,11,116,0.029
0,masked_stochastic,12,97,0.02425
0,masked_stochastic,13,68,0.017
0,masked_stochastic,14,47,0.01175
0,masked_stochastic,15,90,0.0225
0,masked_stochastic,16,161,0.04025
0,masked_stochastic,17,114,0.0285
0,masked_stochastic,18,99,0.02475
0,masked_stochastic,19,178,0.0445
0,masked_stochastic,20,277,0.06925
0,masked_stochastic,21,336,0.084
0,masked_stochastic,22,132,0.033
0,masked_stochastic,23,234,0.0585
