comparison,trial_id,delta_mean_reward,delta_mean_latency,delta_overall_rsr,delta_highest_rsr,delta_pair_selection_hhi,delta_pair_selection_entropy,delta_top1_pair_frequency,delta_maximum_server_selection_share,delta_maximum_server_utilization,delta_maximum_mean_queue_length,delta_maximum_p95_queue_length,delta_mean_server_queue_length,delta_mean_server_p95_queue_length,delta_avoidable_violation_rate,delta_conditional_rsr
masked_minus_pair,0,16.66944508425349,-1.3371787357087124,0.03400000000000003,0.125,-0.9303255000000001,2.944571390940006,-0.863,-0.27425,-0.3870917495272967,-1.144400697759812,-5.0,-0.2109282735298885,-0.875,-0.034,0.03553697413117329
masked_minus_pair,1,16.09869396176132,-1.1858711431481885,0.012749999999999928,0.04700000000000004,-0.941578,3.062480323416147,-0.8832500000000001,-0.27675,-0.3986761912869826,-1.0761280514949636,-4.0,-0.2001431308083475,-0.75,-0.01275,0.013086989992301734
masked_minus_pair,2,16.16236465132102,-1.3779144784783046,0.015750000000000042,0.06299999999999994,-0.9359547500000001,3.058687985559557,-0.88,-0.273625,-0.4069493553643745,-1.1122892810999827,-4.0,-0.21221886758537703,-0.875,-0.01575,0.0164490861618799
masked_minus_pair,3,16.181221078993147,-1.3917672060567585,0.02375000000000005,0.09499999999999997,-0.949616625,3.1331412596296357,-0.915,-0.29925,-0.4421579146219284,-1.2396197746895572,-5.0,-0.22712242161230434,-1.0,-0.02375,0.024598653547384774
masked_minus_pair,4,15.512833829504778,-1.4682831075777187,0.012249999999999983,0.049000000000000044,-0.923693125,2.9780739645924275,-0.857,-0.280125,-0.38687417431497667,-1.160889479113559,-5.0,-0.22481333257730665,-1.0,-0.01225,0.01246185147507628
masked_minus_pair,5,13.792975913237022,-0.9403470517397503,0.026000000000000023,0.10099999999999998,-0.911900125,3.0186922081274834,-0.88125,-0.28325,-0.40923535950914364,-0.7521099837506289,-2.0,-0.14855992179627986,-0.5,-0.026,0.026762738033968114
masked_minus_pair,6,14.31725147888858,-1.1597115892699015,0.006749999999999923,0.027000000000000024,-0.9498297500000001,3.1569693678504684,-0.89475,-0.30425,-0.43058321169388636,-1.0341603814467368,-4.0,-0.18843899559561697,-0.875,-0.00675,0.006921302230197379
masked_minus_pair,7,11.763040357138891,-0.6921628945844804,0.015000000000000013,0.05999999999999994,-0.825627,2.8333759219044583,-0.81325,-0.281375,-0.3724381770824456,-0.6638123021621838,-3.0,-0.1280668644885214,-0.5,-0.015,0.015189873417721489
masked_minus_pair,8,17.288738556807225,-1.6498079972591118,0.0182500000000001,0.05999999999999994,-0.9098653749999999,2.979452668558598,-0.86,-0.279625,-0.4122082045670829,-1.3777547538240167,-5.0,-0.2638000010192926,-1.0,-0.01825,0.018887451487710205
masked_minus_pair,9,15.936208803157477,-1.2062218568907035,0.026000000000000023,0.10399999999999998,-0.949711875,3.1376274260916936,-0.906,-0.30062500000000003,-0.4303839436340521,-1.0702772449908629,-4.0,-0.1974771495112237,-0.75,-0.026,0.02626925991411977
stochastic_minus_greedy,0,11.424791565672116,-1.0307391743276586,0.0,0.0,-0.7394426250000001,2.4544829372650225,-0.761,-0.250125,-0.34063538981035063,-0.8767778974434105,-4.0,-0.16483818901557257,-0.75,0.0,0.0
stochastic_minus_greedy,1,3.7370645326088265,-0.2263155424426806,0.0,0.0,-0.520422,2.235284979125687,-0.6252500000000001,-0.21625,-0.31079373584710634,-0.3652998185685247,-1.0,-0.05667022078777691,-0.25,0.0,0.0
stochastic_minus_greedy,2,4.203146480793123,-0.26302031758455335,0.0,0.0,-0.5959846249999999,2.38421857414714,-0.6755,-0.263625,-0.32549003291013656,-0.5934478263040904,-2.0,-0.07717902240443453,-0.25,0.0,0.0
stochastic_minus_greedy,3,12.005683882460318,-1.0676134493875211,0.0,0.0,-0.80867825,2.742917938745299,-0.84125,-0.28225,-0.4000484917972302,-0.9120855156867269,-3.0,-0.17187654143859432,-0.625,0.0,0.0
stochastic_minus_greedy,4,13.406328206244908,-1.3176369185007255,0.0,0.0,-0.8606754999999999,2.8192840884496984,-0.8242499999999999,-0.27575,-0.369143518148707,-0.9835535849511315,-4.0,-0.1992415107535314,-0.875,0.0,0.0
stochastic_minus_greedy,5,12.026499949695463,-0.9347616383730544,0.0,0.0,-0.8584900000000001,2.860737030294232,-0.8535,-0.279125,-0.38348129511173096,-0.7920574090757752,-3.0,-0.149995385056095,-0.625,0.0,0.0
stochastic_minus_greedy,6,13.002810538962088,-1.0449316699292268,0.0,0.0,-0.9021469999999998,3.0159192998100246,-0.8704999999999999,-0.29874999999999996,-0.4156020811341796,-0.9520226997489176,-3.0,-0.17411999943911993,-0.75,0.0,0.0
stochastic_minus_greedy,7,11.094359638243063,-0.6923379444771824,0.0,0.0,-0.835685125,2.787046439767928,-0.8200000000000001,-0.27099999999999996,-0.3970105686327308,-0.9191115323636512,-3.0,-0.14934169248947884,-0.5,0.0,0.0
stochastic_minus_greedy,8,14.022750093095631,-1.4353719257581758,0.0,0.0,-0.78020825,2.672454378620727,-0.79,-0.270625,-0.36984692139117453,-1.141176469699516,-5.0,-0.22916006156966437,-1.0,0.0,0.0
stochastic_minus_greedy,9,12.628881915280935,-1.0179987968318893,0.0,0.0,-0.86191075,2.894866774102833,-0.86075,-0.2925,-0.40069097468126336,-0.8858487585416794,-3.0,-0.16750124538984232,-0.625,0.0,0.0
