trial_id,policy,R_req,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy
0,flat,0.9,1000,45.66766066063653,3.4820336387467377,2.721463263875364,6.957907823335825,9.107479148606599,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.988,1.0,-0.0,1.0,1,1.0,2.612798624753952
0,flat,0.99,1000,53.57168886963811,3.009807732910934,2.4572309892764395,5.909734078528341,7.799067456327589,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.06,1.0,-0.0,1.0,1,1.0,2.600722053527832
0,flat,0.999,1000,48.85154485346287,3.189470562324671,2.584068184767858,5.9676269518399225,7.969283931467019,0.989,1.0,0.989,0.011,0.0,0.0,0.0,0.0,11,0,21.087,1.0,-0.0,1.0,1,1.0,2.588505224943161
0,flat,0.9999,1000,27.44160191392463,3.7532007920097636,2.9499416114390486,7.531130946462932,9.776574616127176,0.702,0.827,0.848851269649335,0.125,0.173,0.173,0.00010949562865539973,0.0003577416544684,125,173,7.551,1.0,-0.0,1.0,1,1.0,2.577388714313507
0,masked_greedy,0.9,1000,49.28685462733351,3.1940931438420157,2.606950741335794,6.300994928934651,8.663818697007086,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.988,0.9111819999999999,0.21827526960657487,0.954,3,0.954,3.1412958636283874
0,masked_greedy,0.99,1000,55.957949069430306,2.7792691598895947,2.3959137526768117,5.190427105778362,6.899351195062182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.06,0.9548059999999999,0.12488999612569873,0.977,3,0.977,3.1073189220428468
0,masked_greedy,0.999,1000,53.55355649854418,2.881167215993581,2.3143018368022865,5.217978424977346,7.049157802475534,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,21.087,0.8870759999999999,0.274560448805546,0.941,4,0.941,2.8034263039827345
0,masked_greedy,0.9999,1000,37.717260814497685,3.3541197865050894,2.6875068702824443,6.407118301115148,9.243391737629864,0.827,0.827,1.0,0.0,0.173,0.173,0.00010949562865539973,0.0003577416544684,0,173,7.551,0.5285259999999999,1.0839034910396292,0.715,8,0.715,1.4031433652043344
0,masked_stochastic,0.9,1000,59.987451526882374,2.1387061719369984,2.123581182753924,3.2875794122657567,3.6437509930700256,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.988,0.05472,3.0947370722426615,0.104,28,0.104,3.1301211915016176
0,masked_stochastic,0.99,1000,65.71318946263442,1.9412008441069861,1.83896395638655,3.1786129683279456,3.6866596231160007,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.06,0.053564,3.0921729442028796,0.094,28,0.09,3.097729892730713
0,masked_stochastic,0.999,1000,65.88153350827247,1.8952691263504633,1.813454493549841,2.9712488605389358,3.268941277183007,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,21.087,0.06497800000000001,2.950047498097158,0.121,28,0.121,2.795310889363289
0,masked_stochastic,0.9999,1000,50.63261277470491,2.110516466525198,2.000224714597188,3.261913497637724,3.8496612923661844,0.827,0.827,1.0,0.0,0.173,0.173,0.00010949562865539973,0.0003577416544684,0,173,7.551,0.12013800000000001,2.4370190859222864,0.228,24,0.228,1.3996422525644303
