episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,60.64696752809028,2.1096883302240883,21.79,0.02,0.98,1.0,0.98,0,4,2.708708530664444,0.17,0.07335000000000001
2,200,63.31781004678837,1.982677699160155,23.08,0.0,1.0,1.0,1.0,0,0,2.9393992817401884,0.075,0.05739999999999999
3,200,63.93045505172228,1.9342643139007167,22.92,0.0,1.0,1.0,1.0,0,0,2.9320842736959456,0.115,0.05785
4,200,64.05857447222836,1.9553158512466995,20.77,0.0,1.0,1.0,1.0,0,0,2.801065072417259,0.11,0.05575
5,200,62.101881984810774,2.009887139866299,21.375,0.02,0.98,1.0,0.98,0,4,2.7605686414241792,0.105,0.06874999999999999
6,200,62.45740469767849,2.0070646565464814,21.485,0.0,1.0,1.0,1.0,0,0,2.8281151109933855,0.115,0.05410000000000001
7,200,63.13563664751095,2.0063016881357707,24.05,0.0,1.0,1.0,1.0,0,0,3.0140782129764556,0.085,0.0557
8,200,54.21235356096342,2.0006246862624506,20.085,0.15,0.85,1.0,0.85,0,30,2.4787423330545426,0.1,0.09229999999999998
9,200,62.44250296348491,2.032615750756909,24.665,0.0,1.0,1.0,1.0,0,0,3.048356063365936,0.05,0.05079999999999999
10,200,58.66676184513621,1.9685444266396395,18.955,0.09,0.91,1.0,0.91,0,18,2.421915784180164,0.075,0.09069999999999999
11,200,64.65053978760456,1.9501893780723163,22.945,0.0,1.0,1.0,1.0,0,0,2.924909201860428,0.085,0.0534
12,200,63.49961193998563,1.967515050937554,22.15,0.0,1.0,1.0,1.0,0,0,2.8765103885531427,0.12,0.061149999999999996
13,200,60.0939442350639,1.966510630355907,18.99,0.06,0.94,1.0,0.94,0,12,2.5074531763792036,0.09,0.0816
14,200,62.40449056436282,2.041254521586658,24.475,0.0,1.0,1.0,1.0,0,0,3.0427630907297134,0.105,0.054950000000000006
15,200,60.13649920569371,1.975756986053014,20.015,0.08,0.92,1.0,0.92,0,16,2.5780303555727007,0.1,0.0762
16,200,64.2699338434615,1.9568070816884353,22.17,0.0,1.0,1.0,1.0,0,0,2.851664446592331,0.13,0.0595
17,200,62.92484892236767,1.9928343421463348,22.115,0.0,1.0,1.0,1.0,0,0,2.839590276479721,0.105,0.0571
18,200,62.74135639835383,1.9738577146049427,20.42,0.005,0.995,1.0,0.995,0,1,2.574612310826778,0.185,0.0723
19,200,61.95257486762177,2.0548360021649126,18.18,0.0,1.0,1.0,1.0,0,0,2.6067327749729157,0.175,0.07204999999999999
20,200,57.911149712608015,2.007888362941043,21.16,0.09,0.91,1.0,0.91,0,18,2.6536488112807275,0.21,0.08009999999999999
