episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi,top1_pair_frequency,pair_selection_entropy
1,200,56.274237125578054,2.0650106932573484,19.39,0.105,0.895,1.0,0.895,0,21,2.542005252838135,0.03,0.07760000000000002,0.225,3.0055616464801784
2,200,59.549400317249564,2.120202025824034,23.16,0.0,1.0,1.0,1.0,0,0,3.032571721673012,0.09,0.04590000000000002,0.09,3.2022132178578295
3,200,61.03944180141973,2.088168484819622,24.22,0.0,1.0,1.0,1.0,0,0,3.14731587767601,0.03,0.04240000000000001,0.085,3.2437024299546837
4,200,59.924206383238925,2.13892523015733,25.575,0.0,1.0,1.0,1.0,0,0,3.2192359817028047,0.035,0.03889999999999999,0.065,3.289253832647069
5,200,62.65102732874694,2.0201085449403458,22.37,0.0,1.0,1.0,1.0,0,0,2.9948009997606277,0.04,0.04395,0.08,3.213317516869641
6,200,61.02110640928753,2.1011745733083673,23.85,0.0,1.0,1.0,1.0,0,0,3.092039716243744,0.055,0.041400000000000006,0.06,3.2484757578092056
7,200,51.654835159121355,2.038674240924313,19.425,0.17,0.83,1.0,0.83,0,34,2.522482625246048,0.02,0.08515,0.24,2.9424306512583636
8,200,59.20990655975713,2.070772609842633,22.05,0.055,0.945,1.0,0.945,0,11,2.805934751629829,0.055,0.05625000000000002,0.135,3.0907583482400174
9,200,63.70264051405635,1.9662604088409517,21.595,0.0,1.0,1.0,1.0,0,0,2.927116020321846,0.09,0.04770000000000001,0.09,3.1686960768779198
10,200,62.2588382563809,2.0468809661059133,21.66,0.0,1.0,1.0,1.0,0,0,2.974094886183739,0.055,0.04625000000000001,0.08,3.1845184631249768
11,200,60.762021541804316,2.0289375268959744,22.23,0.02,0.98,1.0,0.98,0,4,2.8452222502231597,0.1,0.05540000000000002,0.135,3.1187030572265266
12,200,61.48487068433851,2.0789114135580764,22.595,0.0,1.0,1.0,1.0,0,0,3.0171673351526263,0.065,0.04465000000000001,0.08,3.1969802539006014
13,200,61.90374391557705,2.021773998585924,20.875,0.0,1.0,1.0,1.0,0,0,2.8199294260144234,0.105,0.05025000000000001,0.105,3.139325859030704
14,200,62.68592600188269,1.9717538332746671,22.325,0.0,1.0,1.0,1.0,0,0,2.9961774814128876,0.08,0.0472,0.08,3.1621700775239105
15,200,59.02594500360558,2.030722701431875,18.855,0.055,0.945,1.0,0.945,0,11,2.526467652320862,0.185,0.06735,0.185,3.0311833446617023
16,200,62.64824075469126,2.0042789513651535,22.995,0.0,1.0,1.0,1.0,0,0,3.0487043899297714,0.05,0.047950000000000007,0.095,3.145880092538313
17,200,61.59239566484887,2.068978268824199,21.435,0.0,1.0,1.0,1.0,0,0,2.8000720301270485,0.045,0.054900000000000004,0.145,3.121814316966615
18,200,53.60692297483283,2.1213977084227666,18.915,0.125,0.875,1.0,0.875,0,25,2.542800478935242,0.05,0.07864999999999998,0.215,2.9372518400131447
19,200,59.91163714074959,2.140898519297122,20.35,0.005,0.995,1.0,0.995,0,1,2.749761810004711,0.035,0.05465000000000001,0.11,3.087442013651453
20,200,62.087252533633034,2.0117632452561423,20.55,0.0,1.0,1.0,1.0,0,0,2.7356474927067755,0.125,0.05400000000000001,0.125,3.0958310102123363
21,200,61.23077484499854,2.0705697128334832,22.575,0.0,1.0,1.0,1.0,0,0,2.972433835566044,0.065,0.042449999999999995,0.07,3.2333366032965527
22,200,53.37870153725174,2.1053982424352937,20.11,0.14,0.86,1.0,0.86,0,28,2.6161671233177186,0.195,0.0664,0.195,3.0675308875568223
23,200,62.00954896026692,2.0579837747950354,22.44,0.0,1.0,1.0,1.0,0,0,3.0255487257242204,0.045,0.04640000000000001,0.08,3.177783963698771
24,200,60.89054180185327,2.081859226212875,21.725,0.02,0.98,1.0,0.98,0,4,2.8447711288928987,0.03,0.04745000000000001,0.12,3.198482072583323
