episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,57.70251246083746,2.0156626390221395,17.08,0.09,0.91,1.0,0.91,0,18,2.2989609456062317,0.71,0.5448500000000001
2,200,58.47636110723073,2.2298684662831416,20.82,0.0,1.0,1.0,1.0,0,0,2.8285104882717134,0.81,0.6852500000000002
3,200,56.36399849058444,2.3733348691259497,22.995,0.0,1.0,1.0,1.0,0,0,2.974977863430977,0.83,0.7145999999999999
4,200,57.14146119982598,2.3526930358601676,21.235,0.0,1.0,1.0,1.0,0,0,2.8418462347984312,0.815,0.6984499999999999
5,200,58.43444237883997,2.3255321431590072,23.835,0.0,1.0,1.0,1.0,0,0,3.032953004837036,0.825,0.70795
6,200,55.016276809353094,2.238405868183384,19.165,0.09,0.91,1.0,0.91,0,18,2.5323041528463364,0.835,0.72445
7,200,53.35874112330709,2.1431449476235245,20.12,0.115,0.885,1.0,0.885,0,23,2.5275865179300308,0.695,0.5252499999999999
8,200,50.94604203339757,2.435194091280875,22.18,0.1,0.9,1.0,0.9,0,20,2.683812662959099,0.805,0.68605
9,200,53.274910188272926,2.525499695105808,22.905,0.0,1.0,1.0,1.0,0,0,2.9946195387840273,0.77,0.6374
10,200,54.88377273481849,2.1857221371565343,17.945,0.09,0.91,1.0,0.91,0,18,2.3472762736678123,0.875,0.78125
11,200,57.40203401634838,2.3587552493101533,23.205,0.0,1.0,1.0,1.0,0,0,3.0092270874977114,0.775,0.6374500000000001
12,200,60.69702829366966,2.186647498673419,23.74,0.0,1.0,1.0,1.0,0,0,2.985944641828537,0.83,0.71455
13,200,61.05881605763593,2.132681915378987,20.065,0.0,1.0,1.0,1.0,0,0,2.664232726097107,0.82,0.7047999999999999
14,200,56.64693853725723,2.423579205637111,21.335,0.0,1.0,1.0,1.0,0,0,2.830515440702438,0.825,0.7064499999999999
15,200,57.529347382168645,2.3301840205900235,21.87,0.0,1.0,1.0,1.0,0,0,2.8711378186941148,0.815,0.6984499999999999
16,200,60.03197511732791,2.22384948697878,20.79,0.0,1.0,1.0,1.0,0,0,2.762190859615803,0.85,0.7435499999999999
17,200,48.07728317172675,2.151901511604563,18.21,0.19,0.81,1.0,0.81,0,38,2.3535750541090965,0.68,0.5091500000000001
18,200,55.12550498397077,2.2564453675635905,21.335,0.1,0.9,1.0,0.9,0,20,2.6056966108083723,0.695,0.5182
19,200,58.03254699298154,2.3555274471655934,21.325,0.0,1.0,1.0,1.0,0,0,2.887341522574425,0.81,0.6868500000000002
20,200,57.72676662361564,2.1066510718071583,18.39,0.075,0.925,1.0,0.925,0,15,2.4600524574518206,0.74,0.5694
