episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,46.01908725265885,3.745988623162172,24.525,0.0,1.0,1.0,1.0,0,0,2.727969410419464,0.0,1.0
2,200,38.504674434802695,4.69810173578043,21.655,0.0,1.0,0.91,0.91,18,0,2.727363727092743,0.0,1.0
3,200,46.34698780543012,3.471026331106168,25.025,0.0,1.0,1.0,1.0,0,0,2.728338702917099,0.0,1.0
4,200,32.398819956295,6.974227541855377,21.96,0.0,1.0,0.895,0.895,21,0,2.7263816630840303,0.0,0.9607999999999999
5,200,50.008331127462476,3.248875572047351,22.115,0.0,1.0,1.0,1.0,0,0,2.7287234091758727,0.0,1.0
6,200,34.907615473477065,4.94271864758386,17.31,0.09,0.91,0.9725274725274725,0.885,5,18,2.7265451979637145,0.0,0.9900500000000001
7,200,37.983112825489336,5.356323127948599,23.315,0.0,1.0,0.995,0.995,1,0,2.72617959856987,0.0,0.9802
8,200,37.79820410626326,4.32143895355921,23.55,0.0,1.0,1.0,1.0,0,0,2.726033968925476,0.0,1.0
9,200,44.21317217881769,4.396526293245439,24.91,0.0,1.0,1.0,1.0,0,0,2.7276693093776703,0.0,1.0
10,200,41.87621559081988,3.0896091271373494,18.785,0.065,0.935,0.893048128342246,0.835,20,13,2.729116003513336,0.0,1.0
11,200,41.12076231953628,4.2214780324820165,21.16,0.0,1.0,1.0,1.0,0,0,2.7271571826934813,0.0,1.0
12,200,23.762641620078767,6.088249724521397,21.325,0.02,0.98,0.8673469387755102,0.85,26,4,2.7252043902873995,0.0,0.9802
13,200,30.70353017833665,3.7443854629724083,19.315,0.105,0.895,0.8603351955307262,0.77,25,21,2.7276353359222414,0.0,1.0
14,200,42.95739350708438,3.7387034146958764,24.345,0.0,1.0,1.0,1.0,0,0,2.7277026772499084,0.0,1.0
15,200,44.63888869904476,3.268144296696394,22.04,0.005,0.995,0.914572864321608,0.91,17,1,2.7288263976573943,0.0,0.9900500000000001
16,200,36.242877973577144,3.42289122789545,21.875,0.0,1.0,0.85,0.85,30,0,2.728171954154968,0.0,1.0
17,200,31.73675233593418,5.277297177085973,21.13,0.055,0.945,0.9894179894179894,0.935,2,11,2.7258979535102843,0.0,1.0
18,200,36.38472828020878,4.346232264903889,21.81,0.0,1.0,0.895,0.895,21,0,2.7269231629371644,0.0,1.0
19,200,41.61426432602141,3.3664525951663644,23.08,0.0,1.0,0.905,0.905,19,0,2.728260875940323,0.0,1.0
20,200,47.05257581678396,3.1210505471027954,23.495,0.0,1.0,0.995,0.995,1,0,2.7287259888648987,0.0,1.0
