episode,episode_reward,episode_total_delay
1,11042.48240846304,419.65241905699685
2,11701.326513210053,432.3439292116955
3,12291.05087077666,412.01418712683113
4,12423.208427953496,412.3157366710857
5,12249.834967813531,417.08525177524416
6,12461.699261396914,410.64438056933193
7,12226.234789469298,409.7531105315292
8,12021.06244092939,414.157213527742
9,12245.187909580372,398.68498782302066
10,11103.980264052845,433.55311562123137
11,10772.699202722752,407.0927905705582
12,12639.205686290185,393.8729121999835
13,11676.241092697346,434.87192004696533
14,11340.199283559326,429.397493045499
15,11579.811144971329,406.3052250084536
16,11957.02949298513,411.41602119784784
17,12241.721067967706,420.1410921178032
18,11939.97125631391,425.49194441026486
19,12466.541451412333,407.3814181885118
20,12346.704665174633,407.71198089946915
21,10791.05219112465,429.46199801351
22,12198.471476463208,421.2638184578146
23,12296.154002772057,413.8875561725039
24,11889.096854055155,426.0594912371548
25,12316.335223000715,408.3410263988605
26,10237.827292204818,424.57768939954525
27,12589.371451334997,404.9006364657152
28,12669.265943849547,397.09670068197767
29,12424.198429223614,407.32171401610884
30,12341.55516493319,407.4149091718399
31,12475.455797879487,403.1990044253464
32,10917.038407592001,417.77843051798
33,12381.459687558508,408.2718800666497
34,11376.524739444441,428.73640859056917
35,10242.132061773707,416.0304229716616
36,12054.296104440784,431.1853791392504
37,9796.677765882274,415.6223603327256
38,11314.658827708035,409.15229814939147
39,12083.861991173959,423.0799652858528
40,11384.35644584797,415.94719714820803
41,12318.275864089781,414.55802174870126
42,11102.209885394866,408.5744077396124
43,12484.807464135476,402.05015782802184
44,12520.238384253717,400.22326582441804
45,12469.118021439423,410.8664742196319
46,12184.619681454367,414.5007005201729
47,12444.661061061393,405.50252812348396
48,11432.665247833853,402.5379524655066
49,12326.151420112463,415.20124908882417
50,10925.543295512607,429.2248817474837
51,11126.534964365204,436.36033147558265
52,12313.353829673573,417.290881538174
53,11134.085121194064,408.98985509452336
54,12695.030955600141,392.0507627962693
55,12544.230590515595,404.5695023165058
56,10734.581244238723,403.16039526458593
57,12092.446558552316,431.40601697750435
58,12416.877732939027,407.2410772742756
59,11691.845019191296,457.14247969591037
60,11460.978533686193,410.6561802313162
61,12418.160844408192,419.87353443106696
62,12265.923917578268,421.335832902065
63,12473.820686999745,412.61909925374925
64,12204.71787745047,415.2221922912413
65,12119.014639209774,425.59259677980293
66,12426.617910068417,404.25930079526387
67,10828.937747925904,396.6522426304239
68,12207.693527680989,425.8108658124359
69,11072.140320507755,424.27522117849037
70,12469.530092851803,406.81497864371016
71,12382.60085127026,411.49726853889945
72,12034.401424339512,428.2829844563008
73,12230.735285699007,406.913808554527
74,12305.009049176597,410.1569844522245
75,12561.151012827113,403.51297685251217
76,12378.800871485251,407.450464563321
77,12626.884505962887,399.7226412316093
78,10986.956372507628,425.7100275464064
79,12318.856612727472,409.3004994126764
80,12295.894970106174,408.25972569764804
81,12551.342137422334,400.21039411584525
82,11441.113634644422,415.6697729058095
83,12284.655925912875,412.7981577812127
84,11222.652934644435,421.41785785279
85,12467.482649541007,406.18874441535297
86,12515.592202384954,409.8266522327398
87,12329.087859836793,413.1003641554816
88,12408.336733200476,406.2273285269576
89,10800.675775935011,421.67892767463087
90,12314.721759454036,423.1023637233271
91,12425.161816519487,411.8977691503289
92,12225.434355435445,409.7694972809747
93,10577.449970361147,405.0652789201046
94,12204.352681268098,423.61067438877484
95,12618.439548436536,402.85465367160987
96,12442.607964443574,409.565618421729
97,10387.490695626217,441.04302542112185
98,12604.00631551204,402.1611938886387
99,12585.1451081225,400.1969696964167
100,12508.227150525172,398.6531665185833
101,12592.754822152889,399.04608456193
102,12520.010010097076,409.9608572520915
103,12522.402433725174,395.7105950460529
104,12557.476919350001,398.2023963358762
105,12448.52332574642,404.3549695211894
106,12241.743048534045,416.2799433760652
107,12266.248017663624,416.33753457488893
108,12167.404133345142,404.96616858432685
109,12291.093400563186,410.63388645783147
110,12255.827558746665,425.32820475530895
111,12258.69970610064,409.47290782087805
112,12321.548128922368,418.9636903745513
113,12201.349773721658,419.76222746159834
114,12248.829877852153,421.7313304371936
115,12458.942004501352,399.9243284866745
116,12656.15472125368,397.62901446628916
117,12156.602099219393,415.98789034978887
118,9011.851479082914,436.8141810935623
119,12446.264693696086,405.64210862767925
120,12097.508100885805,424.4887496695938
121,12261.793696379467,418.401681626325
122,12452.445739747283,404.7586195069798
123,11939.619441534738,421.8242490208497
124,12466.841138871947,402.6259972618924
125,12425.709245851793,402.1287077474284
126,12514.304372384837,396.81889566185066
127,12149.094899899206,412.7412952848101
128,12533.626700626222,401.2156428894999
129,12451.219181419794,403.4648802483771
130,10735.542169235332,405.0973268532517
131,12389.432637353759,405.19923695423455
132,12479.55119861356,402.6976232976155
133,10869.820524165496,428.098533655746
134,12529.123072447373,407.3530459155511
135,12399.81449178219,410.4170078705089
136,12387.86133545727,412.0486919104483
137,12261.874770323067,411.62170278746004
138,12671.170571833934,399.0533711062375
139,12500.571967373757,401.6298797282857
140,12478.156183441526,406.0878927634112
141,11763.256459315351,407.11141125993305
142,11680.323492566116,414.17631841967074
143,12513.743906718319,397.4978564576835
144,12322.046812182276,404.85530105847783
145,12460.689422141606,404.3911067595899
146,12039.505356626409,433.5165146059841
147,11901.37326988081,429.9281284391809
148,12030.396153166697,398.75227311570677
149,12189.905746429613,423.3669736072974
150,12314.652726581497,406.80760333350145
151,12515.527403950897,402.74411298661636
152,12432.338855485417,412.4499466426884
153,12116.018266993426,419.6616588686975
154,12129.082803149204,423.5187472719302
155,12386.079147329418,410.50299917842875
156,11697.999451376862,395.80006794584216
157,12565.521482218559,403.953912616014
158,12163.01764469478,401.98006884451206
159,12329.391460872368,409.1688021344676
160,12319.787566734727,418.61673966736885
161,12193.730360306032,415.36483002046384
162,12608.134959779227,395.97442696162096
163,12160.896813793648,405.389461971207
164,12387.477600235623,409.6700625162356
165,12286.764052011413,417.8821850085298
166,12303.742814745547,392.43711283179016
167,11982.110534854542,408.2058551420326
168,11925.584114373652,411.55836862826754
169,12120.38920857624,422.0221203640172
170,12669.461338936473,398.87587809405636
171,12262.49212990465,410.60599179407234
172,11100.218343446024,418.71744772624515
173,11206.482080314754,404.76207939081996
174,12386.698633277812,408.2699672659664
175,12745.90048852332,385.8115914561879
176,12389.474095275576,405.50603380450855
177,12203.404273652915,414.9848172123088
178,12344.494583721778,415.27683795603497
179,9747.303203104286,443.9649065541528
180,12562.821931513628,401.5270513863445
181,12551.266906800309,399.60877932320193
182,12221.054568952139,410.58152008607493
183,12514.636629642375,411.38137673104137
184,12470.439720746166,403.7731372506274
185,12569.75737247769,395.0101716254234
186,12247.829839599148,418.40367177105566
187,12413.65848570736,414.3953696360791
188,12304.953301934125,417.34168671511463
189,12689.67487588712,396.5973131520266
190,12541.13735839465,399.68771275694485
191,11911.174920941092,418.0457846600309
192,12424.56810207594,408.15969363713907
193,12402.884750656438,406.5001263181662
194,12262.43929653764,415.4157209584252
195,12359.773922204686,404.2951980841736
196,12624.4538113078,400.9984019445321
197,11167.092031365177,409.60919322040655
198,11356.747081393065,416.23729630809567
199,12418.494992463678,404.1104718455127
200,12258.00790510716,395.96588124828014
201,12508.802259557093,405.83830691960503
202,12512.392899579147,411.64109237124075
203,10261.48110769029,433.2566290095006
204,12537.975194610499,405.2733246501996
205,12356.338509160852,409.2723941336402
206,12389.069233745053,415.3976311043741
207,11979.256268698684,391.6942617008336
208,12562.873318997703,404.4147979791924
209,11814.411008849325,414.90898841679524
210,12374.747553864287,406.2616272351978
211,12307.127582488902,415.23411992449735
212,12312.840769527147,409.64465977482087
213,11778.561365838455,396.04748528529257
214,12536.174511729496,404.47119239672907
215,11868.976533171635,409.50579459949046
216,12364.488331443506,408.7619185076917
217,12442.536509344869,415.1834605448789
218,11334.31274946026,415.4867612199806
219,12563.813495156579,402.8438574867904
220,12255.730585166002,419.98683875643076
221,12211.785391975789,418.063668480126
222,12553.588686403635,402.8172486242629
223,12279.307762485478,419.841931035592
224,12166.613725394049,411.38957579400926
225,12767.29850106972,392.9719083599606
226,12596.743141864641,403.4903231894097
227,11721.41116281425,413.8437371032117
228,10162.054209030503,416.9034620459702
229,12517.101372237365,404.62886241338737
230,11305.476981217007,415.5955644376016
231,12244.563501420125,406.2464881206494
232,10435.458125738041,398.12804099772967
233,10277.407212776843,418.7167338113449
234,12650.147413240278,392.107051715118
235,12685.772888042757,395.05305665867604
236,12637.246347079586,402.370096613082
237,12158.498548668522,406.46145156312184
238,12531.582106136544,397.19426458348283
239,11053.120595197657,406.74435645007196
240,12587.827370853127,395.36688839633825
241,12603.026103460508,400.14077207334907
242,12741.765703023328,390.81779826188415
243,11560.790745067321,399.4935385620153
244,12319.112406010909,404.6574997500644
245,11681.797166571265,402.0348070891923
246,12434.289846606107,426.1778253904387
247,12494.381730945124,404.67504921643865
