episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,36.7059417380293,3.4091607113908644,17.765,0.125,0.875,1.0,0.875,0,25,2.446206210851669,0.995,0.9900500000000001
2,200,50.19282980328402,2.61134318014736,18.32,0.02,0.98,0.923469387755102,0.905,15,4,2.4461539614200594,0.99,0.9802
3,200,48.918914753112915,3.109041834198714,22.63,0.0,1.0,0.99,0.99,2,0,2.4471593284606934,0.985,0.97045
4,200,52.636375512753006,2.651953962065455,26.295,0.0,1.0,1.0,1.0,0,0,2.4460806596279143,1.0,1.0
5,200,48.971464882627295,2.9970714259614772,21.975,0.0,1.0,0.995,0.995,1,0,2.4470829367637634,0.99,0.9802
6,200,44.509740895187534,3.0659989872854716,19.22,0.005,0.995,0.8894472361809045,0.885,22,1,2.447134257555008,0.995,0.9900500000000001
7,200,44.79813044483273,2.7804757950220242,22.06,0.005,0.995,0.864321608040201,0.86,27,1,2.4464555966854094,0.98,0.9607999999999999
8,200,45.81179295900465,3.121232624566105,21.085,0.06,0.94,0.9787234042553191,0.92,4,12,2.4480621576309205,0.955,0.91405
9,200,49.79173196673851,2.8483529567355914,19.445,0.03,0.97,1.0,0.97,0,6,2.4475084733963013,0.955,0.91405
10,200,46.830831348299114,3.084902139460839,20.78,0.0,1.0,0.94,0.94,12,0,2.4471270167827606,0.965,0.93245
11,200,37.75848293340005,2.726530697284691,18.32,0.165,0.835,0.9221556886227545,0.77,13,33,2.4453700494766237,1.0,1.0
12,200,50.34907426364095,3.0412423350530933,24.5,0.0,1.0,1.0,1.0,0,0,2.4475792229175566,0.965,0.93245
13,200,50.91686130882266,2.7599084980240995,21.145,0.02,0.98,1.0,0.98,0,4,2.446742242574692,0.99,0.9802
14,200,49.52620623468438,3.0959140729724663,20.76,0.0,1.0,1.0,1.0,0,0,2.4473178017139436,0.975,0.9512499999999999
15,200,37.65651236616388,3.20762719326539,18.675,0.14,0.86,0.9534883720930233,0.82,8,28,2.4483506739139558,0.95,0.9049999999999999
16,200,47.06645058011344,3.1943276331841,24.265,0.0,1.0,1.0,1.0,0,0,2.4471542620658875,0.96,0.9232
17,200,50.26787774085233,2.93992456749266,24.275,0.0,1.0,1.0,1.0,0,0,2.446330326795578,1.0,1.0
18,200,52.88553714369283,2.803373632868222,23.6,0.0,1.0,1.0,1.0,0,0,2.447140580415726,0.99,0.9802
19,200,55.17863822416608,2.526138970066301,22.505,0.0,1.0,1.0,1.0,0,0,2.4461216640472414,1.0,1.0
20,200,51.609548609701626,2.8422834894896063,22.805,0.0,1.0,1.0,1.0,0,0,2.4462415087223053,1.0,1.0
