trial_id,policy,evaluated_tasks,avoidable_violations
0,flat,4000,136
0,pair,4000,136
0,masked_stochastic,4000,0
0,masked_greedy,4000,0
1,flat,4000,158
1,pair,4000,51
1,masked_stochastic,4000,0
1,masked_greedy,4000,0
2,flat,4000,63
2,pair,4000,63
2,masked_stochastic,4000,0
2,masked_greedy,4000,0
3,flat,4000,95
3,pair,4000,95
3,masked_stochastic,4000,0
3,masked_greedy,4000,0
4,flat,4000,206
4,pair,4000,49
4,masked_stochastic,4000,0
4,masked_greedy,4000,0
5,flat,4000,101
5,pair,4000,104
5,masked_stochastic,4000,0
5,masked_greedy,4000,0
6,flat,4000,75
6,pair,4000,27
6,masked_stochastic,4000,0
6,masked_greedy,4000,0
7,flat,4000,38
7,pair,4000,60
7,masked_stochastic,4000,0
7,masked_greedy,4000,0
8,flat,4000,73
8,pair,4000,73
8,masked_stochastic,4000,0
8,masked_greedy,4000,0
9,flat,4000,104
9,pair,4000,104
9,masked_stochastic,4000,0
9,masked_greedy,4000,0
