comparison,metric,positive_seeds,negative_seeds,ties,tie_tolerance,win_direction
masked_minus_pair,mean_reward,10,0,0,1e-10,higher
masked_minus_pair,mean_latency,10,0,0,1e-10,lower
masked_minus_pair,overall_rsr,10,0,0,1e-10,higher
masked_minus_pair,highest_rsr,10,0,0,1e-10,higher
masked_minus_pair,pair_selection_hhi,10,0,0,1e-10,lower
masked_minus_pair,pair_selection_entropy,10,0,0,1e-10,higher
masked_minus_pair,top1_pair_frequency,10,0,0,1e-10,lower
masked_minus_pair,maximum_server_selection_share,10,0,0,1e-10,lower
masked_minus_pair,maximum_server_utilization,10,0,0,1e-10,lower
masked_minus_pair,maximum_mean_queue_length,10,0,0,1e-10,lower
masked_minus_pair,maximum_p95_queue_length,10,0,0,1e-10,lower
masked_minus_pair,mean_server_queue_length,10,0,0,1e-10,lower
masked_minus_pair,mean_server_p95_queue_length,10,0,0,1e-10,lower
masked_minus_pair,avoidable_violation_rate,10,0,0,1e-10,lower
masked_minus_pair,conditional_rsr,10,0,0,1e-10,higher
stochastic_minus_greedy,mean_reward,10,0,0,1e-10,higher
stochastic_minus_greedy,mean_latency,10,0,0,1e-10,lower
stochastic_minus_greedy,overall_rsr,0,0,10,1e-10,higher
stochastic_minus_greedy,highest_rsr,0,0,10,1e-10,higher
stochastic_minus_greedy,pair_selection_hhi,10,0,0,1e-10,lower
stochastic_minus_greedy,pair_selection_entropy,10,0,0,1e-10,higher
stochastic_minus_greedy,top1_pair_frequency,10,0,0,1e-10,lower
stochastic_minus_greedy,maximum_server_selection_share,10,0,0,1e-10,lower
stochastic_minus_greedy,maximum_server_utilization,10,0,0,1e-10,lower
stochastic_minus_greedy,maximum_mean_queue_length,10,0,0,1e-10,lower
stochastic_minus_greedy,maximum_p95_queue_length,10,0,0,1e-10,lower
stochastic_minus_greedy,mean_server_queue_length,10,0,0,1e-10,lower
stochastic_minus_greedy,mean_server_p95_queue_length,10,0,0,1e-10,lower
stochastic_minus_greedy,avoidable_violation_rate,0,0,10,1e-10,lower
stochastic_minus_greedy,conditional_rsr,0,0,10,1e-10,higher
