episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,52.7543060701212,2.0287365911598334,15.195,0.17,0.83,1.0,0.83,0,34,2.1181001895666123,0.095,0.1177
2,200,61.46211395085778,2.056261817573427,21.505,0.005,0.995,1.0,0.995,0,1,2.801121460497379,0.155,0.056500000000000015
3,200,61.67160062144324,2.0230954368511207,23.18,0.0,1.0,1.0,1.0,0,0,3.0068524354696273,0.07,0.04545000000000002
4,200,61.59348135012321,2.0718260019209036,23.71,0.0,1.0,1.0,1.0,0,0,3.1018872487545015,0.035,0.04270000000000001
5,200,56.73543902910744,2.0194638237419538,18.19,0.1,0.9,1.0,0.9,0,20,2.4564572075009345,0.045,0.0885
6,200,60.88094476944268,2.079272245386591,24.5,0.0,1.0,1.0,1.0,0,0,3.1473282277584076,0.06,0.04245000000000001
7,200,61.82735355540048,2.0385874485019544,24.185,0.0,1.0,1.0,1.0,0,0,3.1258271849155426,0.06,0.04600000000000001
8,200,61.48835302058244,2.0875546419998914,19.25,0.005,0.995,1.0,0.995,0,1,2.5984107077121736,0.105,0.06805000000000001
9,200,59.20779378279923,1.9799389171117017,17.82,0.065,0.935,1.0,0.935,0,13,2.4787005856633186,0.19,0.07504999999999999
10,200,59.92812154969274,2.055202316717626,19.47,0.02,0.98,1.0,0.98,0,4,2.638674442470074,0.145,0.05695000000000001
11,200,54.68019722609289,2.136117701960625,20.75,0.115,0.885,1.0,0.885,0,23,2.653197152018547,0.03,0.0625
12,200,52.250001995078755,1.992354443560464,19.045,0.18,0.82,1.0,0.82,0,36,2.4833903449773786,0.04,0.08030000000000001
13,200,61.50296737104642,2.10234469544684,22.895,0.0,1.0,1.0,1.0,0,0,2.968975658416748,0.045,0.045550000000000014
14,200,60.90265214017566,2.106321177760404,21.855,0.0,1.0,1.0,1.0,0,0,2.8886041045188904,0.09,0.049850000000000005
15,200,61.34297807783307,2.064784565303302,21.415,0.0,1.0,1.0,1.0,0,0,2.8687890312075615,0.05,0.04985000000000002
16,200,62.49575902264916,2.01320155062998,23.855,0.0,1.0,1.0,1.0,0,0,3.0949729859828947,0.055,0.04320000000000001
17,200,57.588635689284466,1.9846690745392306,17.85,0.09,0.91,1.0,0.91,0,18,2.4717862367630006,0.05,0.08015
18,200,63.150121297030076,1.9531541295095574,21.31,0.0,1.0,1.0,1.0,0,0,2.8006724911928176,0.145,0.056950000000000014
19,200,61.7857669440215,2.0041490433179194,20.45,0.02,0.98,1.0,0.98,0,4,2.693746094703674,0.03,0.05615
20,200,57.4420287728097,2.0344347656255155,22.0,0.095,0.905,1.0,0.905,0,19,2.748689282536507,0.065,0.05665000000000001
