episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,34.249197123466686,2.8229187383947205,15.195,0.17,0.83,0.8614457831325302,0.715,23,34,3.2584224772453307,0.035,0.93245
2,200,46.24035104271607,3.346234288336281,21.505,0.005,0.995,0.949748743718593,0.945,10,1,3.2586771500110627,0.155,0.7296499999999999
3,200,50.548968013295145,2.8434055055477847,23.18,0.0,1.0,1.0,1.0,0,0,3.258340927362442,0.035,0.93245
4,200,45.70006819680725,3.4537623509885442,23.71,0.0,1.0,1.0,1.0,0,0,3.2586880028247833,0.03,0.9418
5,200,39.17892519092733,3.8537558025437897,18.19,0.1,0.9,0.9944444444444445,0.895,1,20,3.2587995851039886,0.06,0.8872
6,200,41.65984132268257,4.460553138349586,24.5,0.0,1.0,1.0,1.0,0,0,3.258996204137802,0.04,0.9232
7,200,46.27677995846401,3.9153869525640594,24.185,0.0,1.0,1.0,1.0,0,0,3.2588677477836607,0.06,0.8872
8,200,34.60525937030162,4.354589571373283,19.25,0.005,0.995,0.8391959798994975,0.835,32,1,3.2590640771389006,0.055,0.88665
9,200,45.88268431474115,2.8533245329498276,17.82,0.065,0.935,0.9625668449197861,0.9,7,13,3.258492932319641,0.02,0.9607999999999999
10,200,36.71904103554412,3.6083092670916246,19.47,0.02,0.98,0.8214285714285714,0.805,35,4,3.258659197092056,0.04,0.9136500000000001
11,200,28.32201413908434,3.5503965147692647,20.75,0.115,0.885,0.847457627118644,0.75,27,23,3.25890420794487,0.055,0.89605
12,200,39.563033149940345,2.770067687058261,19.045,0.18,0.82,0.975609756097561,0.8,4,36,3.258363091945648,0.02,0.9607999999999999
13,200,39.38263482092895,2.681223845136175,22.895,0.0,1.0,0.78,0.78,44,0,3.258330557346344,0.015,0.97045
14,200,38.669913645002474,4.001944402955912,21.855,0.0,1.0,0.89,0.89,22,0,3.2590311884880068,0.05,0.8065499999999999
15,200,41.72189619894977,3.239878597322238,21.415,0.0,1.0,0.855,0.855,29,0,3.25864985704422,0.025,0.9512499999999999
16,200,52.80902236783504,2.7009134150011795,23.855,0.0,1.0,1.0,1.0,0,0,3.2582531499862672,0.025,0.94155
17,200,40.84198246860484,3.1461241151411796,17.85,0.09,0.91,0.9725274725274725,0.885,5,18,3.258602513074875,0.045,0.9045500000000001
18,200,41.18790522978721,3.37637610636744,21.31,0.0,1.0,0.88,0.88,24,0,3.2588465332984926,0.05,0.9049999999999999
19,200,34.024403957673165,3.2326947375446,20.45,0.02,0.98,0.7653061224489796,0.75,46,4,3.2587967109680176,0.045,0.91405
20,200,36.82342517066121,3.1006999976336385,22.0,0.095,0.905,0.8950276243093923,0.81,19,19,3.258793649673462,0.045,0.9045500000000001
