episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,45.163619306369,2.4190599076510573,15.195,0.17,0.83,1.0,0.83,0,34,2.1182137542963027,0.025,0.4931499999999999
2,200,49.419513338440936,3.2227170825877414,21.505,0.005,0.995,1.0,0.995,0,1,2.8015324798226358,0.09,0.8362
3,200,50.41887822673383,2.85264224472851,23.18,0.0,1.0,1.0,1.0,0,0,3.007274831533432,0.01,0.9802
4,200,45.66733957742033,3.454271989592152,23.71,0.0,1.0,1.0,1.0,0,0,3.102505397796631,0.02,0.95105
5,200,39.338086515655256,3.8659042265561605,18.19,0.1,0.9,1.0,0.9,0,20,2.456544165611267,0.045,0.8765000000000003
6,200,41.623873681010906,4.463665342603287,24.5,0.0,1.0,1.0,1.0,0,0,3.14777960062027,0.035,0.91335
7,200,45.874784242801944,3.9273207050440733,24.185,0.0,1.0,1.0,1.0,0,0,3.126221690773964,0.05,0.9049999999999999
8,200,47.030403162446675,3.6771787877379802,19.25,0.005,0.995,1.0,0.995,0,1,2.5985168328881265,0.24,0.5110500000000001
9,200,51.777015932116974,2.383046050884615,17.82,0.065,0.935,1.0,0.935,0,13,2.478837662041187,0.13,0.7565999999999999
10,200,53.95484955920952,2.633859936189445,19.47,0.02,0.98,1.0,0.98,0,4,2.6390705052018166,0.175,0.6333000000000002
11,200,46.767231186504084,2.5830874538030537,20.75,0.115,0.885,1.0,0.885,0,23,2.6537674176692962,0.03,0.49265000000000003
12,200,45.61530912281731,2.3863380958811136,19.045,0.18,0.82,1.0,0.82,0,36,2.483646212816238,0.015,0.6095
13,200,59.595697173867386,2.179649883109208,22.895,0.0,1.0,1.0,1.0,0,0,2.969421216249466,0.03,0.60035
14,200,50.59577799540795,2.8781122863290953,21.855,0.0,1.0,1.0,1.0,0,0,2.889301751255989,0.14,0.7174499999999999
15,200,54.986033938199135,2.5395929032308366,21.415,0.0,1.0,1.0,1.0,0,0,2.8691427171230317,0.045,0.6761
16,200,52.784019229185766,2.701492053637213,23.855,0.0,1.0,1.0,1.0,0,0,3.0953725636005402,0.02,0.95105
17,200,45.81537763813054,2.8258769304088447,17.85,0.09,0.91,1.0,0.91,0,18,2.4719588017463683,0.005,0.7789000000000001
18,200,50.93427749471121,2.964350541377742,21.31,0.0,1.0,1.0,1.0,0,0,2.8010099112987517,0.11,0.74405
19,200,56.086770050444684,2.4254663130141068,20.45,0.02,0.98,1.0,0.98,0,4,2.694299252927303,0.06,0.5081500000000001
20,200,49.9129724949945,2.426356831953719,22.0,0.095,0.905,1.0,0.905,0,19,2.749124122262001,0.02,0.61465
