episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,61.62771409953974,2.0659026048315328,23.195,0.0,1.0,1.0,1.0,0,0,3.0480722695589066,0.04,0.04475000000000001
2,200,62.02295522371255,2.027089680708927,24.735,0.0,1.0,1.0,1.0,0,0,3.1598137241601942,0.055,0.04440000000000001
3,200,62.882900200686045,2.007133846717486,19.335,0.0,1.0,1.0,1.0,0,0,2.771776766180992,0.055,0.057800000000000004
4,200,56.63952851435735,2.0539203967146302,20.99,0.09,0.91,1.0,0.91,0,18,2.7317955219745635,0.165,0.05830000000000002
5,200,60.78791730679879,2.0848055108672945,23.09,0.005,0.995,1.0,0.995,0,1,2.9695461598038673,0.07,0.046500000000000014
6,200,61.61497783428658,2.0589328090985948,22.42,0.005,0.995,1.0,0.995,0,1,2.9300041446089744,0.07,0.04305000000000001
7,200,61.47060760879156,2.108560061153506,18.955,0.0,1.0,1.0,1.0,0,0,2.651538756787777,0.075,0.053750000000000006
8,200,62.259799513016524,2.0090505805856465,20.61,0.0,1.0,1.0,1.0,0,0,2.7874310567975042,0.115,0.05230000000000001
9,200,61.665143528547524,2.024784754898045,19.78,0.005,0.995,1.0,0.995,0,1,2.6516674456000326,0.08,0.06345
10,200,57.54769826316576,2.05247550233906,18.795,0.075,0.925,1.0,0.925,0,15,2.528293385207653,0.02,0.0832
11,200,61.86420044570965,2.0642739889355983,23.32,0.0,1.0,1.0,1.0,0,0,3.0570209509134294,0.025,0.0422
12,200,62.156836347394616,2.088973851616526,22.265,0.0,1.0,1.0,1.0,0,0,2.9669552820920946,0.09,0.04655000000000001
13,200,61.46989611213603,2.070775239383932,21.59,0.0,1.0,1.0,1.0,0,0,2.9267294231057166,0.07,0.053000000000000005
14,200,63.241527490378665,2.013035430305463,21.795,0.0,1.0,1.0,1.0,0,0,2.9223959428071975,0.085,0.04765000000000001
15,200,61.32881578649611,2.0549574841019647,21.685,0.005,0.995,1.0,0.995,0,1,2.8470327284932138,0.105,0.0502
16,200,54.449186382620084,2.04584139898422,19.63,0.125,0.875,1.0,0.875,0,25,2.5658140593767165,0.18,0.06380000000000001
17,200,62.204830808583736,2.0525067593371324,24.21,0.0,1.0,1.0,1.0,0,0,3.1296654123067857,0.075,0.045350000000000015
18,200,61.63997146732831,2.052752539798197,23.245,0.0,1.0,1.0,1.0,0,0,3.0505200159549712,0.055,0.04180000000000002
