R_req,epsilon,States,mean_size,median_size,p25_size,p75_size,p90_size
0.9,1e-06,1000,7.0,7.0,7.0,7.0,7.0
0.9,0.0001,1000,7.0,7.0,7.0,7.0,7.0
0.9,0.001,1000,7.0,7.0,7.0,7.0,7.0
0.9,0.01,1000,7.0,7.0,7.0,7.0,7.0
0.9,0.05,1000,7.006,7.0,7.0,7.0,7.0
0.9,0.1,1000,7.018,7.0,7.0,7.0,7.0
0.99,1e-06,1000,6.998,7.0,7.0,7.0,7.0
0.99,0.0001,1000,6.998,7.0,7.0,7.0,7.0
0.99,0.001,1000,6.998,7.0,7.0,7.0,7.0
0.99,0.01,1000,6.998,7.0,7.0,7.0,7.0
0.99,0.05,1000,7.004,7.0,7.0,7.0,7.0
0.99,0.1,1000,7.016,7.0,7.0,7.0,7.0
0.999,1e-06,1000,6.449,7.0,6.0,7.0,7.0
0.999,0.0001,1000,6.449,7.0,6.0,7.0,7.0
0.999,0.001,1000,6.449,7.0,6.0,7.0,7.0
0.999,0.01,1000,6.449,7.0,6.0,7.0,7.0
0.999,0.05,1000,6.455,7.0,6.0,7.0,7.0
0.999,0.1,1000,6.466,7.0,6.0,7.0,7.0
0.9999,1e-06,1000,3.468,3.0,2.0,5.0,6.0
0.9999,0.0001,1000,3.468,3.0,2.0,5.0,6.0
0.9999,0.001,1000,3.469,3.0,2.0,5.0,6.0
0.9999,0.01,1000,3.469,3.0,2.0,5.0,6.0
0.9999,0.05,1000,3.475,3.0,2.0,5.0,6.0
0.9999,0.1,1000,3.481,3.0,2.0,5.0,6.0
