R_req_A,R_req_B,States,mean_jaccard,median_jaccard,any_overlap_rate,mean_intersection_size,mean_union_size
0.9,0.9,1000,1.0,1.0,1.0,7.0,7.0
0.9,0.99,1000,0.9997142857142858,1.0,1.0,6.998,7.0
0.9,0.999,1000,0.9212857142857143,1.0,1.0,6.449,7.0
0.9,0.9999,1000,0.4807142857142857,0.42857142857142855,0.929,3.365,7.103
0.99,0.9,1000,0.9997142857142858,1.0,1.0,6.998,7.0
0.99,0.99,1000,1.0,1.0,1.0,6.998,6.998
0.99,0.999,1000,0.9214285714285714,1.0,1.0,6.449,6.998
0.99,0.9999,1000,0.4807142857142857,0.42857142857142855,0.929,3.365,7.101
0.999,0.9,1000,0.9212857142857143,1.0,1.0,6.449,7.0
0.999,0.99,1000,0.9214285714285714,1.0,1.0,6.449,6.998
0.999,0.999,1000,1.0,1.0,1.0,6.449,6.449
0.999,0.9999,1000,0.49782380952380945,0.42857142857142855,0.929,3.365,6.552
0.9999,0.9,1000,0.4807142857142857,0.42857142857142855,0.929,3.365,7.103
0.9999,0.99,1000,0.4807142857142857,0.42857142857142855,0.929,3.365,7.101
0.9999,0.999,1000,0.49782380952380945,0.42857142857142855,0.929,3.365,6.552
0.9999,0.9999,1000,1.0,1.0,1.0,3.468,3.468
