action_index,Server_J,Server_K,R_req,Rho,Mean_Pair_Reliability,Mean_Latency,Mean_Reward,Reliability_Violation_Rate,Selection_Feasibility_Rate,Oracle_Selection_Frequency,In_Optimal_Set_Frequency,Pareto_Front
0,1,2,0.9,0.021009369147363816,0.9956609687474735,2.3501345427029956,50.44959129221988,0.0,1.0,0.0,0.0,True
0,1,2,0.99,0.021009369147363816,0.9956609687474735,2.3501345427029956,44.9554869304509,0.09999999999999998,1.0,0.0,0.0,True
0,1,2,0.999,0.021009369147363816,0.9956609687474735,2.3501345427029956,8.828427061142117,0.683,1.0,0.0,0.0,True
0,1,2,0.9999,0.021009369147363816,0.9956609687474735,2.3501345427029956,-18.944189135029603,0.987,1.0,0.0,0.0,True
1,1,3,0.9,0.18306787663613355,0.9962189548090818,2.262029197349815,51.811489361269,0.0010000000000000009,1.0,0.0,0.0,False
1,1,3,0.99,0.18306787663613355,0.9962189548090818,2.262029197349815,46.854541965052825,0.08999999999999997,1.0,0.0,0.0,False
1,1,3,0.999,0.18306787663613355,0.9962189548090818,2.262029197349815,13.803745831696755,0.616,1.0,0.0,0.0,False
1,1,3,0.9999,0.18306787663613355,0.9962189548090818,2.262029197349815,-17.075624795829725,0.978,1.0,0.0,0.0,False
2,1,4,0.9,0.05616030311880285,0.998207551120326,1.8580125518195902,60.978041302493175,0.0,1.0,0.011,0.011,True
2,1,4,0.99,0.05616030311880285,0.998207551120326,1.8580125518195902,59.63318710193271,0.02300000000000002,1.0,0.011,0.011,True
2,1,4,0.999,0.05616030311880285,0.998207551120326,1.8580125518195902,32.07048117152686,0.43500000000000005,1.0,0.006,0.006,True
2,1,4,0.9999,0.05616030311880285,0.998207551120326,1.8580125518195902,-10.278137456823341,0.942,1.0,0.001,0.001,True
3,1,5,0.9,0.35189398947555517,0.9979488915223435,1.9986234796893156,56.98135097697721,0.0,1.0,0.0,0.0,False
3,1,5,0.99,0.35189398947555517,0.9979488915223435,1.9986234796893156,54.93846018349256,0.03300000000000003,1.0,0.0,0.0,False
3,1,5,0.999,0.35189398947555517,0.9979488915223435,1.9986234796893156,32.38483577376172,0.381,1.0,0.0,0.0,False
3,1,5,0.9999,0.35189398947555517,0.9979488915223435,1.9986234796893156,-6.919795791322552,0.892,1.0,0.003,0.003,False
4,1,6,0.9,0.06799478979999132,0.9991638360133905,1.6340925336436984,67.0059087111451,0.0,1.0,0.709,0.709,True
4,1,6,0.99,0.06799478979999132,0.9991638360133905,1.6340925336436984,66.76125903280493,0.0040000000000000036,1.0,0.708,0.708,True
4,1,6,0.999,0.06799478979999132,0.9991638360133905,1.6340925336436984,50.044393892752886,0.247,1.0,0.527,0.527,True
4,1,6,0.9999,0.06799478979999132,0.9991638360133905,1.6340925336436984,0.40024450017697466,0.851,1.0,0.107,0.107,True
5,1,7,0.9,0.13817150844591128,0.99931159439193,2.365574982674232,51.48607617542924,0.0,1.0,0.119,0.119,False
5,1,7,0.99,0.13817150844591128,0.99931159439193,2.365574982674232,51.19769398725509,0.0050000000000000044,1.0,0.119,0.119,False
5,1,7,0.999,0.13817150844591128,0.99931159439193,2.365574982674232,41.7738504422201,0.17100000000000004,1.0,0.108,0.108,False
5,1,7,0.9999,0.13817150844591128,0.99931159439193,2.365574982674232,3.0482006928817147,0.76,1.0,0.036,0.036,False
6,1,8,0.9,0.025396350832529932,0.9996051809577746,2.239097490205075,54.04424411950313,0.0,1.0,0.161,0.161,True
6,1,8,0.99,0.025396350832529932,0.9996051809577746,2.239097490205075,53.94036675508542,0.0020000000000000018,1.0,0.161,0.161,True
6,1,8,0.999,0.025396350832529932,0.9996051809577746,2.239097490205075,49.14647563462973,0.08499999999999996,1.0,0.14,0.14,True
6,1,8,0.9999,0.025396350832529932,0.9996051809577746,2.239097490205075,12.106159467142477,0.646,1.0,0.049,0.049,True
7,2,3,0.9,0.05198802542815817,0.9976154164969551,2.262029197349815,51.85962915659105,0.0,1.0,0.0,0.0,False
7,2,3,0.99,0.05198802542815817,0.9976154164969551,2.262029197349815,49.987355134900085,0.03500000000000003,1.0,0.0,0.0,False
7,2,3,0.999,0.05198802542815817,0.9976154164969551,2.262029197349815,19.198077112702837,0.542,1.0,0.0,0.0,False
7,2,3,0.9999,0.05198802542815817,0.9976154164969551,2.262029197349815,-15.017887972142846,0.968,1.0,0.0,0.0,False
8,2,4,0.9,0.29867099860174734,0.998340884566982,1.8580125518195902,60.978041302493175,0.0,1.0,0.0,0.011,False
