source,Episode,Task_ID,R_req,sampled_action,greedy_action,sampled_regret,greedy_regret,optimal_set_size,top1_hit,top3_hit,top5_hit,optimal_set_probability_mass,uniform_optimal_set_mass,optimal_mass_lift_over_uniform,spearman_logit_reward,kendall_logit_reward,spearman_probability_negative_regret
evaluation,1,1,0.99,27,27,38.1023531279045,38.1023531279045,7,0,0,1,0.23814129270613194,0.25,-0.011858707293868065,0.16376789481350582,0.10318787407351644,0.16376789481350582
evaluation,1,3,0.9999,27,27,36.1159079500967,36.1159079500967,4,0,1,1,0.3933712048456073,0.14285714285714285,0.25051406198846443,0.8054269002654167,0.6293534729667075,0.8054269002654167
evaluation,1,4,0.9,27,27,5.014991460217395,5.014991460217395,7,0,1,1,0.43955804500728846,0.25,0.18955804500728846,0.4389425207926618,0.3439595802450548,0.4389425207926618
evaluation,1,5,0.999,27,27,76.08786971560335,76.08786971560335,7,0,0,1,0.23822390637360513,0.25,-0.011776093626394868,0.3386014705120406,0.2346487232822053,0.3386014705120406
evaluation,1,15,0.999,27,27,114.79252693948035,114.79252693948035,7,0,1,1,0.4476458244025707,0.25,0.19764582440257072,0.48818447513600527,0.399640239952095,0.48818447513600527
evaluation,1,17,0.99,27,27,0.0,0.0,7,1,1,1,0.5410772538743913,0.25,0.2910772538743913,0.6920006547044317,0.5677609200644778,0.6920006547044317
evaluation,1,18,0.9,27,27,0.0,0.0,7,1,1,1,0.5348711286205798,0.25,0.28487112862057984,0.5915697424896026,0.47007809300157494,0.5915697424896026
evaluation,1,24,0.9,27,27,0.0,0.0,7,1,1,1,0.48256827937439084,0.25,0.23256827937439084,0.64337387248163,0.5102067106968313,0.64337387248163
evaluation,1,25,0.9999,27,27,8.25467747514663,8.25467747514663,1,0,1,1,0.17085781693458557,0.03571428571428571,0.13514353122029987,0.8166392993979201,0.6402116402116401,0.8166392993979201
evaluation,1,33,0.99,27,27,0.0,0.0,7,1,1,1,0.5428611310198903,0.25,0.2928611310198903,0.690789435210524,0.5754355244356091,0.690789435210524
evaluation,1,42,0.99,27,27,0.0,0.0,7,1,1,1,0.48389921500347555,0.25,0.23389921500347555,0.6509897215783302,0.5298564729951648,0.6509897215783302
evaluation,1,46,0.9999,27,27,7.600387656977777,7.600387656977777,1,0,1,1,0.1726265251636505,0.03571428571428571,0.13691223944936481,0.8144499178981938,0.6296296296296297,0.8144499178981938
evaluation,1,47,0.9,27,27,20.096402412675996,20.096402412675996,7,0,1,1,0.4430202746298164,0.25,0.1930202746298164,0.3997671985621219,0.32610239728653606,0.3997671985621219
evaluation,1,48,0.999,27,27,23.47842681285428,23.47842681285428,4,0,1,1,0.38979155011475086,0.14285714285714285,0.246934407257608,0.8029604687913138,0.6133529609421302,0.8029604687913138
evaluation,1,55,0.99,27,27,0.0,0.0,6,1,1,1,0.4750328725203872,0.21428571428571427,0.26074715823467287,0.7225454006447047,0.5873243174814728,0.7225454006447047
evaluation,1,60,0.999,27,27,0.0,0.0,4,1,1,1,0.480496721342206,0.14285714285714285,0.33763957848506315,0.8323978212251092,0.6702562413195385,0.8323978212251092
evaluation,1,64,0.99,27,27,32.12657775111484,32.12657775111484,7,0,1,1,0.44617609423585236,0.25,0.19617609423585236,0.37892095304047546,0.3237591338807235,0.37892095304047546
evaluation,1,68,0.99,27,27,19.677966563811466,19.677966563811466,7,0,1,1,0.44304894702509046,0.25,0.19304894702509046,0.44007917574088157,0.34438552479122436,0.44007917574088157
evaluation,1,73,0.9999,27,27,81.54832034765586,81.54832034765586,1,0,1,1,0.1764306128025055,0.03571428571428571,0.1407163270882198,0.8505747126436781,0.693121693121693,0.8505747126436781
evaluation,1,74,0.9,27,27,23.765079033405144,23.765079033405144,7,0,1,1,0.4361590400803834,0.25,0.18615904008038342,0.21668609211718967,0.15478181111027467,0.21668609211718967
evaluation,1,75,0.999,27,27,21.04304486759463,21.04304486759463,4,0,1,1,0.39317104779183865,0.14285714285714285,0.2503139049346958,0.7914504552454997,0.6026859529257454,0.7914504552454997
