R_req,advantage_type,sign,N,mean_oracle_regret,median_oracle_regret,optimal_set_hit_rate
0.9,raw_advantage,positive,1182,5.492393199859429,1.9510892766689665,0.3790186125211506
0.9,raw_advantage,negative,18,20.599778978382357,19.21579396964524,0.0
0.9,normalized_advantage,positive,622,4.877127400022484,1.9510892766689665,0.3778135048231511
0.9,normalized_advantage,negative,578,6.624968064067027,3.7805284674667234,0.3685121107266436
0.99,raw_advantage,positive,1200,7.088568280439202,2.233828436552791,0.3908333333333333
0.99,raw_advantage,negative,0,,,
0.99,normalized_advantage,positive,655,7.191248704096553,2.233828436552791,0.39541984732824426
0.99,normalized_advantage,negative,545,6.9651633676033,1.64467758774029,0.3853211009174312
0.999,raw_advantage,positive,1161,11.802661747378899,3.5800030211144787,0.3695090439276486
0.999,raw_advantage,negative,39,72.41517179390576,72.47510417332741,0.0
0.999,normalized_advantage,positive,541,9.201639753353014,3.5800030211144787,0.3826247689463956
0.999,normalized_advantage,negative,659,17.525030170114178,4.321994110984839,0.33687405159332323
0.9999,raw_advantage,positive,983,29.428869527313942,10.725333653371322,0.34181078331637843
0.9999,raw_advantage,negative,217,46.46173120671018,58.70012559767591,0.009216589861751152
0.9999,normalized_advantage,positive,539,20.87871005005243,5.487368133008076,0.39888682745825604
0.9999,normalized_advantage,negative,661,41.9926621788615,57.18128450693581,0.18608169440242056
