Episode,Task_ID,state,R_req,raw_logits,masked_logits,probabilities,greedy_action,sampled_action,executed_action,sampling_mode
1,1,"[1.0, 0.7858735918998718, 0.6118251085281372, 0.3553605377674103, 0.2618909776210785, 0.12416132539510727, 0.07396519929170609, 0.0, 0.0, 0.10000000149011612, 0.20000000298023224, 0.4000000059604645, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0833333358168602, 0.5833333134651184, 0.25, 0.8333333134651184, 0.0, 0.5, 1.0, 0.3333333432674408, 0.7991176843643188, 0.04444444552063942, 0.3333333432674408]",0.99,"[-2.05936861038208, -1.9780901670455933, -1.6682442426681519, -1.6950263977050781, -1.4690604209899902, -1.100987434387207, -1.2254787683486938, -1.1419585943222046, -0.27231645584106445, -1.0858503580093384, -0.20882713794708252, 0.12859201431274414, -0.05523480474948883, -0.1086905300617218, -0.4832068085670471, 0.03342776000499725, 0.4579659402370453, 0.27973681688308716, 0.713428258895874, 1.5559577941894531, 2.1260905265808105, 1.6211692094802856, 1.3202615976333618, 1.666908621788025, 1.5026227235794067, 2.7434630393981934, 2.676372528076172, 2.866971969604492]","[-2.05936861038208, -1.9780901670455933, -1.6682442426681519, -1.6950263977050781, -1.4690604209899902, -1.100987434387207, -1.2254787683486938, -1.1419585943222046, -0.27231645584106445, -1.0858503580093384, -0.20882713794708252, 0.12859201431274414, -0.05523480474948883, -0.1086905300617218, -0.4832068085670471, 0.03342776000499725, 0.4579659402370453, 0.27973681688308716, 0.713428258895874, 1.5559577941894531, 2.1260905265808105, 1.6211692094802856, 1.3202615976333618, 1.666908621788025, 1.5026227235794067, 2.7434630393981934, 2.676372528076172, 2.866971969604492]","[0.001376204309053719, 0.001492731156758964, 0.0020349137485027313, 0.0019811377860605717, 0.002483421703800559, 0.003588414052501321, 0.0031683756969869137, 0.0034443631302565336, 0.008218447677791119, 0.003643145551905036, 0.00875715259462595, 0.012271626852452755, 0.010210971347987652, 0.009679471142590046, 0.006655815988779068, 0.01115765143185854, 0.017058756202459335, 0.014273924753069878, 0.022023851051926613, 0.05114452913403511, 0.09044919162988663, 0.05459088832139969, 0.040405236184597015, 0.057145822793245316, 0.048488203436136246, 0.16769734025001526, 0.1568155586719513, 0.18974284827709198]",27,,27,greedy_no_sampling
1,2,"[1.0, 0.7858735918998718, 0.6118251085281372, 0.3553605377674103, 0.2618909776210785, 0.12416132539510727, 0.07396519929170609, 0.0, 0.0, 0.10000000149011612, 0.20000000298023224, 0.4000000059604645, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0833333358168602, 0.5833333134651184, 0.25, 0.8333333134651184, 0.0, 0.5, 1.0, 0.3333333432674408, 0.03841191902756691, 0.4000000059604645, 0.3333333432674408]",0.99,"[-2.356334686279297, -2.2881479263305664, -1.9969900846481323, -2.0264453887939453, -1.8061476945877075, -1.456820011138916, -1.5628914833068848, -1.5038834810256958, -0.6668177843093872, -1.4533710479736328, -0.5972611308097839, -0.26397407054901123, -0.43866318464279175, -0.5091838240623474, -0.8781079053878784, -0.36732029914855957, 0.056783661246299744, -0.11025872826576233, 0.31173861026763916, 1.1787863969802856, 1.7897007465362549, 1.2466181516647339, 0.9293283224105835, 1.2953139543533325, 1.1204355955123901, 2.4476847648620605, 2.3763937950134277, 2.5725765228271484]","[-2.356334686279297, -2.2881479263305664, -1.9969900846481323, -2.0264453887939453, -1.8061476945877075, -1.456820011138916, -1.5628914833068848, -1.5038834810256958, -0.6668177843093872, -1.4533710479736328, -0.5972611308097839, -0.26397407054901123, -0.43866318464279175, -0.5091838240623474, -0.8781079053878784, -0.36732029914855957, 0.056783661246299744, -0.11025872826576233, 0.31173861026763916, 1.1787863969802856, 1.7897007465362549, 1.2466181516647339, 0.9293283224105835, 1.2953139543533325, 1.1204355955123901, 2.4476847648620605, 2.3763937950134277, 2.5725765228271484]","[0.0014266330981627107, 0.0015273037133738399, 0.0020434949547052383, 0.001984181348234415, 0.0024731787852942944, 0.0035072483588010073, 0.003154280362650752, 0.0033460096456110477, 0.0077278767712414265, 0.0035193657968193293, 0.008284536190330982, 0.011561465449631214, 0.009708371944725513, 0.009047314524650574, 0.006256017368286848, 0.010426300577819347, 0.0159336868673563, 0.013482506386935711, 0.02056088112294674, 0.04893232509493828, 0.09013896435499191, 0.052366651594638824, 0.03812918812036514, 0.05497979372739792, 0.046158790588378906, 0.17404894530773163, 0.1620727926492691, 0.1972019523382187]",27,,27,greedy_no_sampling
1,3,"[1.0, 0.7858735918998718, 0.6118251085281372, 0.3553605377674103, 0.2618909776210785, 0.12416132539510727, 0.07396519929170609, 0.0, 0.0, 0.10000000149011612, 0.20000000298023224, 0.4000000059604645, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21711479127407074, 0.2027089148759842, 0.0833333358168602, 0.5833333134651184, 0.25, 0.8333333134651184, 0.0, 0.5, 1.0, 0.3333333432674408, 0.41636982560157776, 0.04444444552063942, 1.0]",0.9999,"[-2.3818259239196777, -2.302544593811035, -2.033182144165039, -2.0345964431762695, -1.8371690511703491, -1.5595647096633911, -1.651009202003479, -1.5238021612167358, -0.6972460746765137, -1.478507161140442, -0.6332889795303345, -0.3741533160209656, -0.5423377752304077, -0.5302224159240723, -0.8911486864089966, -0.3943437933921814, -0.04095901548862457, -0.20903044939041138, 0.2998192012310028, 1.151598572731018, 1.6871801614761353, 1.1511269807815552, 0.9107397794723511, 1.2127569913864136, 1.0248457193374634, 2.366466999053955, 2.281893730163574, 2.516195297241211]","[-2.3818259239196777, -2.302544593811035, -2.033182144165039, -2.0345964431762695, -1.8371690511703491, -1.5595647096633911, -1.651009202003479, -1.5238021612167358, -0.6972460746765137, -1.478507161140442, -0.6332889795303345, -0.3741533160209656, -0.5423377752304077, -0.5302224159240723, -0.8911486864089966, -0.3943437933921814, -0.04095901548862457, -0.20903044939041138, 0.2998192012310028, 1.151598572731018, 1.6871801614761353, 1.1511269807815552, 0.9107397794723511, 1.2127569913864136, 1.0248457193374634, 2.366466999053955, 2.281893730163574, 2.516195297241211]","[0.0014959636610001326, 0.001619393820874393, 0.002119996352121234, 0.002117000287398696, 0.0025790659710764885, 0.003404274582862854, 0.0031067817471921444, 0.003528222441673279, 0.008063522167503834, 0.003691708669066429, 0.008596091531217098, 0.011138895526528358, 0.009414571337401867, 0.009529327042400837, 0.006642230786383152, 0.010916250757873058, 0.015543418936431408, 0.013138752430677414, 0.021854694932699203, 0.051223330199718475, 0.0875120609998703, 0.05119917541742325, 0.04025910794734955, 0.05445384234189987, 0.04512526094913483, 0.17261497676372528, 0.15861664712429047, 0.20049549639225006]",27,,27,greedy_no_sampling
1,4,"[1.0, 0.7858735918998718, 0.6118251085281372, 0.3553605377674103, 0.2618909776210785, 0.12416132539510727, 0.07396519929170609, 0.0, 0.0, 0.10000000149011612, 0.20000000298023224, 0.4000000059604645, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20201149582862854, 0.18703912198543549, 0.0833333358168602, 0.5833333134651184, 0.25, 0.8333333134651184, 0.0, 0.5, 1.0, 0.3333333432674408, 0.7478485107421875, 0.8222222328186035, 0.0]",0.9,"[-2.1441521644592285, -2.073546886444092, -1.7632380723953247, -1.8081010580062866, -1.5707485675811768, -1.2670570611953735, -1.386731743812561, -1.2678877115249634, -0.4234006404876709, -1.207568883895874, -0.349032998085022, -0.07860039174556732, -0.24969452619552612, -0.2672386169433594, -0.6327927112579346, -0.11784693598747253, 0.2331426441669464, 0.07291556149721146, 0.5384746789932251, 1.3843811750411987, 1.9048031568527222, 1.3999583721160889, 1.1467403173446655, 1.4231959581375122, 1.2779566049575806, 2.5237860679626465, 2.476499557495117, 2.679027557373047]","[-2.1441521644592285, -2.073546886444092, -1.7632380723953247, -1.8081010580062866, -1.5707485675811768, -1.2670570611953735, -1.386731743812561, -1.2678877115249634, -0.4234006404876709, -1.207568883895874, -0.349032998085022, -0.07860039174556732, -0.24969452619552612, -0.2672386169433594, -0.6327927112579346, -0.11784693598747253, 0.2331426441669464, 0.07291556149721146, 0.5384746789932251, 1.3843811750411987, 1.9048031568527222, 1.3999583721160889, 1.1467403173446655, 1.4231959581375122, 1.2779566049575806, 2.5237860679626465, 2.476499557495117, 2.679027557373047]","[0.0015457830158993602, 0.0016588687431067228, 0.0022624421399086714, 0.002163184806704521, 0.0027426769956946373, 0.003715918166562915, 0.0032967962324619293, 0.003712833160534501, 0.008638959378004074, 0.003943678457289934, 0.00930591206997633, 0.012195686809718609, 0.010277819819748402, 0.010099077597260475, 0.0070068626664578915, 0.0117263188585639, 0.016656912863254547, 0.014190862886607647, 0.02260468900203705, 0.05267094448208809, 0.08863137662410736, 0.053497835993766785, 0.041530292481184006, 0.054755549877882004, 0.047353435307741165, 0.16459186375141144, 0.15699003636837006, 0.19223341345787048]",27,,27,greedy_no_sampling
1,5,"[1.0, 0.7858735918998718, 0.6118251085281372, 0.3553605377674103, 0.2618909776210785, 0.12416132539510727, 0.07396519929170609, 0.0, 0.0, 0.10000000149011612, 0.20000000298023224, 0.4000000059604645, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4523598849773407, 0.17347295582294464, 0.0833333358168602, 0.5833333134651184, 0.25, 0.8333333134651184, 0.0, 0.5, 1.0, 0.3333333432674408, 0.5179276466369629, 0.02222222276031971, 0.6666666865348816]",0.999,"[-2.2500200271606445, -2.1708202362060547, -1.8801742792129517, -1.8949545621871948, -1.682661533355713, -1.455184817314148, -1.4885280132293701, -1.3624924421310425, -0.5100580453872681, -1.3118914365768433, -0.446813702583313, -0.25706541538238525, -0.34713947772979736, -0.3439629375934601, -0.7156868577003479, -0.205683171749115, 0.07063708454370499, -0.012634724378585815, 0.4876413345336914, 1.3414461612701416, 1.7891159057617188, 1.3496536016464233, 1.0999923944473267, 1.3022021055221558, 1.2239923477172852, 2.441366195678711, 2.4543843269348145, 2.5911598205566406]","[-2.2500200271606445, -2.1708202362060547, -1.8801742792129517, -1.8949545621871948, -1.682661533355713, -1.455184817314148, -1.4885280132293701, -1.3624924421310425, -0.5100580453872681, -1.3118914365768433, -0.446813702583313, -0.25706541538238525, -0.34713947772979736, -0.3439629375934601, -0.7156868577003479, -0.205683171749115, 0.07063708454370499, -0.012634724378585815, 0.4876413345336914, 1.3414461612701416, 1.7891159057617188, 1.3496536016464233, 1.0999923944473267, 1.3022021055221558, 1.2239923477172852, 2.441366195678711, 2.4543843269348145, 2.5911598205566406]","[0.0014985202578827739, 0.0016220292309299111, 0.0021691254805773497, 0.0021373003255575895, 0.002642794046550989, 0.003317837603390217, 0.0032090337481349707, 0.0036400798708200455, 0.008537260815501213, 0.0038290114607661963, 0.009094635024666786, 0.01099491585046053, 0.0100478520616889, 0.010079818777740002, 0.0069504850544035435, 0.011574622243642807, 0.015258477069437504, 0.014039340429008007, 0.02315335161983967, 0.05437716841697693, 0.08508188277482986, 0.054825298488140106, 0.04271245375275612, 0.052284520119428635, 0.04835117608308792, 0.16334497928619385, 0.16548533737659454, 0.1897406280040741]",27,,27,greedy_no_sampling
1,6,"[1.0, 0.7858735918998718, 0.6118251085281372, 0.3553605377674103, 0.2618909776210785, 0.12416132539510727, 0.07396519929170609, 0.0, 0.0, 0.10000000149011612, 0.20000000298023224, 0.4000000059604645, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36098501086235046, 0.3176112174987793, 0.0833333358168602, 0.5833333134651184, 0.25, 0.8333333134651184, 0.0, 0.5, 1.0, 0.3333333432674408, 0.27783748507499695, 0.8444444537162781, 0.3333333432674408]",0.99,"[-2.3978829383850098, -2.3318562507629395, -2.0418872833251953, -2.0759754180908203, -1.8535517454147339, -1.6108014583587646, -1.7101696729660034, -1.561939001083374, -0.7374646663665771, -1.5079039335250854, -0.6639392971992493, -0.45385801792144775, -0.610683798789978, -0.5807139277458191, -0.9441274404525757, -0.4369562268257141, -0.13776615262031555, -0.29169073700904846, 0.23404693603515625, 1.09651517868042, 1.5884078741073608, 1.0599504709243774, 0.8499716520309448, 1.0900040864944458, 0.9303765296936035, 2.25296688079834, 2.2016820907592773, 2.425187110900879]","[-2.3978829383850098, -2.3318562507629395, -2.0418872833251953, -2.0759754180908203, -1.8535517454147339, -1.6108014583587646, -1.7101696729660034, -1.561939001083374, -0.7374646663665771, -1.5079039335250854, -0.6639392971992493, -0.45385801792144775, -0.610683798789978, -0.5807139277458191, -0.9441274404525757, -0.4369562268257141, -0.13776615262031555, -0.29169073700904846, 0.23404693603515625, 1.09651517868042, 1.5884078741073608, 1.0599504709243774, 0.8499716520309448, 1.0900040864944458, 0.9303765296936035, 2.25296688079834, 2.2016820907592773, 2.425187110900879]","[0.0016077468171715736, 0.0017174838576465845, 0.002295221434906125, 0.0022183002438396215, 0.0027708793058991432, 0.0035321786999702454, 0.0031980678904801607, 0.003709056880325079, 0.008459176868200302, 0.003914989065378904, 0.009104578755795956, 0.011233031749725342, 0.009602587670087814, 0.00989473331719637, 0.006879796739667654, 0.011424502357840538, 0.015408980660140514, 0.013210682198405266, 0.022348597645759583, 0.052943844348192215, 0.08658481389284134, 0.05104293301701546, 0.04137547314167023, 0.05260023847222328, 0.04483966529369354, 0.16828912496566772, 0.1598760336637497, 0.1999172866344452]",27,,27,greedy_no_sampling
1,7,"[1.0, 0.7858735918998718, 0.6118251085281372, 0.3553605377674103, 0.2618909776210785, 0.12416132539510727, 0.07396519929170609, 0.0, 0.0, 0.10000000149011612, 0.20000000298023224, 0.4000000059604645, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5239608883857727, 0.2877376675605774, 0.0833333358168602, 0.5833333134651184, 0.25, 0.8333333134651184, 0.0, 0.5, 1.0, 0.3333333432674408, 0.41715526580810547, 0.5777778029441833, 0.0]",0.9,"[-2.183760643005371, -2.1134495735168457, -1.8048561811447144, -1.8460413217544556, -1.6116565465927124, -1.4053806066513062, -1.457795262336731, -1.3066632747650146, -0.4564857482910156, -1.2488290071487427, -0.38378292322158813, -0.22858870029449463, -0.32230302691459656, -0.3002999722957611, -0.6691803932189941, -0.15217456221580505, 0.08342944830656052, 0.00240972638130188, 0.5122572183609009, 1.368019461631775, 1.7818793058395386, 1.3403220176696777, 1.1260600090026855, 1.281623125076294, 1.2175525426864624, 2.409701347351074, 2.438014030456543, 2.5794482231140137]","[-2.183760643005371, -2.1134495735168457, -1.8048561811447144, -1.8460413217544556, -1.6116565465927124, -1.4053806066513062, -1.457795262336731, -1.3066632747650146, -0.4564857482910156, -1.2488290071487427, -0.38378292322158813, -0.22858870029449463, -0.32230302691459656, -0.3002999722957611, -0.6691803932189941, -0.15217456221580505, 0.08342944830656052, 0.00240972638130188, 0.5122572183609009, 1.368019461631775, 1.7818793058395386, 1.3403220176696777, 1.1260600090026855, 1.281623125076294, 1.2175525426864624, 2.409701347351074, 2.438014030456543, 2.5794482231140137]","[0.0016083490336313844, 0.0017255039419978857, 0.002349288435652852, 0.0022544984240084887, 0.0028499802574515343, 0.003502888837829232, 0.0033240155316889286, 0.003866329090669751, 0.009047450497746468, 0.004096528515219688, 0.009729727171361446, 0.011363200843334198, 0.010346679948270321, 0.010576862841844559, 0.007313985843211412, 0.012265547178685665, 0.015524168498814106, 0.014316009357571602, 0.023836687207221985, 0.05609172210097313, 0.0848468691110611, 0.05455944687128067, 0.04403693601489067, 0.05144904553890228, 0.048256054520606995, 0.15896278619766235, 0.16352777183055878, 0.1883716732263565]",27,,27,greedy_no_sampling
1,8,"[1.0, 0.7858735918998718, 0.6118251085281372, 0.3553605377674103, 0.2618909776210785, 0.12416132539510727, 0.07396519929170609, 0.0, 0.0, 0.10000000149011612, 0.20000000298023224, 0.4000000059604645, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.521014928817749, 0.2811223566532135, 0.0833333358168602, 0.5833333134651184, 0.25, 0.8333333134651184, 0.0, 0.5, 1.0, 0.3333333432674408, 0.24252745509147644, 0.3777777850627899, 1.0]",0.9999,"[-2.5121660232543945, -2.439281940460205, -2.1771955490112305, -2.182527542114258, -1.9864360094070435, -1.796671986579895, -1.82481050491333, -1.6850978136062622, -0.8759541511535645, -1.641616702079773, -0.8086615204811096, -0.6502315998077393, -0.7415369153022766, -0.7123187780380249, -1.0686525106430054, -0.5758626461029053, -0.32585981488227844, -0.414076566696167, 0.11400185525417328, 0.9744212627410889, 1.4214866161346436, 0.9489011168479919, 0.7293006181716919, 0.926274836063385, 0.8193334341049194, 2.1178722381591797, 2.112309217453003, 2.2846903800964355]","[-2.5121660232543945, -2.439281940460205, -2.1771955490112305, -2.182527542114258, -1.9864360094070435, -1.796671986579895, -1.82481050491333, -1.6850978136062622, -0.8759541511535645, -1.641616702079773, -0.8086615204811096, -0.6502315998077393, -0.7415369153022766, -0.7123187780380249, -1.0686525106430054, -0.5758626461029053, -0.32585981488227844, -0.414076566696167, 0.11400185525417328, 0.9744212627410889, 1.4214866161346436, 0.9489011168479919, 0.7293006181716919, 0.926274836063385, 0.8193334341049194, 2.1178722381591797, 2.112309217453003, 2.2846903800964355]","[0.001633455278351903, 0.0017569541232660413, 0.0022834057454019785, 0.002271263161674142, 0.00276330579072237, 0.0033407381270080805, 0.0032480445224791765, 0.0037350677885115147, 0.008388900198042393, 0.0039010541513562202, 0.008972839452326298, 0.010513204149901867, 0.009595812298357487, 0.00988031830638647, 0.0069185830652713776, 0.011324867606163025, 0.014541459269821644, 0.013313612900674343, 0.02257550321519375, 0.05337192863225937, 0.0834585577249527, 0.052027102559804916, 0.04176941141486168, 0.05086313188076019, 0.04570451378822327, 0.16745854914188385, 0.1665295660495758, 0.19785887002944946]",27,,27,greedy_no_sampling
1,9,"[1.0, 0.7858735918998718, 0.6118251085281372, 0.3553605377674103, 0.2618909776210785, 0.12416132539510727, 0.07396519929170609, 0.0, 0.0, 0.10000000149011612, 0.20000000298023224, 0.4000000059604645, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5854189395904541, 0.5411311388015747, 0.0833333358168602, 0.5833333134651184, 0.25, 0.8333333134651184, 0.0, 0.5, 1.0, 0.3333333432674408, 0.5459528565406799, 0.42222222685813904, 0.0]",0.9,"[-2.112161636352539, -2.038768768310547, -1.7256678342819214, -1.7657289505004883, -1.5302711725234985, -1.337534785270691, -1.450830101966858, -1.217398762702942, -0.35720813274383545, -1.159199833869934, -0.2865062654018402, -0.14994391798973083, -0.31278976798057556, -0.19966864585876465, -0.5710111856460571, -0.05157935619354248, 0.16217628121376038, 0.011916816234588623, 0.6146447658538818, 1.4668951034545898, 1.8523609638214111, 1.3439700603485107, 1.2270387411117554, 1.3533657789230347, 1.2215598821640015, 2.469918727874756, 2.4337687492370605, 2.6697731018066406]","[-2.112161636352539, -2.038768768310547, -1.7256678342819214, -1.7657289505004883, -1.5302711725234985, -1.337534785270691, -1.450830101966858, -1.217398762702942, -0.35720813274383545, -1.159199833869934, -0.2865062654018402, -0.14994391798973083, -0.31278976798057556, -0.19966864585876465, -0.5710111856460571, -0.05157935619354248, 0.16217628121376038, 0.011916816234588623, 0.6146447658538818, 1.4668951034545898, 1.8523609638214111, 1.3439700603485107, 1.2270387411117554, 1.3533657789230347, 1.2215598821640015, 2.469918727874756, 2.4337687492370605, 2.6697731018066406]","[0.001630064332857728, 0.0017541991546750069, 0.0023991470225155354, 0.0023049344308674335, 0.002916867146268487, 0.0035368844401091337, 0.003158038714900613, 0.003988369833678007, 0.009426952339708805, 0.004227376077324152, 0.010117584839463234, 0.011598054319620132, 0.009855124168097973, 0.011035447008907795, 0.007612335961312056, 0.012796883471310139, 0.01584664173424244, 0.013635790906846523, 0.024913903325796127, 0.058421049267053604, 0.08589641749858856, 0.051663484424352646, 0.04596222564578056, 0.052151184529066086, 0.04571109637618065, 0.159285768866539, 0.15363042056560516, 0.19452375173568726]",27,,27,greedy_no_sampling
1,10,"[1.0, 0.7858735918998718, 0.6118251085281372, 0.3553605377674103, 0.2618909776210785, 0.12416132539510727, 0.07396519929170609, 0.0, 0.0, 0.10000000149011612, 0.20000000298023224, 0.4000000059604645, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5753223299980164, 0.5287298560142517, 0.0833333358168602, 0.5833333134651184, 0.25, 0.8333333134651184, 0.0, 0.5, 1.0, 0.3333333432674408, 0.4421493709087372, 0.13333334028720856, 0.6666666865348816]",0.999,"[-2.3022279739379883, -2.2254390716552734, -1.9372719526290894, -1.9534190893173218, -1.741361141204834, -1.549414038658142, -1.6470563411712646, -1.4254190921783447, -0.5778471231460571, -1.375426173210144, -0.513247013092041, -0.36514854431152344, -0.5273826122283936, -0.4125850200653076, -0.7836300134658813, -0.27393001317977905, -0.04014018177986145, -0.19834667444229126, 0.41964155435562134, 1.278558373451233, 1.6883987188339233, 1.1619497537612915, 1.0348163843154907, 1.1927183866500854, 1.0316370725631714, 2.3476414680480957, 2.2876009941101074, 2.5359745025634766]","[-2.3022279739379883, -2.2254390716552734, -1.9372719526290894, -1.9534190893173218, -1.741361141204834, -1.549414038658142, -1.6470563411712646, -1.4254190921783447, -0.5778471231460571, -1.375426173210144, -0.513247013092041, -0.36514854431152344, -0.5273826122283936, -0.4125850200653076, -0.7836300134658813, -0.27393001317977905, -0.04014018177986145, -0.19834667444229126, 0.41964155435562134, 1.278558373451233, 1.6883987188339233, 1.1619497537612915, 1.0348163843154907, 1.1927183866500854, 1.0316370725631714, 2.3476414680480957, 2.2876009941101074, 2.5359745025634766]","[0.0015816413797438145, 0.001707878545857966, 0.0022782760206609964, 0.0022417837753891945, 0.0027713372837752104, 0.0033577692229300737, 0.0030454066582024097, 0.0038010296411812305, 0.008871501311659813, 0.003995883744210005, 0.009463516995310783, 0.010974150151014328, 0.009330685250461102, 0.010465729050338268, 0.00722148921340704, 0.012022272683680058, 0.015188687480986118, 0.012966180220246315, 0.0240547526627779, 0.056783705949783325, 0.08554904162883759, 0.0505337193608284, 0.04450081288814545, 0.05211274325847626, 0.04435955733060837, 0.16539433598518372, 0.15575620532035828, 0.19966991245746613]",27,,27,greedy_no_sampling
