Episode,Rolling_Reward,Episode_Reward,Rolling_Delay
1,7212.622760851094,7212.622760851094,560.52899998157
2,8538.824777019534,9865.026793187972,614.4214259708426
3,9123.991081951763,10294.32369181622,598.0648734340317
4,9116.016451555226,9092.092560365612,622.6301181727279
5,8757.484554503259,7323.356966295386,653.1659684196009
6,8703.997586054209,8436.562743808958,692.8160958711669
7,8774.085525687982,9194.613163490625,706.2885927930677
8,8667.82502237736,7924.001499203013,727.6412452981663
9,8785.774714089719,9729.372247788611,709.5839361537159
10,8847.134945877242,9399.377031964952,711.1724199773685
11,8574.712621644843,5850.489379320848,711.795165580774
12,8533.52462828403,8080.45670131509,698.5320235759636
13,8626.615836750523,9743.710338348441,685.2507952983609
14,8643.92247754482,8868.90880787069,692.683806406287
15,8732.417940078984,9971.35441555728,689.2567474198753
16,8860.133385453872,10775.865066077164,679.7538105064439
17,8809.505347221193,7999.456735498331,676.5285550273832
18,8853.774523359052,9606.350517702667,676.2220824012209
19,8815.611960451537,8128.685828116254,674.6194503879245
20,8776.85034677401,8040.37968690099,671.7203775877249
