policy_mode,action_seed,R_req,tasks,pair_78_fraction,mean_task_delay,mean_task_reward,reliability_satisfaction_rate
greedy,,all,4000,0.99875,3.3586018879386237,43.884251733870045,0.92275
greedy,,0.9,1000,0.998,3.481936446192435,45.672092403873705,1.0
greedy,,0.99,1000,0.999,3.009807732910934,53.57168886963811,1.0
greedy,,0.999,1000,0.998,3.1894673338442034,48.85160948843522,0.989
greedy,,0.9999,1000,1.0,3.7531960388069248,27.44161617353314,0.702
sampled,2026.0,all,4000,0.191,1.9836842919010877,53.69004995578213,0.845
sampled,2026.0,0.9,1000,0.188,2.102413320703602,60.556671015109494,1.0
sampled,2026.0,0.99,1000,0.193,1.8688283711137055,67.04698481641212,0.997
sampled,2026.0,0.999,1000,0.195,1.8932573566476623,60.523190320739694,0.902
sampled,2026.0,0.9999,1000,0.188,2.070238119139382,26.63335367086719,0.481
sampled,2027.0,all,4000,0.193,1.9981210514825924,53.74616227698678,0.84725
sampled,2027.0,0.9,1000,0.199,2.114740630663804,60.44580697548637,1.0
sampled,2027.0,0.99,1000,0.181,1.8800778461441645,66.66340813113382,0.995
sampled,2027.0,0.999,1000,0.201,1.917784156324006,61.031678259695795,0.912
sampled,2027.0,0.9999,1000,0.191,2.079881572798396,26.843755741631146,0.482
sampled,2028.0,all,4000,0.21125,1.9869703699768124,53.85906942419002,0.84925
sampled,2028.0,0.9,1000,0.215,2.0908808502869207,60.8050644172113,1.0
sampled,2028.0,0.99,1000,0.219,1.8655140287668035,66.95449137699376,0.998
sampled,2028.0,0.999,1000,0.216,1.899589545483669,61.67944630694794,0.918
sampled,2028.0,0.9999,1000,0.195,2.091897055369857,25.99727559560712,0.481
