Episode,Task_ID,R_req,optimal_set_size,optimal_set_probability_mass
1,1,0.99,7,0.23814129270613194
1,3,0.9999,4,0.3933712048456073
1,4,0.9,7,0.43955804500728846
1,5,0.999,7,0.23822390637360513
1,15,0.999,7,0.4476458244025707
1,17,0.99,7,0.5410772538743913
1,18,0.9,7,0.5348711286205798
1,24,0.9,7,0.48256827937439084
1,25,0.9999,1,0.17085781693458557
1,33,0.99,7,0.5428611310198903
1,42,0.99,7,0.48389921500347555
1,46,0.9999,1,0.1726265251636505
1,47,0.9,7,0.4430202746298164
1,48,0.999,4,0.38979155011475086
1,55,0.99,6,0.4750328725203872
1,60,0.999,4,0.480496721342206
1,64,0.99,7,0.44617609423585236
1,68,0.99,7,0.44304894702509046
1,73,0.9999,1,0.1764306128025055
1,74,0.9,7,0.4361590400803834
1,75,0.999,4,0.39317104779183865
1,87,0.9999,1,0.17382073402404785
1,93,0.999,1,0.17229771614074707
1,96,0.9,7,0.43970839865505695
1,98,0.9999,4,0.20355711970478296
1,103,0.99,4,0.42524292320013046
1,106,0.9,7,0.539318566210568
1,110,0.9999,1,0.16917437314987183
1,119,0.9999,1,0.17644429206848145
1,122,0.99,7,0.4454995503183454
1,124,0.9,7,0.4461535378359258
1,125,0.999,3,0.38153254985809326
1,135,0.999,2,0.3634924590587616
1,142,0.99,7,0.2469156002625823
1,145,0.9,7,0.44599207071587443
1,146,0.999,2,0.3270731121301651
1,154,0.9999,1,0.17611637711524963
1,155,0.999,4,0.39459117129445076
1,156,0.99,4,0.42548916302621365
1,163,0.9,7,0.5362010076642036
1,167,0.9999,1,0.17576593160629272
1,170,0.999,4,0.39525771886110306
1,178,0.9,7,0.5355142212938517
1,179,0.99,4,0.4234656039625406
1,186,0.9,7,0.4392722563352436
1,187,0.9999,3,0.3843286968767643
1,195,0.99,7,0.44538806984201074
1,197,0.999,4,0.3913207594305277
1,199,0.9,7,0.44035006524063647
1,200,0.9999,1,0.16874189674854279
2,1,0.99,7,0.5379540000576526
2,3,0.9999,6,0.4338319005910307
2,4,0.9,7,0.47971548163332045
2,5,0.999,7,0.545245009008795
2,15,0.999,7,0.4451225169468671
2,17,0.99,7,0.5410772538743913
2,18,0.9,7,0.5348314521834254
2,24,0.9,7,0.44555737311020494
2,25,0.9999,1,0.16033175587654114
2,33,0.99,7,0.4465214197989553
2,42,0.99,7,0.48389921500347555
2,46,0.9999,1,0.20319853723049164
2,47,0.9,7,0.442246884573251
2,48,0.999,6,0.4296174750197679
2,55,0.99,7,0.439497274113819
2,60,0.999,6,0.43686458212323487
2,64,0.99,7,0.5451441556215286
2,68,0.99,7,0.5423198014032096
2,73,0.9999,6,0.4735578200779855
2,74,0.9,7,0.43651521974243224
2,75,0.999,7,0.5451968377456069
2,87,0.9999,1,0.1589050590991974
2,93,0.999,6,0.5297095256391913
2,96,0.9,7,0.43974613631144166
2,98,0.9999,7,0.23607048718258739
2,103,0.99,7,0.4462751552928239
2,106,0.9,7,0.4456705218181014
2,110,0.9999,2,0.3196248263120651
2,119,0.9999,1,0.157819926738739
2,122,0.99,7,0.4473948450759053
2,124,0.9,7,0.4468800947070122
2,125,0.999,6,0.44214200717397034
2,135,0.999,7,0.4857368210796267
2,142,0.99,7,0.5357975729275495
2,145,0.9,7,0.48278503911569715
2,146,0.999,6,0.43395021720789373
2,154,0.9999,2,0.3314030170440674
2,155,0.999,6,0.4365741645451635
2,156,0.99,7,0.4458891157992184
2,163,0.9,7,0.5362010076642036
2,167,0.9999,1,0.2026614397764206
2,170,0.999,7,0.48565173521637917
2,178,0.9,7,0.5367145140189677
2,179,0.99,7,0.4833840394858271
2,186,0.9,7,0.5340349527541548
2,187,0.9999,6,0.5362264465074986
2,195,0.99,7,0.45302952034398913
2,197,0.999,7,0.5486609821673483
2,199,0.9,7,0.44498708937317133
2,200,0.9999,1,0.2049686163663864
3,1,0.99,7,0.5379540000576526
3,3,0.9999,7,0.44470069627277553
3,4,0.9,7,0.47971548163332045
3,5,0.999,7,0.23490665829740465
3,15,0.999,7,0.44590347819030285
3,17,0.99,7,0.4420193023979664
3,18,0.9,7,0.4397064046934247
3,24,0.9,7,0.48256827937439084
3,25,0.9999,3,0.4290958307683468
3,33,0.99,7,0.5428611310198903
3,42,0.99,7,0.48389921500347555
3,46,0.9999,3,0.41048621758818626
3,47,0.9,7,0.48118877271190286
3,48,0.999,7,0.4486953020095825
3,55,0.99,7,0.4435800174251199
3,60,0.999,7,0.550522947916761
3,64,0.99,7,0.5450346430297941
3,68,0.99,7,0.4807534634601325
3,73,0.9999,7,0.48662168020382524
3,74,0.9,7,0.5311409644782543
3,75,0.999,7,0.5451968377456069
3,87,0.9999,3,0.3743656389415264
3,93,0.999,7,0.5472393278032541
3,96,0.9,7,0.4791600853204727
3,98,0.9999,7,0.5411781491711736
3,103,0.99,7,0.45043855160474777
3,106,0.9,7,0.4418457201682031
3,110,0.9999,5,0.4348292136564851
3,119,0.9999,1,0.15848706662654877
3,122,0.99,7,0.44606158579699695
3,124,0.9,7,0.44623288977891207
3,125,0.999,7,0.5471398057416081
3,135,0.999,7,0.44749459880404174
3,142,0.99,7,0.24194088228978217
3,145,0.9,7,0.4805467720143497
3,146,0.999,7,0.4863071469590068
3,154,0.9999,3,0.3751506805419922
3,155,0.999,7,0.4866512082517147
3,156,0.99,7,0.48504709429107606
3,163,0.9,7,0.5362821486778557
3,167,0.9999,2,0.3263552337884903
3,170,0.999,7,0.48565173521637917
3,178,0.9,7,0.4411461560521275
3,179,0.99,7,0.44465345493517816
3,186,0.9,7,0.44098810898140073
3,187,0.9999,7,0.44829358672723174
3,195,0.99,7,0.44892516755498946
3,197,0.999,7,0.45003086561337113
3,199,0.9,7,0.4421625470276922
3,200,0.9999,2,0.336273655295372
4,1,0.99,7,0.5379540000576526
4,3,0.9999,7,0.5502560143359005
4,4,0.9,7,0.47971548163332045
4,5,0.999,7,0.23708727210760117
4,15,0.999,7,0.44617344881407917
4,17,0.99,7,0.4440598750952631
4,18,0.9,7,0.43987709493376315
4,24,0.9,7,0.4456668058410287
4,25,0.9999,4,0.38919144682586193
4,33,0.99,7,0.4462683363817632
4,42,0.99,7,0.4452092556748539
4,46,0.9999,4,0.42968751303851604
4,47,0.9,7,0.482579093426466
4,48,0.999,7,0.5442408316303045
4,55,0.99,7,0.47812416474334896
4,60,0.999,7,0.48583083413541317
4,64,0.99,7,0.44561982597224414
4,68,0.99,7,0.4439806065056473
4,73,0.9999,6,0.48266752250492573
4,74,0.9,7,0.4371461614500731
4,75,0.999,7,0.540585647104308
4,87,0.9999,4,0.3938248651102185
4,93,0.999,6,0.5436781262978911
4,96,0.9,7,0.43970726639963686
4,98,0.9999,7,0.2366149015724659
4,103,0.99,7,0.48324442305602133
4,106,0.9,7,0.4433929738588631
4,110,0.9999,5,0.4364698501303792
4,119,0.9999,4,0.4312856001779437
4,122,0.99,7,0.5445294361561537
4,124,0.9,7,0.44361919118091464
4,125,0.999,7,0.4439387950114906
4,135,0.999,7,0.4520953909959644
4,142,0.99,7,0.24424684094265103
4,145,0.9,7,0.44479336286894977
4,146,0.999,7,0.44740817160345614
4,154,0.9999,4,0.39423585031181574
4,155,0.999,7,0.45083287614397705
4,156,0.99,7,0.4451737601775676
4,163,0.9,7,0.5362010076642036
4,167,0.9999,4,0.39437819458544254
4,170,0.999,7,0.44998806063085794
4,178,0.9,7,0.5355142212938517
4,179,0.99,7,0.4806851642206311
4,186,0.9,7,0.4404971175827086
4,187,0.9999,7,0.4477244720328599
4,195,0.99,7,0.4901148939970881
4,197,0.999,7,0.4513873918913305
4,199,0.9,7,0.4390314482152462
4,200,0.9999,4,0.43003639951348305
5,1,0.99,7,0.5379540000576526
5,3,0.9999,7,0.44425539462827146
5,4,0.9,7,0.4791177907027304
5,5,0.999,7,0.5424732209648937
5,15,0.999,7,0.4478258278686553
5,17,0.99,7,0.5404516654089093
5,18,0.9,7,0.5348314521834254
5,24,0.9,7,0.48256827937439084
5,25,0.9999,1,0.1602489948272705
5,33,0.99,7,0.5428611310198903
5,42,0.99,7,0.4843281586654484
5,46,0.9999,1,0.1617799550294876
5,47,0.9,7,0.44430243503302336
5,48,0.999,7,0.4448074488900602
5,55,0.99,7,0.439497274113819
5,60,0.999,7,0.4840668002143502
5,64,0.99,7,0.5450346430297941
5,68,0.99,7,0.5423198014032096
5,73,0.9999,2,0.3649497479200363
5,74,0.9,7,0.5311409644782543
5,75,0.999,6,0.5334638506174088
5,87,0.9999,1,0.16073115170001984
5,93,0.999,4,0.4203095845878124
5,96,0.9,7,0.44009774015285075
5,98,0.9999,5,0.21903311391361058
5,103,0.99,7,0.4442877755500376
5,106,0.9,7,0.539318566210568
5,110,0.9999,2,0.32543180882930756
5,119,0.9999,1,0.15718945860862732
5,122,0.99,7,0.44666016288101673
5,124,0.9,7,0.4459293147083372
5,125,0.999,5,0.4251443105749786
5,135,0.999,5,0.4280193436425179
5,142,0.99,7,0.2496460524853319
5,145,0.9,7,0.44641222176142037
5,146,0.999,5,0.4271058377344161
5,154,0.9999,1,0.17986929416656494
5,155,0.999,6,0.48995416425168514
5,156,0.99,7,0.49880433245562017
5,163,0.9,7,0.5360590724740177
5,167,0.9999,1,0.15950073301792145
5,170,0.999,7,0.4487583162263036
5,178,0.9,7,0.44125247304327786
5,179,0.99,7,0.4451841914560646
5,186,0.9,7,0.44147362490184605
5,187,0.9999,5,0.42805465473793447
5,195,0.99,7,0.4909853402059525
5,197,0.999,6,0.47936033527366817
5,199,0.9,7,0.5328043100889772
5,200,0.9999,1,0.1624201536178589
6,1,0.99,7,0.5379540000576526
6,3,0.9999,7,0.5502560143359005
6,4,0.9,7,0.47971548163332045
6,5,0.999,7,0.5460036280564964
6,15,0.999,7,0.4467567258980125
6,17,0.99,7,0.5410772538743913
6,18,0.9,7,0.5348314521834254
6,24,0.9,7,0.4447510140016675
6,25,0.9999,5,0.4348333338275552
6,33,0.99,7,0.5400987300090492
6,42,0.99,7,0.4445390314795077
6,46,0.9999,5,0.4348061503842473
6,47,0.9,7,0.4824586622416973
6,48,0.999,7,0.4437240504194051
6,55,0.99,7,0.4438117470126599
6,60,0.999,7,0.4872843394987285
6,64,0.99,7,0.5450346430297941
6,68,0.99,7,0.44097451982088387
6,73,0.9999,7,0.48662168020382524
6,74,0.9,7,0.5311409644782543
6,75,0.999,7,0.5453891505021602
6,87,0.9999,6,0.43743557785637677
6,93,0.999,7,0.4455398181453347
6,96,0.9,7,0.4414284722879529
6,98,0.9999,7,0.2429885887540877
6,103,0.99,7,0.4475383304525167
6,106,0.9,7,0.4456851342692971
6,110,0.9999,7,0.4495363056194037
6,119,0.9999,5,0.4374479614198208
6,122,0.99,7,0.44755088933743536
6,124,0.9,7,0.4465125498827547
6,125,0.999,7,0.447799445129931
6,135,0.999,7,0.4517339472658932
6,142,0.99,7,0.24278626288287342
6,145,0.9,7,0.4427665665280074
6,146,0.999,7,0.5495109132025391
6,154,0.9999,6,0.4376952932216227
6,155,0.999,7,0.44762224424630404
6,156,0.99,7,0.44539526174776256
6,163,0.9,7,0.5362010076642036
6,167,0.9999,5,0.4350798483937979
6,170,0.999,7,0.48565173521637917
6,178,0.9,7,0.4790220975410193
6,179,0.99,7,0.4833840394858271
6,186,0.9,7,0.4391806696075946
6,187,0.9999,7,0.45207906258292496
6,195,0.99,7,0.4470200031064451
6,197,0.999,7,0.5486609821673483
6,199,0.9,7,0.4380471168551594
6,200,0.9999,5,0.439395010471344
7,1,0.99,7,0.5379540000576526
7,3,0.9999,7,0.4447436919435859
7,4,0.9,7,0.47971548163332045
7,5,0.999,7,0.2371260600630194
7,15,0.999,7,0.5497153946198523
7,17,0.99,7,0.5410772538743913
7,18,0.9,7,0.47510270890779793
7,24,0.9,7,0.44391596340574324
7,25,0.9999,4,0.3811802277341485
7,33,0.99,7,0.44216974591836333
7,42,0.99,7,0.48389921500347555
7,46,0.9999,5,0.4746129009872675
7,47,0.9,7,0.44982220395468175
7,48,0.999,7,0.5387495560571551
7,55,0.99,7,0.47829264611937106
7,60,0.999,7,0.550522947916761
7,64,0.99,7,0.48331670416519046
7,68,0.99,7,0.44612881261855364
7,73,0.9999,5,0.43583632353693247
7,74,0.9,7,0.5311409644782543
7,75,0.999,7,0.5451968377456069
7,87,0.9999,4,0.38203510269522667
7,93,0.999,7,0.4484303588978946
7,96,0.9,7,0.4428823497146368
7,98,0.9999,7,0.24281776323914528
7,103,0.99,7,0.44855507276952267
7,106,0.9,7,0.4459447453264147
7,110,0.9999,5,0.4355726754292846
7,119,0.9999,2,0.3238707035779953
7,122,0.99,7,0.4476720958482474
7,124,0.9,7,0.44758635060861707
7,125,0.999,7,0.44831744208931923
7,135,0.999,7,0.4521013933699578
7,142,0.99,7,0.24918137094937265
7,145,0.9,7,0.45492000691592693
7,146,0.999,7,0.45625829603523016
7,154,0.9999,5,0.4400842608883977
7,155,0.999,7,0.4527915958315134
7,156,0.99,7,0.4450209599453956
7,163,0.9,7,0.5362010076642036
7,167,0.9999,3,0.3709331825375557
7,170,0.999,7,0.44870071532204747
7,178,0.9,7,0.5355142212938517
7,179,0.99,7,0.4833840394858271
7,186,0.9,7,0.5340349527541548
7,187,0.9999,7,0.5513925994746387
7,195,0.99,7,0.4844658246729523
7,197,0.999,7,0.4458162053488195
7,199,0.9,7,0.43973899469710886
7,200,0.9999,3,0.3747471794486046
8,1,0.99,7,0.5379540000576526
8,3,0.9999,3,0.3828592486679554
8,4,0.9,7,0.47971548163332045
8,5,0.999,7,0.5460036280564964
8,15,0.999,7,0.48757254844531417
8,17,0.99,7,0.4411947466433048
8,18,0.9,7,0.4773141439072788
8,24,0.9,7,0.4443799783475697
8,25,0.9999,1,0.05105621740221977
8,33,0.99,7,0.48392942128703
8,42,0.99,7,0.48561335541307926
8,46,0.9999,1,0.05079245939850807
8,47,0.9,7,0.4815332144498825
8,48,0.999,3,0.3787928596138954
8,55,0.99,7,0.4409226414281875
8,60,0.999,3,0.37985965237021446
8,64,0.99,7,0.4463658342137933
8,68,0.99,7,0.485729455947876
8,73,0.9999,1,0.16177600622177124
8,74,0.9,7,0.4374829772859812
8,75,0.999,3,0.3795626312494278
8,87,0.9999,1,0.051307741552591324
8,93,0.999,2,0.21499141305685043
8,96,0.9,7,0.44153286260552704
8,98,0.9999,7,0.2437985495198518
8,103,0.99,7,0.44758609333075583
8,106,0.9,7,0.44626850355416536
8,110,0.9999,2,0.13310403376817703
8,119,0.9999,1,0.04816557839512825
8,122,0.99,7,0.44777722633443773
8,124,0.9,7,0.4467452275566757
8,125,0.999,3,0.3745444677770138
8,135,0.999,7,0.4864289832767099
8,142,0.99,7,0.24475239869207144
8,145,0.9,7,0.4820610065944493
8,146,0.999,3,0.38846786692738533
8,154,0.9999,1,0.051901791244745255
8,155,0.999,3,0.3813123106956482
8,156,0.99,7,0.4467104310169816
8,163,0.9,7,0.44092467706650496
8,167,0.9999,1,0.04948120936751366
8,170,0.999,7,0.48565173521637917
8,178,0.9,7,0.44128388329409063
8,179,0.99,7,0.4849060717970133
8,186,0.9,7,0.5337327599991113
8,187,0.9999,3,0.466241791844368
8,195,0.99,7,0.48431806010194123
8,197,0.999,3,0.37821683287620544
8,199,0.9,7,0.4400908062234521
8,200,0.9999,1,0.04901048541069031
9,1,0.99,7,0.5379540000576526
9,3,0.9999,6,0.5468218456953764
9,4,0.9,7,0.477508275071159
9,5,0.999,7,0.23522713873535395
9,15,0.999,7,0.5497153946198523
9,17,0.99,7,0.4797287911642343
9,18,0.9,7,0.534095934825018
9,24,0.9,7,0.48256827937439084
9,25,0.9999,1,0.20033541321754456
9,33,0.99,7,0.44256892311386764
9,42,0.99,7,0.4837838944513351
9,46,0.9999,1,0.20431764423847198
9,47,0.9,7,0.4484707380179316
9,48,0.999,5,0.42925291508436203
9,55,0.99,7,0.44160318234935403
9,60,0.999,4,0.42463089153170586
9,64,0.99,7,0.5450346430297941
9,68,0.99,7,0.4422870085109025
9,73,0.9999,2,0.335798978805542
9,74,0.9,7,0.4377759057097137
9,75,0.999,6,0.536766198463738
9,87,0.9999,1,0.15661336481571198
9,93,0.999,2,0.32074929773807526
9,96,0.9,7,0.44193344633094966
9,98,0.9999,4,0.21807661652565002
9,103,0.99,6,0.44628362357616425
9,106,0.9,7,0.44609984452836215
9,110,0.9999,1,0.16430453956127167
9,119,0.9999,1,0.19398432970046997
9,122,0.99,7,0.4519671236630529
9,124,0.9,7,0.44889649958349764
9,125,0.999,4,0.42399924993515015
9,135,0.999,3,0.3738689571619034
9,142,0.99,7,0.5357975729275495
9,145,0.9,7,0.48083657235838473
9,146,0.999,4,0.5186943039298058
9,154,0.9999,1,0.16116037964820862
9,155,0.999,6,0.48314260598272085
9,156,0.99,7,0.4443406986538321
9,163,0.9,7,0.4399841723497957
9,167,0.9999,1,0.15809664130210876
9,170,0.999,5,0.43463606107980013
9,178,0.9,7,0.5355142212938517
9,179,0.99,7,0.4429833749309182
9,186,0.9,7,0.47630690736696124
9,187,0.9999,4,0.42952242121100426
9,195,0.99,7,0.44509965856559575
9,197,0.999,4,0.4222078174352646
9,199,0.9,7,0.5328043100889772
9,200,0.9999,1,0.20360852777957916
10,1,0.99,7,0.5379540000576526
10,3,0.9999,5,0.4311099601909518
10,4,0.9,7,0.4391480037011206
10,5,0.999,7,0.23505888762883842
10,15,0.999,7,0.5497153946198523
10,17,0.99,7,0.4797287911642343
10,18,0.9,7,0.5348314521834254
10,24,0.9,7,0.48256827937439084
10,25,0.9999,1,0.20033541321754456
10,33,0.99,7,0.5412218833807856
10,42,0.99,7,0.4837009138427675
10,46,0.9999,1,0.20337435603141785
10,47,0.9,7,0.482579093426466
10,48,0.999,5,0.4285097438842058
10,55,0.99,7,0.5406886141281575
10,60,0.999,5,0.433419082313776
10,64,0.99,7,0.4466179620940238
10,68,0.99,7,0.44097451982088387
10,73,0.9999,3,0.29850848764181137
10,74,0.9,7,0.4372819261625409
10,75,0.999,7,0.5415070736780763
10,87,0.9999,1,0.08447813242673874
10,93,0.999,2,0.32905712723731995
10,96,0.9,7,0.4410655729006976
10,98,0.9999,6,0.23986424040049314
10,103,0.99,5,0.43136566039174795
10,106,0.9,7,0.44524631137028337
10,110,0.9999,2,0.13277173787355423
10,119,0.9999,1,0.0815260037779808
10,122,0.99,7,0.4492266899906099
10,124,0.9,7,0.4482695716433227
10,125,0.999,5,0.4781760722398758
10,135,0.999,5,0.4701341176405549
10,142,0.99,7,0.5289033283479512
10,145,0.9,7,0.4820610065944493
10,146,0.999,5,0.5284132836386561
10,154,0.9999,2,0.1353227235376835
10,155,0.999,5,0.43485181126743555
10,156,0.99,6,0.44379291497170925
10,163,0.9,7,0.4386714342981577
10,167,0.9999,1,0.20266708731651306
10,170,0.999,5,0.4330612486228347
10,178,0.9,7,0.5355142212938517
10,179,0.99,7,0.4833840394858271
10,186,0.9,7,0.4401205596514046
10,187,0.9999,4,0.4242689050734043
10,195,0.99,7,0.4455133657902479
10,197,0.999,4,0.42957495898008347
10,199,0.9,7,0.5328043100889772
10,200,0.9999,1,0.20360852777957916
11,1,0.99,7,0.5379540000576526
11,3,0.9999,5,0.2626890102401376
11,4,0.9,7,0.47971548163332045
11,5,0.999,7,0.23405704484321177
11,15,0.999,7,0.44780603842809796
11,17,0.99,7,0.4448361301328987
11,18,0.9,7,0.48249012092128396
11,24,0.9,7,0.44528455450199544
11,25,0.9999,1,0.05037838593125343
11,33,0.99,7,0.44260638882406056
11,42,0.99,7,0.48389921500347555
11,46,0.9999,1,0.051110219210386276
11,47,0.9,7,0.45013606338761747
11,48,0.999,5,0.27014857763424516
11,55,0.99,7,0.5406886141281575
11,60,0.999,5,0.2701231366954744
11,64,0.99,7,0.4463241994380951
11,68,0.99,7,0.44521858682855964
11,73,0.9999,3,0.08135087881237268
11,74,0.9,7,0.4384171024430543
11,75,0.999,5,0.27031811513006687
11,87,0.9999,1,0.052775412797927856
11,93,0.999,5,0.17331048636697233
