Episode,sampled_78_frequency,greedy_78_frequency,mean_78_probability,mean_78_advantage_when_selected,positive_78_advantage_fraction
1,0.02,0.0,0.03806996017694473,-0.23310190811753273,0.75
2,0.04,0.0,0.03820504110306502,0.9582331664860249,0.875
3,0.03,0.0,0.038297455310821536,0.21321429405361417,0.5
4,0.045,0.0,0.03841092662885785,0.5236685895878408,0.6666666666666666
5,0.055,0.01,0.038471577670425174,0.006040684370832009,0.5454545454545454
6,0.03,0.01,0.038612020816653964,0.6131181592742602,1.0
7,0.04,0.0,0.038676283415406944,0.3283355347812176,0.75
8,0.02,0.01,0.03884449746459723,0.2599630802869796,0.75
9,0.055,0.01,0.03893732130527496,0.44684203307737,0.6363636363636364
10,0.015,0.0,0.039221511632204054,0.3189616352319717,0.6666666666666666
11,0.015,0.005,0.03936480320990086,0.22965412338574728,0.6666666666666666
12,0.05,0.0,0.03955201832577586,0.016038241982460014,0.5
13,0.035,0.015,0.039567453507334,0.5054567235388926,0.42857142857142855
14,0.05,0.0,0.03965216023847461,-0.043428176641464235,0.5
15,0.045,0.005,0.03959885761141777,0.31050576145450276,0.5555555555555556
16,0.01,0.0,0.03962400963529945,-0.37316732108592987,0.0
17,0.055,0.0,0.03964578146114946,-0.289886164394292,0.36363636363636365
18,0.025,0.0,0.039701829049736265,0.39116335809230807,0.8
19,0.03,0.005,0.03975447548553348,0.1828744305918614,0.5
20,0.02,0.0,0.03992168670520187,0.14871986955404282,0.5
21,0.065,0.0,0.03997595896944404,0.022703630849719048,0.46153846153846156
22,0.04,0.0,0.040114628579467536,0.11186062183696777,0.5
23,0.035,0.005,0.0404565423540771,-0.29450683881129536,0.42857142857142855
24,0.045,0.0,0.04070375680923462,0.7853424814012315,0.7777777777777778
25,0.06,0.01,0.040950488448143,0.3013096222033103,0.75
26,0.03,0.005,0.04135456440970302,-0.2977297723603745,0.5
27,0.06,0.0,0.041626218631863596,0.16344096759955093,0.4166666666666667
28,0.03,0.01,0.04182065760716796,0.46791305641333264,0.6666666666666666
29,0.03,0.0,0.041917679719626906,0.17351695895195007,0.5
