action_index,pair,sampled_count,greedy_count,mean_probability,mean_probability_when_selected,mean_normalized_advantage_when_selected,positive_advantage_fraction_when_selected,mean_oracle_regret_replayed_subset
0,"(1, 2)",811,0,0.013382923324701066,0.023506379100200106,-0.29344328660347113,0.406905055487053,41.68970899613643
1,"(1, 3)",852,0,0.014116483409012047,0.023944258158632988,-0.2658995763503098,0.3931924882629108,50.228865616731206
2,"(1, 4)",809,0,0.013745215570096237,0.021944630490466306,-0.15454249540425904,0.4437577255871446,31.350812816044474
3,"(1, 5)",838,0,0.014943841442112655,0.023092938217263322,-0.15324293679420486,0.43556085918854415,41.41232840773748
4,"(1, 6)",926,0,0.0148985476602839,0.0224464971858296,-0.09188449340942868,0.4557235421166307,24.620256774758595
5,"(1, 7)",970,0,0.015326728426866854,0.021514858798719175,-0.032605184688588085,0.4824742268041237,21.351553080507582
6,"(1, 8)",949,0,0.016204243278569386,0.023037084068924393,-0.007635923072811534,0.48366701791359323,14.128996109679912
7,"(2, 3)",995,0,0.017392420614852258,0.024721542539206057,-0.24175157935473243,0.3969849246231156,36.08875608915667
8,"(2, 4)",1345,0,0.0224691731271334,0.02692867600113209,-0.1891995766835,0.428996282527881,31.85591514873546
9,"(2, 5)",980,0,0.016504572728908776,0.023251083365651036,-0.13548924277797317,0.44081632653061226,30.48864757309555
10,"(2, 6)",1395,0,0.02309353664657877,0.027037101012644588,-0.01125749691563081,0.4939068100358423,23.99578375501174
11,"(2, 7)",1465,0,0.02454459132626653,0.02745156237544053,0.03387586550788382,0.520136518771331,13.319645643091128
12,"(2, 8)",1458,0,0.023582137919977927,0.027174326115312113,0.042279931304176926,0.5150891632373114,14.46385732748129
13,"(3, 4)",1406,0,0.022770930405752732,0.0266243732576742,-0.16583418457596305,0.43812233285917496,29.909478278096643
14,"(3, 5)",1331,0,0.02109483146033405,0.026195610828969172,-0.18718146548355782,0.4192336589030804,37.654331595558936
15,"(3, 6)",1474,0,0.024707023057791714,0.02842168690727738,-0.059746469960442465,0.4891451831750339,21.591914058590415
16,"(3, 7)",1635,0,0.026750712573155762,0.028607114828234418,0.00109353607170859,0.5155963302752293,13.649947364336583
17,"(3, 8)",1696,0,0.027653559682859728,0.029876780169598653,0.048530543877653674,0.5194575471698113,17.119812434185523
18,"(4, 5)",1860,0,0.030344535046008727,0.03135678081382667,-0.09959110852695269,0.4591397849462366,22.8943613946244
19,"(4, 6)",2945,10,0.04845399897377938,0.0488335886663411,-0.007285492158491332,0.500169779286927,16.813325074043146
20,"(4, 7)",4106,68,0.06886553328509132,0.0735094544885583,0.01826161187937081,0.5007306380905991,9.547340304577006
21,"(4, 8)",2889,0,0.048551834062797325,0.04937211452480747,0.10376176374407767,0.5379023883696781,8.542460499597992
22,"(5, 6)",2567,0,0.04242696605206778,0.042686772103561796,0.022108220631607896,0.5033112582781457,14.933867745806022
23,"(5, 7)",2703,0,0.04704473217620204,0.04799414965931548,0.06401901091425759,0.5220125786163522,8.903593971307906
24,"(5, 8)",2860,0,0.04755949813034385,0.048224923882138476,0.07940249608436208,0.5251748251748252,7.6689380422049265
25,"(6, 7)",6179,2329,0.102007593401211,0.12227236622467283,0.054740330715290234,0.5258132383880887,6.649038628028205
26,"(6, 8)",5985,27796,0.1024120847640559,0.12203283962500325,0.07707246691703858,0.5301587301587302,6.7746760434710716
27,"(7, 8)",6571,29797,0.10915175103402386,0.1359628927920157,0.06634756020114241,0.523816770658956,2.471821412745631
