action_index,pair,greedy_top1_count,greedy_top1_fraction
0,"(1, 2)",10792,0.10792
1,"(1, 3)",6609,0.06609
2,"(1, 4)",1584,0.01584
3,"(1, 5)",7794,0.07794
4,"(1, 6)",68,0.00068
5,"(1, 7)",10611,0.10611
6,"(1, 8)",8695,0.08695
7,"(2, 3)",0,0.0
8,"(2, 4)",2469,0.02469
9,"(2, 5)",0,0.0
10,"(2, 6)",808,0.00808
11,"(2, 7)",1056,0.01056
12,"(2, 8)",7,7e-05
13,"(3, 4)",0,0.0
14,"(3, 5)",26,0.00026
15,"(3, 6)",100,0.001
16,"(3, 7)",223,0.00223
17,"(3, 8)",5074,0.05074
18,"(4, 5)",6462,0.06462
19,"(4, 6)",678,0.00678
20,"(4, 7)",3295,0.03295
21,"(4, 8)",134,0.00134
22,"(5, 6)",2535,0.02535
23,"(5, 7)",10483,0.10483
24,"(5, 8)",3633,0.03633
25,"(6, 7)",3136,0.03136
26,"(6, 8)",8342,0.08342
27,"(7, 8)",5386,0.05386
