flat_index,transition_id,episode,task_id,target_snapshot_sha256,snapshot_hash_match,next_state_matches_next_row,next_mask_matches_collection,pi_old_matches_collection,terminal,terminal_no_bootstrap,delta_t,discount_term_online,discount_term_gamma_power_delta,next_q_expectation_recomputed,next_q_expectation_online,bellman_target_recomputed,bellman_target_online,absolute_error,q_values_finite,effective_mask_size
47732,ep239:d133,239,133,44974623ca6cbc60d9ae82768f15da42ef5dd0cd7fb59f8537095148c29775ec,True,True,True,True,False,True,7.860392093658447,0.43684571981430054,0.4368458184819744,28.66048187743985,28.660480499267578,96.84215402640461,96.84215545654297,1.4301383544079727e-06,True,28
55074,ep276:d075,276,75,b4a9d767d2f8132e6f8420e78b783224e3fe278bfe417fd8b11f54fbd67e1545,True,True,True,True,False,True,0.11113554239273071,0.9883589744567871,0.9883589889850825,33.556870160211055,33.55686950683594,93.26658320379529,93.26658630371094,3.0999156450661758e-06,True,22
48412,ep243:d013,243,13,9093c61fa7b0d274bd189a7ee024179e78193390feedead06976fe5958dd2e8b,True,True,True,True,False,True,1.141692876815796,0.8866637945175171,0.8866638432144481,29.17463178859738,29.174633026123047,118.16232495482132,118.16232299804688,1.9567744402593235e-06,True,28
53450,ep268:d051,268,51,e4c00e201bb76afd53bc38c095a4764c4255ef86710313bf8866f8d9928a7154,True,True,True,True,False,True,7.242523670196533,0.46623000502586365,0.46623008197750204,32.49833106395134,32.49833297729492,78.35391034263174,78.35391235351562,2.0108838896248926e-06,True,28
49145,ep246:d146,246,146,420663c5210a34e5b9f8de20e36745d0cdbd6e3582be0330fd615139b2bd6a33,True,True,True,True,False,True,1.241263747215271,0.8774105906486511,0.8774106181625614,29.571820195596242,29.57181739807129,77.67911113453006,77.67910766601562,3.4685144356672026e-06,True,28
49871,ep250:d072,250,72,aed7438ce4e0338a273dbb2d28bc7a57f11bc2802d11ca49e5fc2b3ef2029652,True,True,True,True,False,True,1.4984333515167236,0.853955864906311,0.8539559130454569,30.117307489655175,30.117307662963867,121.35312108033327,121.35311889648438,2.1838488919456722e-06,True,6
51268,ep257:d069,257,69,810221c38da5c6f02b5e6d4e81ad5ba495984ae6bb1c026c16e6a3120f4bed23,True,True,True,True,False,True,1.7642691135406494,0.8303696513175964,0.8303696602366847,31.044513702392578,31.044513702392578,110.20715584406366,110.2071533203125,2.5237511636078125e-06,True,1
54035,ep271:d036,271,36,ea253203024bf694378938a0f6570728feeb1701cc1e97e0f8850ad33c9b6c8c,True,True,True,True,False,True,1.5601556301116943,0.8484205603599548,0.8484205778492917,32.8941651190768,32.8941650390625,89.1823474775094,89.1823501586914,2.681182010633165e-06,True,28
41458,ep208:d059,208,59,f33994251545266f732d0b587321e7258dd07b3aedacc3fb65d928313c3fc219,True,True,True,True,False,True,1.1068047285079956,0.8899290561676025,0.8899290692284202,24.577620725163985,24.577621459960938,72.18474344735885,72.18474578857422,2.341215363799165e-06,True,18
44203,ep222:d004,222,4,83884a6091f6f2e7e84f67a3a4232a2eaa412cbbaa53f15cf1a3b02ecf1ec8f5,True,True,True,True,False,True,0.31663623452186584,0.967189371585846,0.9671893828488984,26.41883193719333,26.41883087158203,53.87421995655848,53.87421798706055,1.9694979300766136e-06,True,28
