selected_action,selected_pair,transition_count,mean_reward_term,mean_current_task_reward,mean_previous_task_reward,mean_other_reward,mean_bootstrap_term,mean_bellman_target,mean_selected_q
0,"(1, 2)",141,56.75668267324461,56.756682721797226,0.0,0.0,23.57506998210934,80.33175258771747,35.87105189654844
1,"(1, 3)",163,54.89389626672663,54.89389619484826,0.0,0.0,24.066125366585386,78.96002145778914,36.366115359440904
2,"(1, 4)",219,59.38899096397505,59.38899065187391,0.0,0.0,25.286540645442596,84.67553143087588,36.340488425128534
3,"(1, 5)",232,51.73854791707006,51.73854777936488,0.0,0.0,23.984924382176892,75.72347197039375,35.570548098662805
4,"(1, 6)",282,62.4721177892482,62.47211753160186,0.0,0.0,24.723694581512017,87.19581233356016,36.385163983554705
5,"(1, 7)",385,66.91127732016824,66.91127717711512,0.0,0.0,25.178874810949548,92.09015208653041,36.83534382906827
6,"(1, 8)",424,63.49755551680079,63.49755550611334,0.0,0.0,24.176555045370787,87.67411062852392,36.13948224625498
7,"(2, 3)",239,52.69887865138353,52.698878563758875,0.0,0.0,24.26561695960775,76.96449579853393,35.934673389131554
8,"(2, 4)",368,61.37884633437447,61.37884625856501,0.0,0.0,24.09519326686859,85.47403951313184,36.34553009012471
9,"(2, 5)",275,57.20650708632036,57.206506978807596,0.0,0.0,24.125446035211738,81.33195309725674,36.06165127147328
10,"(2, 6)",440,65.6346426747062,65.63464271798036,0.0,0.0,24.68039969964461,90.31504224430431,36.43396005197005
11,"(2, 7)",607,67.31827342490584,67.31827342064099,0.0,0.0,24.790877680016507,92.10915132802243,36.85437841902455
12,"(2, 8)",600,65.71849854151408,65.7184984624113,0.0,0.0,24.74651802221934,90.46501653671265,36.42871275583903
13,"(3, 4)",396,63.41759014611292,63.41759003816637,0.0,0.0,24.743557359233048,88.16114761853459,36.74327723185221
14,"(3, 5)",392,49.89829180921827,49.898291878908665,0.0,0.0,24.358636857295522,74.25692862393905,36.78756374728923
15,"(3, 6)",493,60.07471960118044,60.074719594882225,0.0,0.0,24.664337881680193,84.7390574673852,36.351446232979484
16,"(3, 7)",675,66.97903031384503,66.97902997407319,0.0,0.0,24.714736162821453,91.69376644558376,36.694507095902054
17,"(3, 8)",780,61.86636876815405,61.86636866252422,0.0,0.0,24.4410211288012,86.30738998070741,36.3500205162244
18,"(4, 5)",554,59.88498854378931,59.88498852477388,0.0,0.0,24.732473108312284,84.61746157291564,36.60517554506929
19,"(4, 6)",868,63.33262603074175,63.33262600935482,0.0,0.0,25.174617975538226,88.50724391893307,36.73385626489666
20,"(4, 7)",1292,66.09468257390309,66.09468234362065,0.0,0.0,24.928280188203228,91.02296270600783,36.93238881497929
21,"(4, 8)",1164,64.68531032362345,64.68531031256002,0.0,0.0,24.96272034702432,89.6480306153445,36.81783002020977
22,"(5, 6)",798,62.73878493822906,62.7387848521867,0.0,0.0,24.557637724362518,87.29642276716113,36.51599706444227
23,"(5, 7)",1083,60.89132283467005,60.89132266776064,0.0,0.0,25.204230102035368,86.09555289267612,37.14598890288715
24,"(5, 8)",1185,58.45136464678286,58.45136467367731,0.0,0.0,24.39267992671532,82.84404449060496,36.53438131276062
25,"(6, 7)",1664,63.75101254679836,63.751012331348655,0.0,0.0,24.96818754105614,88.71920001162933,36.99796570035127
26,"(6, 8)",1862,60.5249485503462,60.52494851389583,0.0,0.0,24.81717828905288,85.34212686577622,37.106713639166124
27,"(7, 8)",2419,57.79350891779552,57.7935087547418,0.0,0.0,24.831191007536077,82.6246999353848,37.19621088722611
