group_type,group_value,metric,count,mean,std,p50,p90
all,all,current_task_attribution_ratio,60000,0.9999999999999796,1.513695197862018e-14,0.999999999999982,0.99999999999999
all,all,signed_current_task_share,60000,0.999999998644726,2.6045494911648837e-08,0.9999999965565196,1.0000000344524125
all,all,current_task_absolute_share,60000,0.9999999999999796,1.513695197862018e-14,0.999999999999982,0.99999999999999
all,all,previous_tasks_absolute_share,60000,0.0,0.0,0.0,0.0
all,all,other_absolute_share,60000,0.0,0.0,0.0,0.0
stage,early,current_task_attribution_ratio,20000,0.9999999999999796,1.501593891232767e-14,0.999999999999982,0.99999999999999
stage,early,signed_current_task_share,20000,0.9999999987093184,2.607531968623881e-08,0.9999999967232364,1.0000000344846827
stage,early,current_task_absolute_share,20000,0.9999999999999796,1.501593891232767e-14,0.999999999999982,0.99999999999999
stage,early,previous_tasks_absolute_share,20000,0.0,0.0,0.0,0.0
stage,early,other_absolute_share,20000,0.0,0.0,0.0,0.0
stage,late,current_task_attribution_ratio,20000,0.99999999999998,1.478403744687995e-14,0.9999999999999822,0.99999999999999
stage,late,signed_current_task_share,20000,0.9999999985432165,2.606876077845133e-08,0.9999999962424457,1.0000000343551982
stage,late,current_task_absolute_share,20000,0.99999999999998,1.478403744687995e-14,0.9999999999999822,0.99999999999999
stage,late,previous_tasks_absolute_share,20000,0.0,0.0,0.0,0.0
stage,late,other_absolute_share,20000,0.0,0.0,0.0,0.0
stage,middle,current_task_attribution_ratio,20000,0.9999999999999795,1.559598023239713e-14,0.999999999999982,0.99999999999999
stage,middle,signed_current_task_share,20000,0.9999999986816432,2.5992017834394154e-08,0.9999999966964905,1.0000000345342157
stage,middle,current_task_absolute_share,20000,0.9999999999999795,1.559598023239713e-14,0.999999999999982,0.99999999999999
stage,middle,previous_tasks_absolute_share,20000,0.0,0.0,0.0,0.0
stage,middle,other_absolute_share,20000,0.0,0.0,0.0,0.0
requirement,0.9,current_task_attribution_ratio,15000,0.99999999999998,7.672837294972428e-15,0.9999999999999808,0.9999999999999897
requirement,0.9,signed_current_task_share,15000,0.999999997681109,2.6085683547025555e-08,0.9999999953144038,1.0000000323616114
requirement,0.9,current_task_absolute_share,15000,0.99999999999998,7.672837294972428e-15,0.9999999999999808,0.9999999999999897
requirement,0.9,previous_tasks_absolute_share,15000,0.0,0.0,0.0,0.0
requirement,0.9,other_absolute_share,15000,0.0,0.0,0.0,0.0
requirement,0.99,current_task_attribution_ratio,15000,0.9999999999999818,7.700702657955302e-15,0.999999999999983,0.9999999999999901
requirement,0.99,signed_current_task_share,15000,1.0000000011290735,2.5813892137652152e-08,1.0000000003494838,1.0000000367283175
requirement,0.99,current_task_absolute_share,15000,0.9999999999999818,7.700702657955302e-15,0.999999999999983,0.9999999999999901
requirement,0.99,previous_tasks_absolute_share,15000,0.0,0.0,0.0,0.0
requirement,0.99,other_absolute_share,15000,0.0,0.0,0.0,0.0
