policy,episode,task_id,Reliability_Requirement,safe_set_size,safe_set_empty,selected_action_safe,selected_action,selected_pair,selected_rho,selected_pair_reliability,selected_joint_failure_probability,probability_before,probability_after,safe_mask
greedy,1,1,0.99,28,False,True,27,"(7, 8)",0.12671319237019502,0.9999655781911735,3.442180882647914e-05,"[0.001376204309053719, 0.001492731156758964, 0.0020349137485027313, 0.0019811377860605717, 0.002483421703800559, 0.003588414052501321, 0.0031683756969869137, 0.0034443631302565336, 0.008218447677791119, 0.003643145551905036, 0.00875715259462595, 0.012271626852452755, 0.010210971347987652, 0.009679471142590046, 0.006655815988779068, 0.01115765143185854, 0.017058756202459335, 0.014273924753069878, 0.022023851051926613, 0.05114452913403511, 0.09044919162988663, 0.05459088832139969, 0.040405236184597015, 0.057145822793245316, 0.048488203436136246, 0.16769734025001526, 0.1568155586719513, 0.18974284827709198]","[0.001376204309053719, 0.001492731156758964, 0.0020349137485027313, 0.0019811377860605717, 0.002483421703800559, 0.003588414052501321, 0.0031683756969869137, 0.0034443631302565336, 0.008218447677791119, 0.003643145551905036, 0.00875715259462595, 0.012271626852452755, 0.010210971347987652, 0.009679471142590046, 0.006655815988779068, 0.01115765143185854, 0.017058756202459335, 0.014273924753069878, 0.022023851051926613, 0.05114452913403511, 0.09044919162988663, 0.05459088832139969, 0.040405236184597015, 0.057145822793245316, 0.048488203436136246, 0.16769734025001526, 0.1568155586719513, 0.18974284827709198]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
greedy,1,2,0.99,24,False,True,27,"(7, 8)",0.12671319237019502,0.9996344365663062,0.0003655634336937934,"[0.0014266330981627107, 0.0015273037133738399, 0.0020434949547052383, 0.001984181348234415, 0.0024731787852942944, 0.0035072483588010073, 0.003154280362650752, 0.0033460096456110477, 0.0077278767712414265, 0.0035193657968193293, 0.008284536190330982, 0.011561465449631214, 0.009708371944725513, 0.009047314524650574, 0.006256017368286848, 0.010426300577819347, 0.0159336868673563, 0.013482506386935711, 0.02056088112294674, 0.04893232509493828, 0.09013896435499191, 0.052366651594638824, 0.03812918812036514, 0.05497979372739792, 0.046158790588378906, 0.17404894530773163, 0.1620727926492691, 0.1972019523382187]","[0.0014266330981627107, 0.0015273037133738399, 0.0020434949547052383, 0.001984181348234415, 0.0024731787852942944, 0.0035072483588010073, 0.003154280362650752, 0.0033460096456110477, 0.0077278767712414265, 0.0035193657968193293, 0.008284536190330982, 0.011561465449631214, 0.009708371944725513, 0.009047314524650574, 0.006256017368286848, 0.010426300577819347, 0.0159336868673563, 0.013482506386935711, 0.02056088112294674, 0.04893232509493828, 0.09013896435499191, 0.052366651594638824, 0.03812918812036514, 0.05497979372739792, 0.046158790588378906, 0.17404894530773163, 0.1620727926492691, 0.1972019523382187]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
greedy,1,3,0.9999,7,False,True,27,"(7, 8)",0.12671319237019502,0.9999655781911735,3.442180882647914e-05,"[0.0014959636610001326, 0.001619393820874393, 0.002119996352121234, 0.002117000287398696, 0.0025790659710764885, 0.003404274582862854, 0.0031067817471921444, 0.003528222441673279, 0.008063522167503834, 0.003691708669066429, 0.008596091531217098, 0.011138895526528358, 0.009414571337401867, 0.009529327042400837, 0.006642230786383152, 0.010916250757873058, 0.015543418936431408, 0.013138752430677414, 0.021854694932699203, 0.051223330199718475, 0.0875120609998703, 0.05119917541742325, 0.04025910794734955, 0.05445384234189987, 0.04512526094913483, 0.17261497676372528, 0.15861664712429047, 0.20049549639225006]","[0.0014959636610001326, 0.001619393820874393, 0.002119996352121234, 0.002117000287398696, 0.0025790659710764885, 0.003404274582862854, 0.0031067817471921444, 0.003528222441673279, 0.008063522167503834, 0.003691708669066429, 0.008596091531217098, 0.011138895526528358, 0.009414571337401867, 0.009529327042400837, 0.006642230786383152, 0.010916250757873058, 0.015543418936431408, 0.013138752430677414, 0.021854694932699203, 0.051223330199718475, 0.0875120609998703, 0.05119917541742325, 0.04025910794734955, 0.05445384234189987, 0.04512526094913483, 0.17261497676372528, 0.15861664712429047, 0.20049549639225006]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]"
greedy,1,4,0.9,28,False,True,27,"(7, 8)",0.12671319237019502,0.9988044378600976,0.0011955621399023198,"[0.0015457830158993602, 0.0016588687431067228, 0.0022624421399086714, 0.002163184806704521, 0.0027426769956946373, 0.003715918166562915, 0.0032967962324619293, 0.003712833160534501, 0.008638959378004074, 0.003943678457289934, 0.00930591206997633, 0.012195686809718609, 0.010277819819748402, 0.010099077597260475, 0.0070068626664578915, 0.0117263188585639, 0.016656912863254547, 0.014190862886607647, 0.02260468900203705, 0.05267094448208809, 0.08863137662410736, 0.053497835993766785, 0.041530292481184006, 0.054755549877882004, 0.047353435307741165, 0.16459186375141144, 0.15699003636837006, 0.19223341345787048]","[0.0015457830158993602, 0.0016588687431067228, 0.0022624421399086714, 0.002163184806704521, 0.0027426769956946373, 0.003715918166562915, 0.0032967962324619293, 0.003712833160534501, 0.008638959378004074, 0.003943678457289934, 0.00930591206997633, 0.012195686809718609, 0.010277819819748402, 0.010099077597260475, 0.0070068626664578915, 0.0117263188585639, 0.016656912863254547, 0.014190862886607647, 0.02260468900203705, 0.05267094448208809, 0.08863137662410736, 0.053497835993766785, 0.041530292481184006, 0.054755549877882004, 0.047353435307741165, 0.16459186375141144, 0.15699003636837006, 0.19223341345787048]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
greedy,1,5,0.999,25,False,True,27,"(7, 8)",0.12671319237019502,0.9999746844925879,2.531550741212496e-05,"[0.0014985202578827739, 0.0016220292309299111, 0.0021691254805773497, 0.0021373003255575895, 0.002642794046550989, 0.003317837603390217, 0.0032090337481349707, 0.0036400798708200455, 0.008537260815501213, 0.0038290114607661963, 0.009094635024666786, 0.01099491585046053, 0.0100478520616889, 0.010079818777740002, 0.0069504850544035435, 0.011574622243642807, 0.015258477069437504, 0.014039340429008007, 0.02315335161983967, 0.05437716841697693, 0.08508188277482986, 0.054825298488140106, 0.04271245375275612, 0.052284520119428635, 0.04835117608308792, 0.16334497928619385, 0.16548533737659454, 0.1897406280040741]","[0.0014985202578827739, 0.0016220292309299111, 0.0021691254805773497, 0.0021373003255575895, 0.002642794046550989, 0.003317837603390217, 0.0032090337481349707, 0.0036400798708200455, 0.008537260815501213, 0.0038290114607661963, 0.009094635024666786, 0.01099491585046053, 0.0100478520616889, 0.010079818777740002, 0.0069504850544035435, 0.011574622243642807, 0.015258477069437504, 0.014039340429008007, 0.02315335161983967, 0.05437716841697693, 0.08508188277482986, 0.054825298488140106, 0.04271245375275612, 0.052284520119428635, 0.04835117608308792, 0.16334497928619385, 0.16548533737659454, 0.1897406280040741]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
greedy,1,6,0.99,16,False,True,27,"(7, 8)",0.12671319237019502,0.9987481057691108,0.0012518942308892584,"[0.0016077468171715736, 0.0017174838576465845, 0.002295221434906125, 0.0022183002438396215, 0.0027708793058991432, 0.0035321786999702454, 0.0031980678904801607, 0.003709056880325079, 0.008459176868200302, 0.003914989065378904, 0.009104578755795956, 0.011233031749725342, 0.009602587670087814, 0.00989473331719637, 0.006879796739667654, 0.011424502357840538, 0.015408980660140514, 0.013210682198405266, 0.022348597645759583, 0.052943844348192215, 0.08658481389284134, 0.05104293301701546, 0.04137547314167023, 0.05260023847222328, 0.04483966529369354, 0.16828912496566772, 0.1598760336637497, 0.1999172866344452]","[0.0016077468171715736, 0.0017174838576465845, 0.002295221434906125, 0.0022183002438396215, 0.0027708793058991432, 0.0035321786999702454, 0.0031980678904801607, 0.003709056880325079, 0.008459176868200302, 0.003914989065378904, 0.009104578755795956, 0.011233031749725342, 0.009602587670087814, 0.00989473331719637, 0.006879796739667654, 0.011424502357840538, 0.015408980660140514, 0.013210682198405266, 0.022348597645759583, 0.052943844348192215, 0.08658481389284134, 0.05104293301701546, 0.04137547314167023, 0.05260023847222328, 0.04483966529369354, 0.16828912496566772, 0.1598760336637497, 0.1999172866344452]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
greedy,1,7,0.9,28,False,True,27,"(7, 8)",0.12671319237019502,0.9993413191831945,0.000658680816805589,"[0.0016083490336313844, 0.0017255039419978857, 0.002349288435652852, 0.0022544984240084887, 0.0028499802574515343, 0.003502888837829232, 0.0033240155316889286, 0.003866329090669751, 0.009047450497746468, 0.004096528515219688, 0.009729727171361446, 0.011363200843334198, 0.010346679948270321, 0.010576862841844559, 0.007313985843211412, 0.012265547178685665, 0.015524168498814106, 0.014316009357571602, 0.023836687207221985, 0.05609172210097313, 0.0848468691110611, 0.05455944687128067, 0.04403693601489067, 0.05144904553890228, 0.048256054520606995, 0.15896278619766235, 0.16352777183055878, 0.1883716732263565]","[0.0016083490336313844, 0.0017255039419978857, 0.002349288435652852, 0.0022544984240084887, 0.0028499802574515343, 0.003502888837829232, 0.0033240155316889286, 0.003866329090669751, 0.009047450497746468, 0.004096528515219688, 0.009729727171361446, 0.011363200843334198, 0.010346679948270321, 0.010576862841844559, 0.007313985843211412, 0.012265547178685665, 0.015524168498814106, 0.014316009357571602, 0.023836687207221985, 0.05609172210097313, 0.0848468691110611, 0.05455944687128067, 0.04403693601489067, 0.05144904553890228, 0.048256054520606995, 0.15896278619766235, 0.16352777183055878, 0.1883716732263565]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
greedy,1,8,0.9999,0,True,False,27,"(7, 8)",0.12671319237019502,0.9996651908419274,0.0003348091580726486,"[0.001633455278351903, 0.0017569541232660413, 0.0022834057454019785, 0.002271263161674142, 0.00276330579072237, 0.0033407381270080805, 0.0032480445224791765, 0.0037350677885115147, 0.008388900198042393, 0.0039010541513562202, 0.008972839452326298, 0.010513204149901867, 0.009595812298357487, 0.00988031830638647, 0.0069185830652713776, 0.011324867606163025, 0.014541459269821644, 0.013313612900674343, 0.02257550321519375, 0.05337192863225937, 0.0834585577249527, 0.052027102559804916, 0.04176941141486168, 0.05086313188076019, 0.04570451378822327, 0.16745854914188385, 0.1665295660495758, 0.19785887002944946]","[0.001633455278351903, 0.0017569541232660413, 0.0022834057454019785, 0.002271263161674142, 0.00276330579072237, 0.0033407381270080805, 0.0032480445224791765, 0.0037350677885115147, 0.008388900198042393, 0.0039010541513562202, 0.008972839452326298, 0.010513204149901867, 0.009595812298357487, 0.00988031830638647, 0.0069185830652713776, 0.011324867606163025, 0.014541459269821644, 0.013313612900674343, 0.02257550321519375, 0.05337192863225937, 0.0834585577249527, 0.052027102559804916, 0.04176941141486168, 0.05086313188076019, 0.04570451378822327, 0.16745854914188385, 0.1665295660495758, 0.19785887002944946]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
greedy,1,9,0.9,28,False,True,27,"(7, 8)",0.12671319237019502,0.9996023648478416,0.00039763515215836205,"[0.001630064332857728, 0.0017541991546750069, 0.0023991470225155354, 0.0023049344308674335, 0.002916867146268487, 0.0035368844401091337, 0.003158038714900613, 0.003988369833678007, 0.009426952339708805, 0.004227376077324152, 0.010117584839463234, 0.011598054319620132, 0.009855124168097973, 0.011035447008907795, 0.007612335961312056, 0.012796883471310139, 0.01584664173424244, 0.013635790906846523, 0.024913903325796127, 0.058421049267053604, 0.08589641749858856, 0.051663484424352646, 0.04596222564578056, 0.052151184529066086, 0.04571109637618065, 0.159285768866539, 0.15363042056560516, 0.19452375173568726]","[0.001630064332857728, 0.0017541991546750069, 0.0023991470225155354, 0.0023049344308674335, 0.002916867146268487, 0.0035368844401091337, 0.003158038714900613, 0.003988369833678007, 0.009426952339708805, 0.004227376077324152, 0.010117584839463234, 0.011598054319620132, 0.009855124168097973, 0.011035447008907795, 0.007612335961312056, 0.012796883471310139, 0.01584664173424244, 0.013635790906846523, 0.024913903325796127, 0.058421049267053604, 0.08589641749858856, 0.051663484424352646, 0.04596222564578056, 0.052151184529066086, 0.04571109637618065, 0.159285768866539, 0.15363042056560516, 0.19452375173568726]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
greedy,1,10,0.999,16,False,True,27,"(7, 8)",0.12671319237019502,0.999915347869864,8.465213013597616e-05,"[0.0015816413797438145, 0.001707878545857966, 0.0022782760206609964, 0.0022417837753891945, 0.0027713372837752104, 0.0033577692229300737, 0.0030454066582024097, 0.0038010296411812305, 0.008871501311659813, 0.003995883744210005, 0.009463516995310783, 0.010974150151014328, 0.009330685250461102, 0.010465729050338268, 0.00722148921340704, 0.012022272683680058, 0.015188687480986118, 0.012966180220246315, 0.0240547526627779, 0.056783705949783325, 0.08554904162883759, 0.0505337193608284, 0.04450081288814545, 0.05211274325847626, 0.04435955733060837, 0.16539433598518372, 0.15575620532035828, 0.19966991245746613]","[0.0015816413797438145, 0.001707878545857966, 0.0022782760206609964, 0.0022417837753891945, 0.0027713372837752104, 0.0033577692229300737, 0.0030454066582024097, 0.0038010296411812305, 0.008871501311659813, 0.003995883744210005, 0.009463516995310783, 0.010974150151014328, 0.009330685250461102, 0.010465729050338268, 0.00722148921340704, 0.012022272683680058, 0.015188687480986118, 0.012966180220246315, 0.0240547526627779, 0.056783705949783325, 0.08554904162883759, 0.0505337193608284, 0.04450081288814545, 0.05211274325847626, 0.04435955733060837, 0.16539433598518372, 0.15575620532035828, 0.19966991245746613]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
