policy,episode,task_id,Reliability_Requirement,safe_set_size,safe_set_empty,selected_action_safe,selected_action,selected_pair,selected_rho,selected_pair_reliability,selected_joint_failure_probability,probability_before,probability_after,safe_mask
masked_sample,1,1,0.99,28,False,True,27,"(7, 8)",0.12671319237019502,0.9999655781911735,3.442180882647914e-05,"[0.001376204309053719, 0.001492731156758964, 0.0020349137485027313, 0.0019811377860605717, 0.002483421703800559, 0.003588414052501321, 0.0031683756969869137, 0.0034443631302565336, 0.008218447677791119, 0.003643145551905036, 0.00875715259462595, 0.012271626852452755, 0.010210971347987652, 0.009679471142590046, 0.006655815988779068, 0.01115765143185854, 0.017058756202459335, 0.014273924753069878, 0.022023851051926613, 0.05114452913403511, 0.09044919162988663, 0.05459088832139969, 0.040405236184597015, 0.057145822793245316, 0.048488203436136246, 0.16769734025001526, 0.1568155586719513, 0.18974284827709198]","[0.0013762043161030149, 0.0014927311644051422, 0.0020349137589261174, 0.0019811377962085028, 0.0024834217165213258, 0.0035884140708821615, 0.003168375713216203, 0.0034443631478995058, 0.00821844771988826, 0.003643145570566226, 0.008757152639482487, 0.012271626915311392, 0.010210971400291046, 0.009679471192170951, 0.006655816022871982, 0.01115765148901109, 0.017058756289838963, 0.014273924826184834, 0.022023851164738817, 0.05114452939601141, 0.09044919209319219, 0.05459088860102919, 0.040405236391563716, 0.05714582308596189, 0.04848820368450612, 0.16769734110900703, 0.1568155594752036, 0.18974284924900686]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
masked_sample,1,2,0.99,24,False,True,20,"(4, 7)",0.3447276787973151,0.999615747620865,0.00038425237913499084,"[0.0014266330981627107, 0.0015273037133738399, 0.0020434949547052383, 0.001984181348234415, 0.0024731787852942944, 0.0035072483588010073, 0.003154280362650752, 0.0033460096456110477, 0.0077278767712414265, 0.0035193657968193293, 0.008284536190330982, 0.011561465449631214, 0.009708371944725513, 0.009047314524650574, 0.006256017368286848, 0.010426300577819347, 0.0159336868673563, 0.013482506386935711, 0.02056088112294674, 0.04893232509493828, 0.09013896435499191, 0.052366651594638824, 0.03812918812036514, 0.05497979372739792, 0.046158790588378906, 0.17404894530773163, 0.1620727926492691, 0.1972019523382187]","[0.0, 0.0, 0.0020609250779251294, 0.0, 0.0024942739247137686, 0.003537163661951574, 0.003181185002304739, 0.0033745496526630136, 0.0077937921991414185, 0.0, 0.008355199680977057, 0.011660079721678023, 0.009791180135111042, 0.009124484182745723, 0.006309378475611307, 0.01051523238720824, 0.016069594286557753, 0.013597506302690899, 0.02073625649671867, 0.0493496965466645, 0.09090781051827862, 0.05281331635777219, 0.038454413512129436, 0.055448747456432676, 0.04655250499701205, 0.1755335071149534, 0.16345520308290584, 0.19888399922585293]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
masked_sample,1,3,0.9999,7,False,True,27,"(7, 8)",0.12671319237019502,0.9999655781911735,3.442180882647914e-05,"[0.0014899930683895946, 0.001612930791452527, 0.001998910680413246, 0.0021085510961711407, 0.0025687727611511946, 0.003390687983483076, 0.0032378986943513155, 0.0035141410771757364, 0.007518216501921415, 0.003676974680274725, 0.008561784401535988, 0.011094439774751663, 0.009860645048320293, 0.008851608261466026, 0.006615721620619297, 0.01087268441915512, 0.015481384471058846, 0.013784722425043583, 0.020160866901278496, 0.04750363901257515, 0.08864976465702057, 0.05096135288476944, 0.04009842872619629, 0.0542365163564682, 0.04748969525098801, 0.17192605137825012, 0.16590766608715057, 0.19682593643665314]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015595520796188716, 0.022206130902395194, 0.0, 0.0, 0.06813809373608452, 0.1271571210004118, 0.0, 0.0, 0.0, 0.0, 0.24660665262686454, 0.2379740234298412, 0.28232245750821405]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]"
masked_sample,1,4,0.9,28,False,True,22,"(5, 6)",0.19152131632955052,0.9945713947321908,0.005428605267809165,"[0.0015398648101836443, 0.0016525175888091326, 0.002134602516889572, 0.0021549027878791094, 0.002732174936681986, 0.0037016915157437325, 0.0034620172809809446, 0.0036986181512475014, 0.008081595413386822, 0.003928579855710268, 0.00927028339356184, 0.012148994952440262, 0.010839981958270073, 0.009416579268872738, 0.00698003638535738, 0.011681423522531986, 0.016593141481280327, 0.014987394213676453, 0.020963022485375404, 0.049031492322683334, 0.09035342186689377, 0.05315614491701126, 0.041371289640665054, 0.05454591289162636, 0.05002579838037491, 0.16396170854568481, 0.16448025405406952, 0.18710662424564362]","[0.0015398647033423927, 0.0016525174741516338, 0.002134602368783321, 0.0021549026383643538, 0.0027321747471140525, 0.003701691258907319, 0.0034620170407739753, 0.003698617894624329, 0.008081594852657229, 0.003928579583131542, 0.009270282750356882, 0.012148994109500143, 0.010839981206153893, 0.009416578615517255, 0.006980035901057837, 0.011681422712033622, 0.016593140329989646, 0.014987393173798182, 0.02096302103088697, 0.04903148892070546, 0.09035341559785469, 0.05315614122885044, 0.04137128677017906, 0.05454590910703854, 0.050025794909408575, 0.16396169716944317, 0.16448024264184938, 0.1871066112635261]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
masked_sample,1,5,0.999,25,False,True,27,"(7, 8)",0.12671319237019502,0.9999746844925879,2.531550741212496e-05,"[0.0014257972361519933, 0.0015433122171089053, 0.0019964801613241434, 0.0020335770677775145, 0.0025145390536636114, 0.003390680532902479, 0.0031660397071391344, 0.003463426837697625, 0.007810740731656551, 0.0036431895568966866, 0.00865327287465334, 0.011367397382855415, 0.009948722086846828, 0.009201688691973686, 0.006613177713006735, 0.011012905277311802, 0.01584889180958271, 0.013917549513280392, 0.021061453968286514, 0.04964173957705498, 0.08907521516084671, 0.053244009613990784, 0.040639620274305344, 0.05474511533975601, 0.04801853746175766, 0.16927434504032135, 0.16346339881420135, 0.19328510761260986]","[0.0, 0.0015543522097012684, 0.002010761863981243, 0.0, 0.0025325266599417876, 0.003414935565391263, 0.0031886877847779036, 0.003488202256571715, 0.007866614403142087, 0.0, 0.008715173549952101, 0.011448713387167403, 0.010019889681403956, 0.009267512427359468, 0.0066604846883252765, 0.011091685443330107, 0.015962265919004803, 0.014017107879907136, 0.021212115832565576, 0.04999684882269379, 0.08971240943990262, 0.05362488748511094, 0.04093033339237115, 0.05513673128183102, 0.04836203522714631, 0.17048523904777182, 0.1646327245617885, 0.19466776118886076]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
masked_sample,1,6,0.99,16,False,True,27,"(7, 8)",0.12671319237019502,0.9987481057691108,0.0012518942308892584,"[0.0015427038306370378, 0.0016480014892295003, 0.0022023660130798817, 0.001954214181751013, 0.0024926201440393925, 0.003771690186113119, 0.003383692353963852, 0.0035590040497481823, 0.008116953074932098, 0.003421107539907098, 0.00810555275529623, 0.012208380736410618, 0.01027938723564148, 0.009494432248175144, 0.00596039230003953, 0.010151240974664688, 0.016771016642451286, 0.014189974404871464, 0.019165411591529846, 0.04700891301035881, 0.09373181313276291, 0.05483248829841614, 0.03636445105075836, 0.05143953114748001, 0.04313822090625763, 0.16946373879909515, 0.1584976464509964, 0.20710507035255432]","[0.0, 0.0, 0.0, 0.0, 0.0027830958663361545, 0.004211221429455869, 0.0, 0.0, 0.0, 0.0, 0.00905012760230588, 0.013631075735070112, 0.0, 0.01060085918277299, 0.0, 0.011334208648810875, 0.018725415183487096, 0.01584359301759277, 0.0, 0.05248706337904725, 0.10465478356090134, 0.06122235346976953, 0.04060215658730134, 0.0574340004613872, 0.0, 0.18921207552360134, 0.1769680573739302, 0.23123991297823007]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
masked_sample,1,7,0.9,28,False,True,26,"(6, 8)",0.3540107070824934,0.9991904463680109,0.0008095536319890755,"[0.001560854259878397, 0.001674549886956811, 0.0022799137514084578, 0.0020218663848936558, 0.002621009713038802, 0.0035599134862422943, 0.003527940483763814, 0.0037521563936024904, 0.008780280128121376, 0.0036488415207713842, 0.00888100452721119, 0.01165437325835228, 0.01108105294406414, 0.01026452798396349, 0.006465611048042774, 0.01117673423141241, 0.01594529114663601, 0.015375937335193157, 0.020898280665278435, 0.05113576352596283, 0.08710286766290665, 0.05853566527366638, 0.039455596357584, 0.05509476736187935, 0.04696296900510788, 0.16722862422466278, 0.1642998605966568, 0.18501387536525726]","[0.0015608540592735073, 0.0016745496717394752, 0.0022799134583882455, 0.002021866125038336, 0.0026210093761800846, 0.003559913028713318, 0.0035279400303440873, 0.003752155911365975, 0.008780278999657835, 0.0036488410518131544, 0.008881003385802297, 0.011654371760503107, 0.011081051519899528, 0.010264526664740705, 0.006465610217066286, 0.011176732794950598, 0.015945289097307348, 0.015375935359039269, 0.020898277979379182, 0.051135756953866726, 0.08710285646822845, 0.05853565775051641, 0.039455591286652165, 0.05509476028096218, 0.046962962969309754, 0.16722860273202214, 0.16429983948042817, 0.1850138515868117]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
masked_sample,1,8,0.9999,0,True,False,25,"(6, 7)",0.3499394055117266,0.9998880495916421,0.00011195040835782006,"[0.0015835724771022797, 0.0017032998148351908, 0.0022136748302727938, 0.002046561799943447, 0.002555628539994359, 0.003376287641003728, 0.0034074638970196247, 0.003621005453169346, 0.00813271850347519, 0.0034958592150360346, 0.008235963992774487, 0.010722623206675053, 0.010165881365537643, 0.009578591212630272, 0.006144279148429632, 0.010374896228313446, 0.01486885454505682, 0.014150530099868774, 0.019863348454236984, 0.04883527755737305, 0.08547054976224899, 0.05538216605782509, 0.037415068596601486, 0.0539231076836586, 0.044430602341890335, 0.17475314438343048, 0.16718564927577972, 0.1963634490966797]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
masked_sample,1,9,0.9,28,False,True,19,"(4, 6)",0.20339179397623902,0.9994861417039038,0.0005138582960961329,"[0.0015404886798933148, 0.0016578019130975008, 0.002267308533191681, 0.002178272930905223, 0.002476518042385578, 0.003619173774495721, 0.0031694003846496344, 0.0037691998295485973, 0.008908920921385288, 0.003995072096586227, 0.008453819900751114, 0.012045001611113548, 0.009985133074223995, 0.010429024696350098, 0.007194020785391331, 0.010646405629813671, 0.01651179976761341, 0.013849311508238316, 0.023544827476143837, 0.048541102558374405, 0.08931971341371536, 0.052663419395685196, 0.03797263652086258, 0.05469248443841934, 0.04663490876555443, 0.16964392364025116, 0.16015471518039703, 0.1941356211900711]","[0.0015404886388252607, 0.0016578018689019805, 0.002267308472747258, 0.0021782728728344095, 0.0024765179763638163, 0.0036191736780117763, 0.0031694003001562472, 0.003769199729065092, 0.008908920683881404, 0.003995071990081169, 0.008453819675379816, 0.01204500129000455, 0.009985132808029254, 0.010429024418321602, 0.0071940205936051535, 0.010646405345989993, 0.016511799327423558, 0.013849311139028025, 0.023544826848459738, 0.04854110126431191, 0.08931971103253147, 0.052663417991725414, 0.03797263550854596, 0.05469248298036649, 0.04663490752230936, 0.16964391911769547, 0.16015471091081518, 0.19413561601458862]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
masked_sample,1,10,0.999,16,False,True,25,"(6, 7)",0.3499394055117266,0.9999718625393155,2.8137460684546095e-05,"[0.0014910957543179393, 0.0016101062064990401, 0.0021478496491909027, 0.0021134463604539633, 0.0023757528979331255, 0.0034255930222570896, 0.003047097707167268, 0.0035834298469126225, 0.008363627828657627, 0.003767128102481365, 0.007992147468030453, 0.011368830688297749, 0.009430008009076118, 0.009866589680314064, 0.006808074191212654, 0.010106747038662434, 0.015816986560821533, 0.013140521012246609, 0.022677669301629066, 0.047595083713531494, 0.08904260396957397, 0.05147678777575493, 0.03703046217560768, 0.05484025552868843, 0.0452653244137764, 0.17446739971637726, 0.16077011823654175, 0.20037925243377686]","[0.0, 0.0, 0.0, 0.0, 0.0026702999855808818, 0.003850299837957543, 0.0, 0.0, 0.0, 0.0, 0.0089830180938467, 0.01277834426696657, 0.0, 0.011089854632607818, 0.0, 0.011359786825931759, 0.017777984832530187, 0.014769689684501486, 0.0, 0.05349594710145715, 0.10008215261060811, 0.05785890686482403, 0.041621518256214705, 0.06163937911005368, 0.0, 0.19609795924158865, 0.18070248163534325, 0.22522237701998749]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
