policy,action_index,pair,selection_count,selection_frequency
greedy,0,"(1, 2)",0,0.0
greedy,1,"(1, 3)",0,0.0
greedy,2,"(1, 4)",0,0.0
greedy,3,"(1, 5)",0,0.0
greedy,4,"(1, 6)",0,0.0
greedy,5,"(1, 7)",0,0.0
greedy,6,"(1, 8)",0,0.0
greedy,7,"(2, 3)",0,0.0
greedy,8,"(2, 4)",0,0.0
greedy,9,"(2, 5)",0,0.0
greedy,10,"(2, 6)",0,0.0
greedy,11,"(2, 7)",0,0.0
greedy,12,"(2, 8)",0,0.0
greedy,13,"(3, 4)",0,0.0
greedy,14,"(3, 5)",0,0.0
greedy,15,"(3, 6)",0,0.0
greedy,16,"(3, 7)",0,0.0
greedy,17,"(3, 8)",0,0.0
greedy,18,"(4, 5)",0,0.0
greedy,19,"(4, 6)",0,0.0
greedy,20,"(4, 7)",0,0.0
greedy,21,"(4, 8)",0,0.0
greedy,22,"(5, 6)",0,0.0
greedy,23,"(5, 7)",0,0.0
greedy,24,"(5, 8)",0,0.0
greedy,25,"(6, 7)",0,0.0
greedy,26,"(6, 8)",5,0.00125
greedy,27,"(7, 8)",3995,0.99875
native_sample,0,"(1, 2)",11,0.00275
native_sample,1,"(1, 3)",6,0.0015
native_sample,2,"(1, 4)",3,0.00075
native_sample,3,"(1, 5)",13,0.00325
native_sample,4,"(1, 6)",6,0.0015
native_sample,5,"(1, 7)",21,0.00525
native_sample,6,"(1, 8)",23,0.00575
native_sample,7,"(2, 3)",14,0.0035
native_sample,8,"(2, 4)",27,0.00675
native_sample,9,"(2, 5)",13,0.00325
native_sample,10,"(2, 6)",38,0.0095
native_sample,11,"(2, 7)",49,0.01225
native_sample,12,"(2, 8)",44,0.011
native_sample,13,"(3, 4)",43,0.01075
native_sample,14,"(3, 5)",25,0.00625
native_sample,15,"(3, 6)",45,0.01125
native_sample,16,"(3, 7)",62,0.0155
native_sample,17,"(3, 8)",65,0.01625
native_sample,18,"(4, 5)",107,0.02675
native_sample,19,"(4, 6)",198,0.0495
native_sample,20,"(4, 7)",368,0.092
native_sample,21,"(4, 8)",211,0.05275
native_sample,22,"(5, 6)",166,0.0415
native_sample,23,"(5, 7)",228,0.057
native_sample,24,"(5, 8)",175,0.04375
native_sample,25,"(6, 7)",677,0.16925
native_sample,26,"(6, 8)",598,0.1495
native_sample,27,"(7, 8)",764,0.191
masked_sample,0,"(1, 2)",4,0.001
masked_sample,1,"(1, 3)",4,0.001
masked_sample,2,"(1, 4)",1,0.00025
masked_sample,3,"(1, 5)",7,0.00175
masked_sample,4,"(1, 6)",6,0.0015
masked_sample,5,"(1, 7)",21,0.00525
masked_sample,6,"(1, 8)",18,0.0045
masked_sample,7,"(2, 3)",9,0.00225
masked_sample,8,"(2, 4)",18,0.0045
masked_sample,9,"(2, 5)",8,0.002
masked_sample,10,"(2, 6)",20,0.005
masked_sample,11,"(2, 7)",35,0.00875
masked_sample,12,"(2, 8)",38,0.0095
masked_sample,13,"(3, 4)",35,0.00875
masked_sample,14,"(3, 5)",18,0.0045
masked_sample,15,"(3, 6)",36,0.009
masked_sample,16,"(3, 7)",76,0.019
masked_sample,17,"(3, 8)",63,0.01575
masked_sample,18,"(4, 5)",86,0.0215
masked_sample,19,"(4, 6)",167,0.04175
masked_sample,20,"(4, 7)",330,0.0825
masked_sample,21,"(4, 8)",271,0.06775
masked_sample,22,"(5, 6)",138,0.0345
masked_sample,23,"(5, 7)",232,0.058
masked_sample,24,"(5, 8)",182,0.0455
masked_sample,25,"(6, 7)",665,0.16625
masked_sample,26,"(6, 8)",615,0.15375
masked_sample,27,"(7, 8)",897,0.22425
masked_greedy,0,"(1, 2)",0,0.0
masked_greedy,1,"(1, 3)",0,0.0
masked_greedy,2,"(1, 4)",0,0.0
masked_greedy,3,"(1, 5)",0,0.0
masked_greedy,4,"(1, 6)",0,0.0
masked_greedy,5,"(1, 7)",0,0.0
masked_greedy,6,"(1, 8)",0,0.0
masked_greedy,7,"(2, 3)",0,0.0
masked_greedy,8,"(2, 4)",0,0.0
masked_greedy,9,"(2, 5)",0,0.0
masked_greedy,10,"(2, 6)",0,0.0
masked_greedy,11,"(2, 7)",0,0.0
masked_greedy,12,"(2, 8)",0,0.0
masked_greedy,13,"(3, 4)",0,0.0
masked_greedy,14,"(3, 5)",0,0.0
masked_greedy,15,"(3, 6)",0,0.0
masked_greedy,16,"(3, 7)",23,0.00575
masked_greedy,17,"(3, 8)",0,0.0
masked_greedy,18,"(4, 5)",0,0.0
masked_greedy,19,"(4, 6)",0,0.0
masked_greedy,20,"(4, 7)",6,0.0015
masked_greedy,21,"(4, 8)",98,0.0245
masked_greedy,22,"(5, 6)",0,0.0
masked_greedy,23,"(5, 7)",30,0.0075
masked_greedy,24,"(5, 8)",23,0.00575
masked_greedy,25,"(6, 7)",86,0.0215
masked_greedy,26,"(6, 8)",43,0.01075
masked_greedy,27,"(7, 8)",3691,0.92275
