R_req,candidate,reference,metric,mean_paired_delta,episode_bootstrap_ci_low,episode_bootstrap_ci_high,episodes
all,native_sample,greedy,reward,9.805798221912083,7.959380459439393,11.546758999377134,20
all,native_sample,greedy,latency,-1.3749175960375362,-1.594365646014831,-1.1603131575561443,20
all,native_sample,greedy,RSR,-0.07774999999999999,-0.097,-0.05900000000000001,20
all,masked_sample,native_sample,reward,7.068200155267607,5.39383873818809,8.846708988373964,20
all,masked_sample,native_sample,latency,0.03790077148050465,0.019431755778776164,0.05775931509383773,20
all,masked_sample,native_sample,RSR,0.11174999999999999,0.08775000000000001,0.13699999999999996,20
all,masked_sample,greedy,reward,16.873998377179692,15.20073823995411,18.623097698203342,20
all,masked_sample,greedy,latency,-1.3370168245570315,-1.5594280329213208,-1.1150565188335575,20
all,masked_sample,greedy,RSR,0.034,0.0155,0.054256249999999916,20
all,masked_sample,masked_greedy,reward,11.989576939705076,10.032825362032376,14.000811044743472,20
all,masked_sample,masked_greedy,latency,-1.0521786563167963,-1.33075163148406,-0.7847209470562054,20
all,masked_sample,masked_greedy,RSR,0.0,0.0,0.0,20
0.9999,native_sample,greedy,reward,-0.8082625026659501,-4.817625269116995,3.2394506060559327,20
0.9999,native_sample,greedy,latency,-1.6829579196675422,-2.006247870043098,-1.3758360810499581,20
0.9999,native_sample,greedy,RSR,-0.221,-0.298,-0.14700000000000002,20
0.9999,masked_sample,native_sample,reward,22.984650304448436,17.94959581772169,28.11489453323283,20
0.9999,masked_sample,native_sample,latency,0.10511881210602772,0.06273174787061177,0.15141769623485873,20
0.9999,masked_sample,native_sample,RSR,0.346,0.27497499999999997,0.42000000000000004,20
0.9999,masked_sample,greedy,reward,22.17638780178249,18.809686013443287,25.755011538690116,20
0.9999,masked_sample,greedy,latency,-1.5778391075615148,-1.9173924430293736,-1.2535973067602044,20
0.9999,masked_sample,greedy,RSR,0.125,0.05700000000000001,0.202,20
0.9999,masked_sample,masked_greedy,reward,12.074897961215354,8.966440593576346,15.197491158078432,20
0.9999,masked_sample,masked_greedy,latency,-1.1965712257610241,-1.6190934377713395,-0.7899183858082317,20
0.9999,masked_sample,masked_greedy,RSR,0.0,0.0,0.0,20
