policy,task_count,mean_reward,total_reward,mean_latency,p50_latency,p90_latency,p95_latency,rsr,reliability_violation_rate,selected_rho_mean,selected_effective_failure_probability_mean,selected_pair_reliability_mean,safe_set_empty_rate,selected_unsafe_rate,pair_selection_entropy,pair_selection_hhi,unique_pair_count,top1_pair_frequency,pair_78_frequency,R_req
greedy,1000,45.6720924038737,45672.09240387371,3.481936446192435,2.721463263875364,6.957907823335825,9.107479148606595,1.0,0.0,0.1271677873996196,0.0001329919492147,0.9998670080507852,0.0,0.0,,,,,0.998,0.9
greedy,1000,53.57168886963811,53571.68886963811,3.009807732910934,2.4572309892764395,5.909734078528341,7.799067456327589,1.0,0.0,0.1269404898849073,0.0001106646522555,0.9998893353477444,0.0,0.0,,,,,0.999,0.99
greedy,1000,48.85160948843522,48851.60948843522,3.189467333844203,2.584068184767858,5.9676269518399225,7.969283931467019,0.989,0.011,0.1271677873996196,0.0001052464331433,0.9998947535668568,0.0,0.011,,,,,0.998,0.999
greedy,1000,27.44161617353314,27441.61617353314,3.7531960388069248,2.9499416114390486,7.531130946462932,9.776574616127174,0.702,0.298,0.126713192370195,0.0001214733391073,0.9998785266608928,0.173,0.298,,,,,1.0,0.9999
native_sample,1000,60.55667101510949,60556.671015109496,2.102413320703602,2.075771466575276,3.109274305706492,3.553559923680327,1.0,0.0,0.2290940817576206,0.0006698799438243,0.9993301200561756,0.0,0.0,,,,,0.188,0.9
native_sample,1000,67.04698481641212,67046.98481641212,1.8688283711137053,1.705637787718544,2.9591277186443534,3.466609689983571,0.997,0.003,0.2392866755336582,0.0004164265487376,0.9995835734512624,0.0,0.003,,,,,0.193,0.99
native_sample,1000,60.523190320739694,60523.1903207397,1.8932573566476625,1.8119695636587707,3.014487082646383,3.403982479587838,0.902,0.098,0.2329511674210158,0.0004618040521288,0.9995381959478712,0.0,0.098,,,,,0.195,0.999
native_sample,1000,26.63335367086719,26633.353670867193,2.070238119139382,2.00620347202846,3.148422752533772,3.5128580684896296,0.481,0.519,0.2352336409918049,0.0005159304053041,0.9994840695946958,0.173,0.519,,,,,0.188,0.9999
masked_sample,1000,60.54499258380075,60544.99258380075,2.1089735219593453,2.075771466575276,3.143342361201661,3.619159082385484,1.0,0.0,0.2352415710867025,0.0005569004937843,0.9994430995062156,0.0,0.0,,,,,0.183,0.9
masked_sample,1000,66.57516640934331,66575.1664093433,1.9080485073114577,1.7510865849565818,3.1350826040163327,3.5630743344218456,1.0,0.0,0.2313123710418356,0.0003555296881715,0.9996444703118283,0.0,0.0,,,,,0.2,0.99
masked_sample,1000,66.29483747573926,66294.83747573926,1.8939612930101573,1.8104846337677003,3.0081411450084827,3.494427269086669,1.0,0.0,0.2348351418513385,0.0001735924790705,0.9998264075209294,0.0,0.0,,,,,0.22,0.999
masked_sample,1000,49.61800397531562,49618.00397531562,2.175356931245409,2.0671464646140123,3.4119894421395296,3.938043356918231,0.827,0.173,0.2214581147402338,7.432480071965394e-05,0.9999256751992804,0.173,0.173,,,,,0.294,0.9999
masked_greedy,1000,48.79442772950053,48794.42772950053,3.224417257322655,2.6078972590902083,6.309080458787472,8.663818697007086,1.0,0.0,0.128287989766898,0.0001379952428842,0.9998620047571156,0.0,0.0,,,,,0.993,0.9
masked_greedy,1000,55.53843585280365,55538.43585280365,2.801205230164605,2.4506911409353336,5.244952125965918,6.899351195062182,1.0,0.0,0.1280606922521857,0.0001197643445649,0.9998802356554348,0.0,0.0,,,,,0.994,0.99
masked_greedy,1000,53.19872308897418,53198.72308897418,2.8975042342998614,2.381414223149889,5.217978424977346,7.049157802475533,1.0,0.0,0.1295400826955334,9.587096476271748e-05,0.9999041290352372,0.0,0.0,,,,,0.984,0.999
masked_greedy,1000,37.54310601410028,37543.106014100274,3.371928157006434,2.7098832343850745,6.410126097835476,9.243391737629864,0.827,0.173,0.1553479340948671,6.772381537957683e-05,0.9999322761846204,0.173,0.173,,,,,0.72,0.9999
