horizon,coupling,state_variant,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement
5,coupled,S0,normalized,174,174,0.16400808362147945,0.10306329906888008,0.5344827586206896
5,coupled,S0,raw,174,174,0.14157234572266056,0.08307639739172527,0.5287356321839081
5,coupled,S1,normalized,174,174,0.1747965422209511,0.11093823856032346,0.5517241379310345
5,coupled,S1,raw,174,174,0.1584977873237669,0.09922947692132462,0.5344827586206896
5,coupled,S2,normalized,174,174,0.15442420184827238,0.12606395398502235,0.5689655172413793
5,coupled,S2,raw,174,174,0.12327711517490883,0.10483555909906318,0.5632183908045977
5,coupled,S3,normalized,174,174,0.15380899002909532,0.13055838719781312,0.5689655172413793
5,coupled,S3,raw,174,174,0.12802500638628406,0.11871066943819583,0.5344827586206896
5,easy,S0,normalized,826,801,0.13349574543360324,0.15455695395184463,0.5156054931335831
5,easy,S0,raw,826,801,0.13592307023528796,0.15346165666190031,0.5218476903870163
5,easy,S1,normalized,826,801,0.12824882817924413,0.14941271903646844,0.5031210986267166
5,easy,S1,raw,826,801,0.13074033148974357,0.14337975510410222,0.5156054931335831
5,easy,S2,normalized,826,801,0.12002595749916178,0.14451211430648866,0.5118601747815231
5,easy,S2,raw,826,801,0.12224396628261743,0.14357736218061912,0.5156054931335831
5,easy,S3,normalized,826,801,0.12172122083032638,0.14489196999650195,0.5081148564294632
5,easy,S3,raw,826,801,0.12419771385318872,0.1401163797155422,0.5181023720349563
10,coupled,S0,normalized,174,174,0.17356376962307665,0.10723426065662461,0.5402298850574713
10,coupled,S0,raw,174,174,0.15592442432676207,0.09228850479797261,0.5344827586206896
10,coupled,S1,normalized,174,174,0.18349444768205556,0.11463310458726045,0.5574712643678161
10,coupled,S1,raw,174,174,0.17160613738315633,0.107343603177767,0.5402298850574713
10,coupled,S2,normalized,174,174,0.16339469679257052,0.12784076995358637,0.5747126436781609
10,coupled,S2,raw,174,174,0.13751247801443292,0.11255104074717387,0.5689655172413793
10,coupled,S3,normalized,174,174,0.16135447143056508,0.13182266009852217,0.5747126436781609
10,coupled,S3,raw,174,174,0.14038322925506677,0.1251709900623594,0.5402298850574713
10,easy,S0,normalized,826,801,0.13209415741337857,0.1556275448231246,0.5143570536828964
10,easy,S0,raw,826,801,0.13419171949430328,0.15449611535475272,0.5205992509363296
10,easy,S1,normalized,826,801,0.1267900666036211,0.15040284107073157,0.50187265917603
10,easy,S1,raw,826,801,0.12914050080433173,0.14438770991252686,0.5143570536828964
10,easy,S2,normalized,826,801,0.11916055090324112,0.1456396857682429,0.5106117353308365
10,easy,S2,raw,826,801,0.12109008625136694,0.1446788202970133,0.5143570536828964
10,easy,S3,normalized,826,801,0.12053346551924704,0.14593252538242985,0.5068664169787765
10,easy,S3,raw,826,801,0.12285372022716173,0.14117408660235833,0.5168539325842697
20,coupled,S0,normalized,174,174,0.17422886041404145,0.1056966314530596,0.5402298850574713
20,coupled,S0,raw,174,174,0.1562404820682892,0.0902633901876477,0.5344827586206896
20,coupled,S1,normalized,174,174,0.18414652581867524,0.11313420085993335,0.5574712643678161
20,coupled,S1,raw,174,174,0.17190093224641023,0.10534810216691817,0.5402298850574713
20,coupled,S2,normalized,174,174,0.1644414240969859,0.12645576468578262,0.5747126436781609
20,coupled,S2,raw,174,174,0.13817786998978815,0.11064438053475324,0.5689655172413793
20,coupled,S3,normalized,174,174,0.16220689041709754,0.1305834448589083,0.5747126436781609
20,coupled,S3,raw,174,174,0.14083448399686244,0.12329394344941483,0.5402298850574713
20,easy,S0,normalized,826,801,0.13215624821342215,0.15558564928716487,0.5143570536828964
20,easy,S0,raw,826,801,0.13417751816314516,0.15444781008423206,0.5205992509363296
20,easy,S1,normalized,826,801,0.12683062718733296,0.1503484664521433,0.50187265917603
20,easy,S1,raw,826,801,0.1291464798379695,0.144339839259474,0.5143570536828964
20,easy,S2,normalized,826,801,0.11923997882198938,0.14559687258877366,0.5106117353308365
20,easy,S2,raw,826,801,0.12109345422561098,0.14463089632574494,0.5143570536828964
20,easy,S3,normalized,826,801,0.12057798367295931,0.145882908970023,0.5068664169787765
20,easy,S3,raw,826,801,0.12286228586176495,0.14112776972904015,0.5168539325842697
50,coupled,S0,normalized,174,174,0.1742288604140413,0.1056966314530596,0.5402298850574713
50,coupled,S0,raw,174,174,0.1562404820682893,0.0902633901876477,0.5344827586206896
50,coupled,S1,normalized,174,174,0.18414652581867516,0.11313420085993335,0.5574712643678161
50,coupled,S1,raw,174,174,0.17190093224641015,0.10534810216691817,0.5402298850574713
50,coupled,S2,normalized,174,174,0.16444142409698584,0.12645576468578262,0.5747126436781609
50,coupled,S2,raw,174,174,0.13817786998978812,0.11064438053475324,0.5689655172413793
50,coupled,S3,normalized,174,174,0.16220689041709752,0.1305834448589083,0.5747126436781609
50,coupled,S3,raw,174,174,0.1408344839968625,0.12329394344941483,0.5402298850574713
50,easy,S0,normalized,826,801,0.13215624821342226,0.155544781150721,0.5143570536828964
50,easy,S0,raw,826,801,0.13417751816314527,0.1543892468682463,0.5205992509363296
50,easy,S1,normalized,826,801,0.12683062718733304,0.15031433792210708,0.50187265917603
50,easy,S1,raw,826,801,0.12914647983796956,0.14428132982892555,0.5143570536828964
50,easy,S2,normalized,826,801,0.11923997882198951,0.14556096622367207,0.5106117353308365
50,easy,S2,raw,826,801,0.12109345422561112,0.14457484612297972,0.5143570536828964
50,easy,S3,normalized,826,801,0.1205779836729594,0.14585135712696443,0.5068664169787765
50,easy,S3,raw,826,801,0.12286228586176506,0.14107368947834376,0.5168539325842697
