horizon,load,state_variant,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement
5,high,S0,normalized,303,295,0.22694800351856007,0.22369723713684775,0.535593220338983
5,high,S0,raw,303,295,0.22195389278354927,0.2193005917356956,0.5389830508474577
5,high,S1,normalized,303,295,0.22428119094178706,0.22542319654128354,0.5152542372881356
5,high,S1,raw,303,295,0.2251595919456773,0.2202888879105425,0.5322033898305085
5,high,S2,normalized,303,295,0.20959444607841876,0.22136583308754174,0.5491525423728814
5,high,S2,raw,303,295,0.20546099042601193,0.21825405899009168,0.5423728813559322
5,high,S3,normalized,303,295,0.21876011530970582,0.23069684155983586,0.5322033898305085
5,high,S3,raw,303,295,0.22018239207706167,0.23228001352041555,0.535593220338983
5,low,S0,normalized,398,389,0.07214957464605247,0.09946715402137718,0.519280205655527
5,low,S0,raw,398,389,0.06219903218373576,0.09271563077422232,0.506426735218509
5,low,S1,normalized,398,389,0.07602722024021251,0.10198350997842852,0.519280205655527
5,low,S1,raw,398,389,0.06144965118838454,0.0858258208749308,0.5115681233933161
5,low,S2,normalized,398,389,0.05022778236358317,0.087721938867833,0.5244215938303342
5,low,S2,raw,398,389,0.03673570252127549,0.07910067758525863,0.5038560411311054
5,low,S3,normalized,398,389,0.05347775170883351,0.09141091289397778,0.5269922879177378
5,low,S3,raw,398,389,0.035046901327537745,0.07485616490043397,0.506426735218509
5,medium,S0,normalized,299,291,0.08899028904465815,0.11797422166520755,0.5017182130584192
5,medium,S0,raw,299,291,0.09358737605386148,0.1145857135917614,0.5292096219931272
5,medium,S1,normalized,299,291,0.08427312505546586,0.11392287149180867,0.49828178694158076
5,medium,S1,raw,299,291,0.09289967855626173,0.10865627339116829,0.5154639175257731
5,medium,S2,normalized,299,291,0.08970385477130861,0.12011493453593197,0.49140893470790376
5,medium,S2,raw,299,291,0.09385835477774793,0.11847679649141621,0.5326460481099656
5,medium,S3,normalized,299,291,0.08290361540996528,0.11437381960518661,0.4948453608247423
5,medium,S3,raw,299,291,0.09093967895554558,0.10940149376768137,0.5257731958762887
10,high,S0,normalized,303,295,0.22571673159726652,0.2251164839352966,0.535593220338983
10,high,S0,raw,303,295,0.22103003861384593,0.2214782081000025,0.5389830508474577
10,high,S1,normalized,303,295,0.22264416317211091,0.22696495582932494,0.5152542372881356
10,high,S1,raw,303,295,0.22424429790724684,0.22256658490015035,0.5322033898305085
10,high,S2,normalized,303,295,0.2080557361614928,0.22204698527439606,0.5491525423728814
10,high,S2,raw,303,295,0.2043475390640072,0.2197518173135611,0.5423728813559322
10,high,S3,normalized,303,295,0.2164578568953892,0.23126583442523216,0.5322033898305085
10,high,S3,raw,303,295,0.21866604639941453,0.23381012549430552,0.535593220338983
10,low,S0,normalized,398,389,0.0716237404027007,0.1043554837512864,0.519280205655527
10,low,S0,raw,398,389,0.06269575666457887,0.09828896405500111,0.506426735218509
