horizon,requirement,state_variant,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement
5,0.9,S0,normalized,300,300,0.19645963489182974,0.20692865948701264,0.5666666666666667
5,0.9,S0,raw,300,300,0.20490494042566315,0.2039788374618821,0.5633333333333334
5,0.9,S1,normalized,300,300,0.1864788383960416,0.20379194576961648,0.58
5,0.9,S1,raw,300,300,0.20963305895259055,0.21112138904465436,0.57
5,0.9,S2,normalized,300,300,0.1923743129868239,0.21512789358669723,0.5633333333333334
5,0.9,S2,raw,300,300,0.19943672128671247,0.20710999554038811,0.56
5,0.9,S3,normalized,300,300,0.18418035713731837,0.20982381402546368,0.5833333333333334
5,0.9,S3,raw,300,300,0.2066339950795917,0.21496033551776936,0.57
5,0.99,S0,normalized,220,220,0.1044838941330683,0.04525780094558946,0.5181818181818182
5,0.99,S0,raw,220,220,0.10658333012702904,0.060153829112831514,0.5136363636363637
5,0.99,S1,normalized,220,220,0.09959503872975821,0.04033547341132073,0.4954545454545455
5,0.99,S1,raw,220,220,0.08549352000509343,0.034416282979728444,0.509090909090909
5,0.99,S2,normalized,220,220,0.10146824376693021,0.042736622538226174,0.5181818181818182
5,0.99,S2,raw,220,220,0.10272466295826986,0.05863289470928357,0.5181818181818182
5,0.99,S3,normalized,220,220,0.10665736235233521,0.047989734990939746,0.509090909090909
5,0.99,S3,raw,220,220,0.0919483060438829,0.04828276422022649,0.5136363636363637
5,0.999,S0,normalized,220,220,0.15142787074965666,0.15299639924942102,0.5363636363636364
5,0.999,S0,raw,220,220,0.12413436614053992,0.1218169421231468,0.5409090909090909
5,0.999,S1,normalized,220,220,0.15244116958660753,0.1595093061652288,0.5227272727272727
5,0.999,S1,raw,220,220,0.13125882146778778,0.1298411499861943,0.5318181818181819
5,0.999,S2,normalized,220,220,0.12608328237010077,0.15153243211260936,0.5363636363636364
5,0.999,S2,raw,220,220,0.09507567639847413,0.11845060660532054,0.5454545454545454
5,0.999,S3,normalized,220,220,0.12996833821886902,0.15633343288460128,0.5272727272727272
5,0.999,S3,raw,220,220,0.10392251223151029,0.12437522187723637,0.5409090909090909
5,0.9999,S0,normalized,260,235,0.11139945306404074,0.1631338535612985,0.4425531914893617
5,0.9999,S0,raw,260,235,0.11441227815779101,0.1653641788866315,0.46382978723404256
5,0.9999,S1,normalized,260,235,0.11395195247298912,0.16025064523107518,0.4297872340425532
5,0.9999,S1,raw,260,235,0.11549081233944318,0.15220450627683085,0.451063829787234
5,0.9999,S2,normalized,260,235,0.08545285608549752,0.1378434511859093,0.4595744680851064
5,0.9999,S2,raw,260,235,0.08877394057933333,0.14105540071350178,0.46382978723404256
5,0.9999,S3,normalized,260,235,0.09154878133575556,0.13867815400029757,0.43829787234042555
5,0.9999,S3,raw,260,235,0.09283607535829413,0.13633763911199856,0.44680851063829785
10,0.9,S0,normalized,300,300,0.20282845528896215,0.2178523348551659,0.57
10,0.9,S0,raw,300,300,0.21021173804145768,0.2151896315023547,0.5666666666666667
10,0.9,S1,normalized,300,300,0.192401881547373,0.21457984532307628,0.5833333333333334
10,0.9,S1,raw,300,300,0.21478966533516777,0.22203350357350535,0.5733333333333334
10,0.9,S2,normalized,300,300,0.20074356779131755,0.22642445295993474,0.5666666666666667
10,0.9,S2,raw,300,300,0.20687937253504754,0.21868479076900593,0.5633333333333334
10,0.9,S3,normalized,300,300,0.19091893775960625,0.22082970921011205,0.5866666666666667
10,0.9,S3,raw,300,300,0.21257175609105952,0.22608355937428856,0.5733333333333334
10,0.99,S0,normalized,220,220,0.09979974953293357,0.03933103157003758,0.509090909090909
10,0.99,S0,raw,220,220,0.1025404247481446,0.054213652728640524,0.5045454545454545
10,0.99,S1,normalized,220,220,0.09471782390611483,0.03502572200352011,0.4863636363636364
10,0.99,S1,raw,220,220,0.0815138539521953,0.029596749181029353,0.5
10,0.99,S2,normalized,220,220,0.09659824808705386,0.03673882947501397,0.509090909090909
10,0.99,S2,raw,220,220,0.09854677897400307,0.052862326506060826,0.509090909090909
10,0.99,S3,normalized,220,220,0.10147310549788724,0.04238250425363603,0.5
10,0.99,S3,raw,220,220,0.08764441030595872,0.043043515787867054,0.5045454545454545
10,0.999,S0,normalized,220,220,0.15274607291666317,0.157112794529794,0.5409090909090909
10,0.999,S0,raw,220,220,0.12708059581817968,0.1295521121451036,0.5454545454545454
10,0.999,S1,normalized,220,220,0.15346804206228615,0.16314729356184574,0.5272727272727272
10,0.999,S1,raw,220,220,0.13347435448815145,0.13660935986920628,0.5363636363636364
10,0.999,S2,normalized,220,220,0.12762669221390338,0.15504701122122164,0.5409090909090909
10,0.999,S2,raw,220,220,0.09813421949900127,0.12580428759919118,0.55
10,0.999,S3,normalized,220,220,0.1312917179110434,0.159739821748715,0.5318181818181819
10,0.999,S3,raw,220,220,0.10640526386513519,0.13104200059787646,0.5454545454545454
10,0.9999,S0,normalized,260,235,0.10759713901863448,0.16278275925148214,0.4425531914893617
10,0.9999,S0,raw,260,235,0.11148464870055416,0.16527810472372867,0.46382978723404256
10,0.9999,S1,normalized,260,235,0.10998077630529209,0.1597608891607672,0.4297872340425532
10,0.9999,S1,raw,260,235,0.11263478629092584,0.15211912341938522,0.451063829787234
10,0.9999,S2,normalized,260,235,0.0812005787609341,0.137161071389204,0.4595744680851064
10,0.9999,S2,raw,260,235,0.08544744613822763,0.1407138365749986,0.46382978723404256
10,0.9999,S3,normalized,260,235,0.08699191770321353,0.13790697603184882,0.43829787234042555
10,0.9999,S3,raw,260,235,0.0894938602108016,0.13599747380793525,0.44680851063829785
20,0.9,S0,normalized,300,300,0.2035667848625679,0.21674616964136917,0.57
20,0.9,S0,raw,300,300,0.21052980905301819,0.21401101993424437,0.5666666666666667
20,0.9,S1,normalized,300,300,0.19295173214765501,0.21346034549694703,0.5833333333333334
20,0.9,S1,raw,300,300,0.2150409298109664,0.22088889476650905,0.5733333333333334
20,0.9,S2,normalized,300,300,0.2017152822770701,0.22535229108334384,0.5666666666666667
20,0.9,S2,raw,300,300,0.20744226760908901,0.21748640230910019,0.5633333333333334
20,0.9,S3,normalized,300,300,0.19159111747754817,0.21971998938306114,0.5866666666666667
20,0.9,S3,raw,300,300,0.21294885489651993,0.2249276184240722,0.5733333333333334
20,0.99,S0,normalized,220,220,0.10022874496497255,0.03958500694948321,0.509090909090909
20,0.99,S0,raw,220,220,0.10318628058711324,0.054851537282865646,0.5045454545454545
20,0.99,S1,normalized,220,220,0.09504230161303101,0.03508918254286385,0.4863636363636364
20,0.99,S1,raw,220,220,0.08201038188278316,0.029971787025627646,0.5
20,0.99,S2,normalized,220,220,0.09701730661781129,0.03703166270451049,0.509090909090909
20,0.99,S2,raw,220,220,0.09916777787063706,0.05352893764857941,0.509090909090909
20,0.99,S3,normalized,220,220,0.1017949641770786,0.04259255456268545,0.5
20,0.99,S3,raw,220,220,0.08812750001079503,0.043540408241794726,0.5045454545454545
20,0.999,S0,normalized,220,220,0.15250673927072947,0.15568827183364808,0.5409090909090909
20,0.999,S0,raw,220,220,0.12661713593955015,0.12746998739737447,0.5454545454545454
20,0.999,S1,normalized,220,220,0.15324120511354294,0.16178419213701303,0.5272727272727272
20,0.999,S1,raw,220,220,0.13304417343379224,0.13469064951304455,0.5363636363636364
20,0.999,S2,normalized,220,220,0.12743654719715616,0.15374420407189826,0.5409090909090909
20,0.999,S2,raw,220,220,0.09772480001447525,0.12377006017312836,0.55
20,0.999,S3,normalized,220,220,0.1310912640399834,0.15846293550288168,0.5318181818181819
20,0.999,S3,raw,220,220,0.10600184156488718,0.12914132217457733,0.5454545454545454
20,0.9999,S0,normalized,260,235,0.10792867206059664,0.16283808734310692,0.4425531914893617
20,0.9999,S0,raw,260,235,0.11178909560595142,0.1653327549858892,0.46382978723404256
